titulo,autores,abstract,clase_pri,clase_otr,id
Reinforcement Learning through Asynchronous Advantage Actor-Critic on a GPU,Mohammad Babaeizadeh,"  We introduce a hybrid CPU/GPU version of the Asynchronous Advantage
Actor-Critic (A3C) algorithm, currently the state-of-the-art method in
reinforcement learning for various gaming tasks. We analyze its computational
traits and concentrate on aspects critical to leveraging the GPU's
computational power. We introduce a system of queues and a dynamic scheduling
strategy, potentially helpful for other asynchronous algorithms as well. Our
hybrid CPU/GPU version of A3C, based on TensorFlow, achieves a significant
speed up compared to a CPU implementation; we make it publicly available to
other researchers at ",Machine Learning (cs.LG),,0
Altruistic Maneuver Planning for Cooperative Autonomous Vehicles Using Multi-agent Advantage Actor-Critic,Behrad Toghi,"  With the adoption of autonomous vehicles on our roads, we will witness a
mixed-autonomy environment where autonomous and human-driven vehicles must
learn to co-exist by sharing the same road infrastructure. To attain
socially-desirable behaviors, autonomous vehicles must be instructed to
consider the utility of other vehicles around them in their decision-making
process. Particularly, we study the maneuver planning problem for autonomous
vehicles and investigate how a decentralized reward structure can induce
altruism in their behavior and incentivize them to account for the interest of
other autonomous and human-driven vehicles. This is a challenging problem due
to the ambiguity of a human driver's willingness to cooperate with an
autonomous vehicle. Thus, in contrast with the existing works which rely on
behavior models of human drivers, we take an end-to-end approach and let the
autonomous agents to implicitly learn the decision-making process of human
drivers only from experience. We introduce a multi-agent variant of the
synchronous Advantage Actor-Critic (A2C) algorithm and train agents that
coordinate with each other and can affect the behavior of human drivers to
improve traffic flow and safety.

    ",Robotics (cs.RO),,1
Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,Han Shen,"  Asynchronous and parallel implementation of standard reinforcement learning
(RL) algorithms is a key enabler of the tremendous success of modern RL. Among
many asynchronous RL algorithms, arguably the most popular and effective one is
the asynchronous advantage actor-critic (A3C) algorithm. Although A3C is
becoming the workhorse of RL, its theoretical properties are still not
well-understood, including its non-asymptotic analysis and the performance gain
of parallelism (a.k.a. linear speedup). This paper revisits the A3C algorithm
and establishes its non-asymptotic convergence guarantees. Under both i.i.d.
and Markovian sampling, we establish the local convergence guarantee for A3C in
the general policy approximation case and the global convergence guarantee in
softmax policy parameterization. Under i.i.d. sampling, A3C obtains sample
complexity of $\mathcal{O}(\epsilon^{-2.5}/N)$ per worker to achieve $\epsilon$
accuracy, where $N$ is the number of workers. Compared to the best-known sample
complexity of $\mathcal{O}(\epsilon^{-2.5})$ for two-timescale AC, A3C achieves
\emph{linear speedup}, which justifies the advantage of parallelism and
asynchrony in AC algorithms theoretically for the first time. Numerical tests
on synthetic environment, OpenAI Gym environments and Atari games have been
provided to verify our theoretical analysis.

    ",Machine Learning (cs.LG),; Optimization and Control (math.OC),2
The Advantage Regret-Matching Actor-Critic,Audrūnas Gruslys,"  Regret minimization has played a key role in online learning, equilibrium
computation in games, and reinforcement learning (RL). In this paper, we
describe a general model-free RL method for no-regret learning based on
repeated reconsideration of past behavior. We propose a model-free RL
algorithm, the AdvantageRegret-Matching Actor-Critic (ARMAC): rather than
saving past state-action data, ARMAC saves a buffer of past policies, replaying
through them to reconstruct hindsight assessments of past behavior. These
retrospective value estimates are used to predict conditional advantages which,
combined with regret matching, produces a new policy. In particular, ARMAC
learns from sampled trajectories in a centralized training setting, without
requiring the application of importance sampling commonly used in Monte Carlo
counterfactual regret (CFR) minimization; hence, it does not suffer from
excessive variance in large environments. In the single-agent setting, ARMAC
shows an interesting form of exploration by keeping past policies intact. In
the multiagent setting, ARMAC in self-play approaches Nash equilibria on some
partially-observable zero-sum benchmarks. We provide exploitability estimates
in the significantly larger game of betting-abstracted no-limit Texas Hold'em.

    ",Artificial Intelligence (cs.AI),; Machine Learning (cs.LG),3
Actor-Critic Sequence Training for Image Captioning,Li Zhang,"  Generating natural language descriptions of images is an important capability
for a robot or other visual-intelligence driven AI agent that may need to
communicate with human users about what it is seeing. Such image captioning
methods are typically trained by maximising the likelihood of ground-truth
annotated caption given the image. While simple and easy to implement, this
approach does not directly maximise the language quality metrics we care about
such as CIDEr. In this paper we investigate training image captioning methods
based on actor-critic reinforcement learning in order to directly optimise
non-differentiable quality metrics of interest. By formulating a per-token
advantage and value computation strategy in this novel reinforcement learning
based captioning model, we show that it is possible to achieve the state of the
art performance on the widely used MSCOCO benchmark.

    ",Computer Vision and Pattern Recognition (cs.CV),,4
Sample Efficient Actor-Critic with Experience Replay,Ziyu Wang,"  This paper presents an actor-critic deep reinforcement learning agent with
experience replay that is stable, sample efficient, and performs remarkably
well on challenging environments, including the discrete 57-game Atari domain
and several continuous control problems. To achieve this, the paper introduces
several innovations, including truncated importance sampling with bias
correction, stochastic dueling network architectures, and a new trust region
policy optimization method.

    ",Machine Learning (cs.LG),,5
Off-policy Maximum Entropy Reinforcement Learning : Soft Actor-Critic with Advantage Weighted Mixture Policy(SAC-AWMP),Zhimin Hou,"  The optimal policy of a reinforcement learning problem is often discontinuous
and non-smooth. I.e., for two states with similar representations, their
optimal policies can be significantly different. In this case, representing the
entire policy with a function approximator (FA) with shared parameters for all
states maybe not desirable, as the generalization ability of parameters sharing
makes representing discontinuous, non-smooth policies difficult. A common way
to solve this problem, known as Mixture-of-Experts, is to represent the policy
as the weighted sum of multiple components, where different components perform
well on different parts of the state space. Following this idea and inspired by
a recent work called advantage-weighted information maximization, we propose to
learn for each state weights of these components, so that they entail the
information of the state itself and also the preferred action learned so far
for the state. The action preference is characterized via the advantage
function. In this case, the weight of each component would only be large for
certain groups of states whose representations are similar and preferred action
representations are also similar. Therefore each component is easy to be
represented. We call a policy parameterized in this way an Advantage Weighted
Mixture Policy (AWMP) and apply this idea to improve soft-actor-critic (SAC),
one of the most competitive continuous control algorithm. Experimental results
demonstrate that SAC with AWMP clearly outperforms SAC in four commonly used
continuous control tasks and achieve stable performance across different random
seeds.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),6
Asynchronous Advantage Actor-Critic Agent for Starcraft II,Basel Alghanem,"  Deep reinforcement learning, and especially the Asynchronous Advantage
Actor-Critic algorithm, has been successfully used to achieve super-human
performance in a variety of video games. Starcraft II is a new challenge for
the reinforcement learning community with the release of pysc2 learning
environment proposed by Google Deepmind and Blizzard Entertainment. Despite
being a target for several AI developers, few have achieved human level
performance. In this project we explain the complexities of this environment
and discuss the results from our experiments on the environment. We have
compared various architectures and have proved that transfer learning can be an
effective paradigm in reinforcement learning research for complex scenarios
requiring skill transfer.

    ",Artificial Intelligence (cs.AI),,7
An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Chengmin Zhou,"  Intelligent robots provide a new insight into efficiency improvement in
industrial and service scenarios to replace human labor. However, these
scenarios include dense and dynamic obstacles that make motion planning of
robots challenging. Traditional algorithms like A* can plan collision-free
trajectories in static environment, but their performance degrades and
computational cost increases steeply in dense and dynamic scenarios.
Optimal-value reinforcement learning algorithms (RL) can address these problems
but suffer slow speed and instability in network convergence. Network of policy
gradient RL converge fast in Atari games where action is discrete and finite,
but few works have been done to address problems where continuous actions and
large action space are required. In this paper, we modify existing advantage
actor-critic algorithm and suit it to complex motion planning, therefore
optimal speeds and directions of robot are generated. Experimental results
demonstrate that our algorithm converges faster and stable than optimal-value
RL. It achieves higher success rate in motion planning with lesser processing
time for robot to reach its goal.

    ",Robotics (cs.RO),; Artificial Intelligence (cs.AI),8
Hybrid Actor-Critic Reinforcement Learning in Parameterized Action Space,Zhou Fan,"  In this paper we propose a hybrid architecture of actor-critic algorithms for
reinforcement learning in parameterized action space, which consists of
multiple parallel sub-actor networks to decompose the structured action space
into simpler action spaces along with a critic network to guide the training of
all sub-actor networks. While this paper is mainly focused on parameterized
action space, the proposed architecture, which we call hybrid actor-critic, can
be extended for more general action spaces which has a hierarchical structure.
We present an instance of the hybrid actor-critic architecture based on
proximal policy optimization (PPO), which we refer to as hybrid proximal policy
optimization (H-PPO). Our experiments test H-PPO on a collection of tasks with
parameterized action space, where H-PPO demonstrates superior performance over
previous methods of parameterized action reinforcement learning.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML),9
