_id,titulo_2,titulo,distance
63ce54761af11ad2543e7f01,Altruistic Maneuver Planning for Cooperative Autonomous Vehicles Using Multi-agent Advantage Actor-Critic,A Brief Survey and an Application of Semantic Image Segmentation for Autonomous Driving,0.7045983076
63ce55618bc0d657be0364c8,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,Reinforcement Learning through Asynchronous Advantage Actor-Critic on a GPU,0.9241891801
63ce55618bc0d657be0364ca,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,2.9999998212
63ce55628bc0d657be0364d0,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,0.507510677
63ce55628bc0d657be0364d2,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,Design and application of adaptive PID controller based on asynchronous advantage actor–critic learning method,0.5610898435
63ce55628bc0d657be0364d5,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,Robustness Assessment of Asynchronous Advantage Actor-Critic Based on Dynamic Skewness and Sparseness Computation: A Parallel Computing View,0.5844155103
63ce55638bc0d657be0364e1,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,Fleet Planning Under Demand and Fuel Price Uncertainty,1.1509010494
63ce55b5ec93bd1b9263f49f,The Advantage Regret-Matching Actor-Critic,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,0.5004381984
63ce55beec93bd1b9263f549,The Advantage Regret-Matching Actor-Critic,Play Ms. Pac-Man Using an Advanced Reinforcement Learning Agent,0.6120894551
63ce55c3ec93bd1b9263f5a3,The Advantage Regret-Matching Actor-Critic,Cooperative Multi-Agent Reinforcement Learning for Multi-Component Robotic Systems: guidelines for future research,0.6615318358
63ce55f0bcb1b86d7ac3f0f3,Actor-Critic Sequence Training for Image Captioning,Actor-Critic Sequence Training for Image Captioning,3.0000004172
63ce5601bcb1b86d7ac3f230,Actor-Critic Sequence Training for Image Captioning,Artificial Inteligence Methods in the Problems of Drug Side-Effects,0.5045394078
63ce562d77c470075818e4eb,Sample Efficient Actor-Critic with Experience Replay,Sample Efficient Actor-Critic with Experience Replay,2.9999998212
63ce562d77c470075818e4ee,Sample Efficient Actor-Critic with Experience Replay,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,0.500994578
63ce56700021cf6e3ec28ae1,Off-policy Maximum Entropy Reinforcement Learning : Soft Actor-Critic with Advantage Weighted Mixture Policy(SAC-AWMP),Off-policy Maximum Entropy Reinforcement Learning : Soft Actor-Critic with Advantage Weighted Mixture Policy(SAC-AWMP),3.0000001192
63ce56700021cf6e3ec28ae4,Off-policy Maximum Entropy Reinforcement Learning : Soft Actor-Critic with Advantage Weighted Mixture Policy(SAC-AWMP),Hybrid Actor-Critic Reinforcement Learning in Parameterized Action Space,0.6229600757
63ce56700021cf6e3ec28ae9,Off-policy Maximum Entropy Reinforcement Learning : Soft Actor-Critic with Advantage Weighted Mixture Policy(SAC-AWMP),A Prioritized objective actor-critic method for deep reinforcement learning,0.7166651487
63ce56b12f71bcbb7bb61209,Asynchronous Advantage Actor-Critic Agent for Starcraft II,Attention-based advantage actor-critic algorithm with prioritized experience replay for complex 2-D robotic motion planning,0.5045944378
63ce56ef5f4f841e3b8c405c,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,0.507510677
63ce56ef5f4f841e3b8c405d,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,The Advantage Regret-Matching Actor-Critic,0.5004381984
63ce56ef5f4f841e3b8c405f,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Sample Efficient Actor-Critic with Experience Replay,0.500994578
63ce56ef5f4f841e3b8c4062,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,3.000000596
63ce56ef5f4f841e3b8c4066,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Attention-based advantage actor-critic algorithm with prioritized experience replay for complex 2-D robotic motion planning,1.043307364
63ce56f25f4f841e3b8c4092,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,“Pathologist-independent” strategy for T1 colorectal cancer after endoscopic resection,0.5173952579
63ce56f45f4f841e3b8c40b3,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Molecular Modelling,0.5173952579
63ce56fc5f4f841e3b8c4126,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,JNeRF: An efficient heterogeneous NeRF model zoo based on Jittor,0.5173952579
63ce56fd5f4f841e3b8c4134,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Bin-Packing,0.5173952579
63ce56fe5f4f841e3b8c414d,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Message from the Editor-in-Chief,0.5173952579
63ce57005f4f841e3b8c4161,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Causal Logic Programming,0.5735773016
63ce57005f4f841e3b8c4166,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Cooperative Multi-Agent Reinforcement Learning for Multi-Component Robotic Systems: guidelines for future research,0.6508643478
63ce57075f4f841e3b8c41d0,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Soft Computing Essentials,0.5173952579
63ce57085f4f841e3b8c41e4,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Product Ontology Supporting Information Exchanging in Global Furniture Industry,0.5173952579
63ce57095f4f841e3b8c41ed,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Guest Editorial: Special Issue on Advances in Computer Vision and Applications (ACCV 2020),0.5173952579
63ce57095f4f841e3b8c41f0,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Guest Editorial: Special Issue on Computer Vision from 2D to 3D,0.5173952579
63ce57095f4f841e3b8c41f5,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Discretization of Continuous Features by Using a Kernel,0.5173952579
63ce570a5f4f841e3b8c41f8,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,Applications to Social Systems (2),0.5173952579
63ce5733d3b2a7772cdb429d,Hybrid Actor-Critic Reinforcement Learning in Parameterized Action Space,Off-policy Maximum Entropy Reinforcement Learning : Soft Actor-Critic with Advantage Weighted Mixture Policy(SAC-AWMP),0.6229600757
63ce5733d3b2a7772cdb42a0,Hybrid Actor-Critic Reinforcement Learning in Parameterized Action Space,Hybrid Actor-Critic Reinforcement Learning in Parameterized Action Space,2.9999995232
63ce5734d3b2a7772cdb42ad,Hybrid Actor-Critic Reinforcement Learning in Parameterized Action Space,Efficient Multi-Agent Exploration with Mutual-Guided Actor-Critic,0.5067086518
63ce577048ae9663e8ce9de0,Design and application of adaptive PID controller based on asynchronous advantage actor–critic learning method,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,0.5610898435
63ce577148ae9663e8ce9def,Design and application of adaptive PID controller based on asynchronous advantage actor–critic learning method,Optimal fractional-order PID controller based on fractional-order actor-critic algorithm,0.5763259828
63ce577b48ae9663e8ce9e8d,Design and application of adaptive PID controller based on asynchronous advantage actor–critic learning method,Fuel cell starvation control using model predictive technique with Laguerre and exponential weight functions,0.7468603849
63ce57b211d728d7c9a670c7,Balance Control for the First-order Inverted Pendulum Based on the Advantage Actor-critic Algorithm,Optimal fractional-order PID controller based on fractional-order actor-critic algorithm,0.5339262933
63ce57efbacff2dc0f2ab8ae,Attention-based advantage actor-critic algorithm with prioritized experience replay for complex 2-D robotic motion planning,Asynchronous Advantage Actor-Critic Agent for Starcraft II,0.5045944378
63ce57efbacff2dc0f2ab8af,Attention-based advantage actor-critic algorithm with prioritized experience replay for complex 2-D robotic motion planning,An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios,1.043307364
63ce57fabacff2dc0f2ab94e,Attention-based advantage actor-critic algorithm with prioritized experience replay for complex 2-D robotic motion planning,The New Hardware Structure of the Emmy II Robot,0.5024316907
63ce5832eab074149c3d2686,Robustness Assessment of Asynchronous Advantage Actor-Critic Based on Dynamic Skewness and Sparseness Computation: A Parallel Computing View,Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup,0.5844155103
63ce5833eab074149c3d2691,Robustness Assessment of Asynchronous Advantage Actor-Critic Based on Dynamic Skewness and Sparseness Computation: A Parallel Computing View,Robustness Assessment of Asynchronous Advantage Actor-Critic Based on Dynamic Skewness and Sparseness Computation: A Parallel Computing View,3.0000001192
63ce5877b5782ad02110377e,A Prioritized objective actor-critic method for deep reinforcement learning,Off-policy Maximum Entropy Reinforcement Learning : Soft Actor-Critic with Advantage Weighted Mixture Policy(SAC-AWMP),0.7166651487
63ce5878b5782ad021103788,A Prioritized objective actor-critic method for deep reinforcement learning,Natural Actor-Critic,0.5619814694
63ce58bc4ebb3314a0008f44,Deep Reinforcement Learning in VizDoom via DQN and Actor-Critic Agents,Deep Reinforcement Learning in VizDoom via DQN and Actor-Critic Agents,3.0000002384
63ce58bd4ebb3314a0008f4d,Deep Reinforcement Learning in VizDoom via DQN and Actor-Critic Agents,Evaluation and Potential Improvements of a Deep Reinforcement Learning Model for Automated Stock Trading,0.529551886
63ce59417885183f8dfecc5b,Natural Actor-Critic,A Prioritized objective actor-critic method for deep reinforcement learning,0.5619814694
63ce59417885183f8dfecc60,Natural Actor-Critic,Cooperative Traffic Signal Control Through AÂ  Counterfactual Multi-Agent Deep Actor Critic Approach,0.582726866
63ce5986084f1cc9e6295793,Optimal fractional-order PID controller based on fractional-order actor-critic algorithm,Design and application of adaptive PID controller based on asynchronous advantage actor–critic learning method,0.5763259828
63ce5986084f1cc9e6295794,Optimal fractional-order PID controller based on fractional-order actor-critic algorithm,Balance Control for the First-order Inverted Pendulum Based on the Advantage Actor-critic Algorithm,0.5339262933
63ce5986084f1cc9e629579b,Optimal fractional-order PID controller based on fractional-order actor-critic algorithm,Optimal fractional-order PID controller based on fractional-order actor-critic algorithm,2.9999999404
63ce5a120089434ace0ff3c4,Cooperative Traffic Signal Control Through AÂ  Counterfactual Multi-Agent Deep Actor Critic Approach,Natural Actor-Critic,0.582726866
63ce5a120089434ace0ff3c7,Cooperative Traffic Signal Control Through AÂ  Counterfactual Multi-Agent Deep Actor Critic Approach,Cooperative Traffic Signal Control Through AÂ  Counterfactual Multi-Agent Deep Actor Critic Approach,3.0000001192
