identifier,language,title,genre,abstract,subjects,abstract_limpio,reumen,keywords,reumen_limpio
doi:10.1007/978-981-19-1484-3_13,en,"Design of Hybrid Soft Computing Techniques for Estimation of Suspended Sediment Yield in Krishna River, India",OriginalPaper,"This paper explores the soft-computing approaches for estimating suspended sediment yield (SSY). In the management of water resources, the SSY estimation is an important issue. The SSY estimation is essential for getting the information about mass balancing between the land and ocean.  The traditional methods for measuring the SSY require larger magnitudes of time and significant financial investments. Also, the SSY depends on numerous variables and their internal relationship which are extremely nonlinear and complex in nature. Thus, traditional methods are not capable to handle the complex nonlinear sedimentation behaviors and unable to accurate estimation of SSY. The multilayer perceptron (MLP) artificial neural network (ANN)-based genetic algorithm (GA) model is used for SSY prediction which resolves complex sedimentations problems. In this proposed model, the GA optimized all ANN’s model parameters simultaneously. The input functional parameters that impact the SSY in the Krishna River are water discharge and water level. This paper presents artificial intelligence-based sediment yield estimation algorithms at Waddepally gauge station in Krishna River, India. The GA is used for the optimization of the performance of ANN in accurately estimating the SSY. The hybrid GA-based ANN (GA-ANN) has produced most accurate and efficient results for estimation of SSY in Krishna River.","['Engineering', 'Computational Intelligence', 'Artificial Intelligence', 'Machine Learning', 'Data Structures and Information Theory', 'Computer Imaging, Vision, Pattern Recognition and Graphics']",this paper explores the softcomputing approaches for estimating suspended sediment yield ssy in the management of water resources the ssy estimation is an important issue the ssy estimation is essential for getting the information about mass balancing between the land and ocean  the traditional methods for measuring the ssy require larger magnitudes of time and significant financial investments also the ssy depends on numerous variables and their internal relationship which are extremely nonlinear and complex in nature thus traditional methods are not capable to handle the complex nonlinear sedimentation behaviors and unable to accurate estimation of ssy the multilayer perceptron mlp artificial neural network annbased genetic algorithm ga model is used for ssy prediction which resolves complex sedimentations problems in this proposed model the ga optimized all anns model parameters simultaneously the input functional parameters that impact the ssy in the krishna river are water discharge and water level this paper presents artificial intelligencebased sediment yield estimation algorithms at waddepally gauge station in krishna river india the ga is used for the optimization of the performance of ann in accurately estimating the ssy the hybrid gabased ann gaann has produced most accurate and efficient results for estimation of ssy in krishna river,this paper explores the softcomputing approaches for accurate estimation of suspended sediment yield ( ssy ) in the management of water resources the ssy estimation is an important issue the ssy estimation is essential for getting the information about mass balancing between the land,"['##zed' 'ann' 'artificial intelligencebased sediment yield estimation'
 'artificial neural' 'complex sedimentations problems' 'ga'
 'hybrid gabase' 'krishna river' 'krishna river india'
 'multilayer perceptron mlp' 'nonlinear sedimentation' 'optimization'
 'softcomputing' 'ssy estimation' 'suspended sediment yield'
 'waddepally gauge station' 'water discharge' 'water level'
 'water resources']",this paper explores the softcomputing approaches for accurate estimation of suspended sediment yield  ssy  in the management of water resources the ssy estimation is an important issue the ssy estimation is essential for getting the information about mass balancing between the land
doi:10.1007/978-981-19-2535-1_51,en,News Application with Voice Assistant,OriginalPaper,"The world is moving at a fast pace and people do not usually find the time to read a newspaper or go through the news every day. A survey shows that a huge amount of time is spent commuting to workplaces and educational institutions. To convert that time into a productive one, we have developed an application that can work hands-free. This is a news application that works on web browsers both on mobile as well as desktop computers. The aim is to create an app that fetches news across various sources all around the world and displays it in an organized manner with a clean User Interface along with some hands free voice assistant features.","['Engineering', 'Communications Engineering, Networks', 'Cyber-physical systems, IoT', 'Professional Computing', 'Machine Learning', 'Artificial Intelligence']",the world is moving at a fast pace and people do not usually find the time to read a newspaper or go through the news every day a survey shows that a huge amount of time is spent commuting to workplaces and educational institutions to convert that time into a productive one we have developed an application that can work handsfree this is a news application that works on web browsers both on mobile as well as desktop computers the aim is to create an app that fetches news across various sources all around the world and displays it in an organized manner with a clean user interface along with some hands free voice assistant features,we have developed a news application that can work handsfree this is a news application that works on web browsers both on mobile as well as desktop computers the aim is to create an app that fetches news across various sources all around the world and displays,"['clean user interface' 'hands free voice' 'news application'
 'web browsers']",we have developed a news application that can work handsfree this is a news application that works on web browsers both on mobile as well as desktop computers the aim is to create an app that fetches news across various sources all around the world and displays
doi:10.1007/978-981-19-4162-7_12,en,Intelligent Disease Analysis Using Machine Learning,OriginalPaper,"Heart diseases include disordered functioning of heart which can be saved through early diagnosis. This diagnosis needs a lot of time to perceive the patient through an accurate approach for treatment. Technical advancements are a boon to healthcare domain for analyzing huge amounts of data generated by various hospitals. These data can be further preprocessed and filtered according to the disease analysis. In this paper, logistic regression (LR) and support vector machine (SVM) models are incorporated for effective prediction of heart disease. The results achieved are 93% accurate when the datasets are compared with SVM model.","['Engineering', 'Computational Intelligence', 'Data Mining and Knowledge Discovery', 'Systems and Data Security', 'Mobile and Network Security', 'Information Systems Applications (incl. Internet)']",heart diseases include disordered functioning of heart which can be saved through early diagnosis this diagnosis needs a lot of time to perceive the patient through an accurate approach for treatment technical advancements are a boon to healthcare domain for analyzing huge amounts of data generated by various hospitals these data can be further preprocessed and filtered according to the disease analysis in this paper logistic regression lr and support vector machine svm models are incorporated for effective prediction of heart disease the results achieved are  accurate when the datasets are compared with svm model,"in this paper logistic regression lr and support vector machine ( svm ) model are used to predict the onset of heart disease in a heterogeneous population .<n> the models are tested on well known chronic diseases like diabetes , stroke ,","['disease analysis' 'disordered functioning of' 'heart' 'heart disease'
 'heart diseases' 'logistic regression lr'
 'support vector machine svm models' 'treatment technical advancements']",in this paper logistic regression lr and support vector machine  svm  model are used to predict the onset of heart disease in a heterogeneous population <n> the models are tested on well known chronic diseases like diabetes  stroke 
doi:10.1007/s42757-022-0133-y,en,Assessment of simplified momentum equations for free surface flows through rigid porous media,"['OriginalPaper', 'Research Article']","In many applications, free surface flow through rigid porous media has to be modeled. Examples refer to coastal engineering applications as well as geotechnical or biomedical applications. Albeit the frequent applications, slight inconsistencies in the formulation of the governing equations can be found in the literature. The main goal of this paper is to identify these differences and provide a quantitative assessment of different approaches. Following a review of the different formulations, simulation results obtained from three alternative formulations are compared with experimental and numerical data. Results obtained by 2D and 3D test cases indicate that the predictive differences returned by the different formulations remain small for most applications, in particular for small porous Reynolds number Re P < 5000. Thus it seems justified to select a simplified formulation that supports an efficient algorithm and coding structure in a computational fluid dynamics environment. An estimated accuracy depending on the porous Reynolds number or the mean grain diameter is given for the simplified formulation.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']",in many applications free surface flow through rigid porous media has to be modeled examples refer to coastal engineering applications as well as geotechnical or biomedical applications albeit the frequent applications slight inconsistencies in the formulation of the governing equations can be found in the literature the main goal of this paper is to identify these differences and provide a quantitative assessment of different approaches following a review of the different formulations simulation results obtained from three alternative formulations are compared with experimental and numerical data results obtained by d and d test cases indicate that the predictive differences returned by the different formulations remain small for most applications in particular for small porous reynolds number re p <  thus it seems justified to select a simplified formulation that supports an efficient algorithm and coding structure in a computational fluid dynamics environment an estimated accuracy depending on the porous reynolds number or the mean grain diameter is given for the simplified formulation,in many applications free surface flow through rigid porous media has to be modeled examples refer to coastal engineering applications as well as biomedical applications albeit the frequent applications slight inconsistencies in the formulation of the governing equations can be found in the literature the main goal of this,"['biomedical applications' 'coastal engineering applications'
 'computational fluid dynamics' 'estimated accuracy' 'free surface flow'
 'geotechnical' 'governing equations' 'inconsistencies'
 'mean grain diameter' 'numerical data' 'porous reynolds number'
 'predictive differences' 'rigid porous media']",in many applications free surface flow through rigid porous media has to be modeled examples refer to coastal engineering applications as well as biomedical applications albeit the frequent applications slight inconsistencies in the formulation of the governing equations can be found in the literature the main goal of this
doi:10.1007/978-3-031-08693-9_3,en,Multiplications to Multipliers: Performing Arithmetic in Hardware,OriginalPaper,"Getting an algorithm from an idea to actual hardware involves major changes in the way we think about numbers. In this chapter, we describe how floating-point numbers typical of high-level simulation can be represented in such a way that better reflects the fixed register size of hardware. We also explore how arithmetic is performed in hardware and how this can be extended to complex numbers and to vectors and matrices which are more representative of MIMO systems with QAM modulation. This allows us to bridge operations as used in algorithms to the cost and performance of their hardware implementation which allows us to finally understand how different hardware platforms impact how fast a system runs.","['Engineering', 'Circuits and Systems', 'Microwaves, RF and Optical Engineering']",getting an algorithm from an idea to actual hardware involves major changes in the way we think about numbers in this chapter we describe how floatingpoint numbers typical of highlevel simulation can be represented in such a way that better reflects the fixed register size of hardware we also explore how arithmetic is performed in hardware and how this can be extended to complex numbers and to vectors and matrices which are more representative of mimo systems with qam modulation this allows us to bridge operations as used in algorithms to the cost and performance of their hardware implementation which allows us to finally understand how different hardware platforms impact how fast a system runs,"in this chapter , we explore how different hardware platforms impact how fast a system runs .<n> we also explore how arithmetic is performed in hardware and how this is extended to complex numbers and matrices which are more representative of mimo systems with q","['arithmetic' 'fixed register size' 'floatingpoint numbers'
 'hardware implementation' 'hardware platforms' 'highlevel simulation'
 'matrices' 'qam modulation']",in this chapter  we explore how different hardware platforms impact how fast a system runs <n> we also explore how arithmetic is performed in hardware and how this is extended to complex numbers and matrices which are more representative of mimo systems with q
doi:10.1007/978-3-031-06797-6_13,en,Greece and the Maastricht Treaty: The Fortress That Wasn’t,OriginalPaper,"The approval of the Maastricht Treaty by an overwhelming majority in the Greek Parliament in July 1992 was a milestone in the history of Greece’s integration in the European edifice—or any other similar world order—for both historical and practical reasons. In historical terms, the Treaty was the first that Greece ever signed on a par and simultaneously with the other founding members, as opposed to other partial, belated or lopsided involvements in previous international arrangements.","['History', 'European History', 'History, general', 'Political History', 'Economic History', 'Modern History']",the approval of the maastricht treaty by an overwhelming majority in the greek parliament in july  was a milestone in the history of greeces integration in the european edifice—or any other similar world order—for both historical and practical reasons in historical terms the treaty was the first that greece ever signed on a par and simultaneously with the other founding members as opposed to other partial belated or lopsided involvements in previous international arrangements,"the maastricht treaty is one of the cornerstones of the modern international system .<n> however , it has been debated in the greek parliament for more than thirty years in a way that is reminiscent of the heated intra - european","['european edifice' 'greece' 'greek parliament' 'history'
 'international arrangements' 'maastricht treaty']",the maastricht treaty is one of the cornerstones of the modern international system <n> however  it has been debated in the greek parliament for more than thirty years in a way that is reminiscent of the heated intra  european
doi:10.1007/978-3-031-21595-7_7,en,In the Identification of Arabic Dialects: A Loss Function Ensemble Learning Based-Approach,OriginalPaper,"The automation of a system to accurately identify Arabic dialects many natural language processing tasks, including sentiment analysis, medical chatbots, Arabic speech recognition, machine translation, etc., will greatly benefit because it’s useful to understand the text’s dialect before performing different tasks to it. Different Arabic-speaking nations have adopted various dialects and writing systems. Most of the Arab countries understand modern standard Arabic (MSA), which is the native language of all other Arabic dialects. In this paper we propose a method for identifying Arabic dialects Using the Arabic Online Commentary dataset (AOC), which includes three Arabic dialects-Gulf, Levantine, and egyptian-alongside MSA. Our approach includes two ensemble learning strategies using two BERT-based models and different loss functions such as focal loss, dice loss, and weighted cross-entropy loss. The first strategy is between the two proposed models using the loss function that performed best on the models, and the other is between the same model but using different loss functions, which resulted in 83.3%, 80.1%, 85.8%, 81.45%, Precision, Recall, Accuracy and Macro-F1 on the test set respectively.","['Computer Science', 'Software Engineering/Programming and Operating Systems', 'Computer Communication Networks', 'Database Management', 'Data Mining and Knowledge Discovery', 'Information Systems Applications (incl. Internet)', 'Machine Learning']",the automation of a system to accurately identify arabic dialects many natural language processing tasks including sentiment analysis medical chatbots arabic speech recognition machine translation etc will greatly benefit because its useful to understand the texts dialect before performing different tasks to it different arabicspeaking nations have adopted various dialects and writing systems most of the arab countries understand modern standard arabic msa which is the native language of all other arabic dialects in this paper we propose a method for identifying arabic dialects using the arabic online commentary dataset aoc which includes three arabic dialectsgulf levantine and egyptianalongside msa our approach includes two ensemble learning strategies using two bertbased models and different loss functions such as focal loss dice loss and weighted crossentropy loss the first strategy is between the two proposed models using the loss function that performed best on the models and the other is between the same model but using different loss functions which resulted in     precision recall accuracy and macrof on the test set respectively,"this paper presents a method for identifying arabic dialects using the arabic online commentary ( aoc ) dataset we used two bertbased models and different loss functions to identify three arabic dialects gulf levantine , egyptian","['##a' 'arabic' 'arabic dialects' 'arabic dialectsgulf' 'arabic msa'
 'arabic speech recognition machine translation' 'arabicspeaking nations'
 'egyptianalo' 'ensemble learning' 'focal loss dice loss' 'loss function'
 'loss functions' 'macrof' 'medical chatbots'
 'natural language processing tasks' 'online commentary'
 'sentiment analysis' 'weighted crossentropy loss']",this paper presents a method for identifying arabic dialects using the arabic online commentary  aoc  dataset we used two bertbased models and different loss functions to identify three arabic dialects gulf levantine  egyptian
doi:10.1007/978-3-031-12547-8_32,en,Telework and Women Workers in the Context of the Covid-19 Pandemic: The Case of the Federal Judiciary in Brazil,OriginalPaper,"Introduction: During the pandemic, the social roles of women were accentuated which were added and distributed in: worker, ""housewife"", mother and teacher. The objective of this study is to contextualize the social roles of women and the impact of telework, highlighting the case of those who worked at the Brazilian Federal Judiciary during the Covid-19 pandemic. Material and Methods: Thematic content analysis of open interviews during the pandemic. Eight women workers from different positions in a Judiciary Section participat-ed. Results: Three main themes are identified: work activity, life outside work, and work time. New tasks, a new way of managing work time and the need to estab-lish clear boundaries to ensure a balance between life at work and life out-side. What was already known is reiterated, women continue to do more hours of domestic tasks, and above all they are the ones who take care of the children. Conclusions: For women in telework, the two spaces - public and private - merged and become confused. Redesigning the temporalities of work and life in these workplaces needs to be accompanied by social level policies that ad-dress caregiving responsibilities and gender equality.","['Engineering', 'Engineering Economics, Organization, Logistics, Marketing', 'Occupational Medicine/Industrial Medicine', 'Industrial and Organizational Psychology']","introduction: during the pandemic the social roles of women were accentuated which were added and distributed in: worker ""housewife"" mother and teacher the objective of this study is to contextualize the social roles of women and the impact of telework highlighting the case of those who worked at the brazilian federal judiciary during the covid pandemic material and methods: thematic content analysis of open interviews during the pandemic eight women workers from different positions in a judiciary section participated results: three main themes are identified: work activity life outside work and work time new tasks a new way of managing work time and the need to establish clear boundaries to ensure a balance between life at work and life outside what was already known is reiterated women continue to do more hours of domestic tasks and above all they are the ones who take care of the children conclusions: for women in telework the two spaces  public and private  merged and become confused redesigning the temporalities of work and life in these workplaces needs to be accompanied by social level policies that address caregiving responsibilities and gender equality",during the pandemic the social roles of women were accentuated which were added and distributed in brazilian telework spaces .<n> this study is to contextualize the social roles of women and the impact of telework on them .,"['##wife' 'brazilian federal judiciary' 'caregiving responsibilities'
 'children' 'domestic tasks' 'gender equality' 'social roles' 'telework'
 'thematic content analysis' 'women']",during the pandemic the social roles of women were accentuated which were added and distributed in brazilian telework spaces <n> this study is to contextualize the social roles of women and the impact of telework on them 
doi:10.1007/978-981-19-2225-1_25,en,Cryptocurrency Price Prediction Using Machine Learning,OriginalPaper,"Globally, the use of cryptocurrencies to purchase goods and services has been rising. They rely on a secure distributed ledger data structure; mining is an integral part of such systems. The rise of cryptocurrencies’ value on the market and the growing popularity around the world open several challenges and concerns for business and industrial economics. Cryptocurrencies have been triggered by the substantial changes in their prices, claims that the market for cryptocurrencies is a bubble without any fundamental value and also concerns about evasion of regulatory and legal oversight. Machine learning is part of artificial intelligence that can make future forecastings based on previous experience. In this paper, methods have been proposed to construct machine learning algorithm-based models such as linear regression, K-nearest neighbour(KNN), and also statistical models like Auto-ARIMA and Facebook’s Prophet (Fbprophet). This paper presents a comparative performance of machine learning and statistical modelling algorithms for cryptocurrency forecasting.","['Engineering', 'Communications Engineering, Networks', 'Computational Intelligence', 'Statistics, general', 'Mobile and Network Security']",globally the use of cryptocurrencies to purchase goods and services has been rising they rely on a secure distributed ledger data structure; mining is an integral part of such systems the rise of cryptocurrencies value on the market and the growing popularity around the world open several challenges and concerns for business and industrial economics cryptocurrencies have been triggered by the substantial changes in their prices claims that the market for cryptocurrencies is a bubble without any fundamental value and also concerns about evasion of regulatory and legal oversight machine learning is part of artificial intelligence that can make future forecastings based on previous experience in this paper methods have been proposed to construct machine learning algorithmbased models such as linear regression knearest neighbourknn and also statistical models like autoarima and facebooks prophet fbprophet this paper presents a comparative performance of machine learning and statistical modelling algorithms for cryptocurrency forecasting,in this paper methods have been proposed to construct machine learning algorithmbased models such as linear regression knearest neighbourknn and also statistical models like autoarima and facebooks prophet fbprophet this paper presents a comparative performance of machine learning,"['artificial intelligence' 'cryptocurren' 'cryptocurrencies'
 'cryptocurrency forecasting' 'evasion' 'industrial economics'
 'legal oversight machine learning'
 'linear regression knearest neighbourk' 'machine learning'
 'machine learning algorithmbased models' 'mining'
 'secure distributed ledger data structure'
 'statistical modelling algorithms' 'statistical models']",in this paper methods have been proposed to construct machine learning algorithmbased models such as linear regression knearest neighbourknn and also statistical models like autoarima and facebooks prophet fbprophet this paper presents a comparative performance of machine learning
doi:10.1007/978-981-19-5221-0_15,en,An Insight of Anomaly Detection Using Machine Learning Algorithm in Healthcare Digitalization,OriginalPaper,"Anomaly detection algorithms can be used to discover anomalous behaviour and outliers in a dataset, perhaps revealing new information regarding the development of a disease. While there has been a lot of research comparing anomaly detection performance on public datasets, there has not been as much research comparing unsupervised and supervised physiological datasets. When applied to healthcare data, machine learning algorithms can provide a solution to patients by lowering their risks. As a result, the primary goal of this study is to assess the impact of anomaly detection using a machine learning algorithm in health care, as well as the steps involved in the digitalization of healthcare datasets during anomaly detection.","['Engineering', 'Computational Intelligence', 'Communications Engineering, Networks', 'Sociology, general', 'Cyber-physical systems, IoT', 'Professional Computing']",anomaly detection algorithms can be used to discover anomalous behaviour and outliers in a dataset perhaps revealing new information regarding the development of a disease while there has been a lot of research comparing anomaly detection performance on public datasets there has not been as much research comparing unsupervised and supervised physiological datasets when applied to healthcare data machine learning algorithms can provide a solution to patients by lowering their risks as a result the primary goal of this study is to assess the impact of anomaly detection using a machine learning algorithm in health care as well as the steps involved in the digitalization of healthcare datasets during anomaly detection,"anomaly detection has become an important tool for the analysis of health care data . in this paper<n> , we assess the impact of anomaly detection on the digitalization of health care datasets .<n> we find that anomaly detection can be used as a","['anomalous behaviour' 'anomaly detection' 'anomaly detection algorithms'
 'health care' 'healthcare data machine learning algorithms'
 'healthcare datasets' 'machine learning algorithm' 'public datasets'
 'supervised physiological datasets']",anomaly detection has become an important tool for the analysis of health care data  in this paper<n>  we assess the impact of anomaly detection on the digitalization of health care datasets <n> we find that anomaly detection can be used as a
