_id,fuente,titulo,autores,abstract,clase_primaria,pag_espec,n_citaciones,citado,abstract_limpio,keywords
{'ObjectId': '639d9f0d6d67832e75895c46'},arxiv,['Reinforcement Learning through Asynchronous Advantage Actor-Critic on a GPU'],"['Mohammad Babaeizadeh', 'Iuri Frosio', 'Stephen Tyree', 'Jason Clemons', 'Jan Kautz']","['\n      ', ""  We introduce a hybrid CPU/GPU version of the Asynchronous Advantage\nActor-Critic (A3C) algorithm, currently the state-of-the-art method in\nreinforcement learning for various gaming tasks. We analyze its computational\ntraits and concentrate on aspects critical to leveraging the GPU's\ncomputational power. We introduce a system of queues and a dynamic scheduling\nstrategy, potentially helpful for other asynchronous algorithms as well. Our\nhybrid CPU/GPU version of A3C, based on TensorFlow, achieves a significant\nspeed up compared to a CPU implementation; we make it publicly available to\nother researchers at "", ' .\n\n    ']",['Machine Learning (cs.LG)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 222'],"['/scholar?cites=8757115672331028243&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', ""  We introduce a hybrid CPU/GPU version of the Asynchronous Advantage\nActor-Critic (A3C) algorithm, currently the state-of-the-art method in\nreinforcement learning for various gaming tasks. We analyze its computational\ntraits and concentrate on aspects critical to leveraging the GPU's\ncomputational power. We introduce a system of queues and a dynamic scheduling\nstrategy, potentially helpful for other asynchronous algorithms as well. Our\nhybrid CPU/GPU version of A3C, based on TensorFlow, achieves a significant\nspeed up compared to a CPU implementation; we make it publicly available to\nother researchers at "", ' .\n\n    ']","[array([], dtype=float64), array(['computational traits', 'cpu implementation',
       'dynamic scheduling strategy', 'reinforcement learning',
       'tensorflow'], dtype='<U27'), array([], dtype=float64)]"
{'ObjectId': '639d9f0d6d67832e75895c47'},arxiv,['Altruistic Maneuver Planning for Cooperative Autonomous Vehicles Using Multi-agent Advantage Actor-Critic'],"['Behrad Toghi', 'Rodolfo Valiente', 'Dorsa Sadigh', 'Ramtin Pedarsani', 'Yaser P. Fallah']","['\n      ', ""  With the adoption of autonomous vehicles on our roads, we will witness a\nmixed-autonomy environment where autonomous and human-driven vehicles must\nlearn to co-exist by sharing the same road infrastructure. To attain\nsocially-desirable behaviors, autonomous vehicles must be instructed to\nconsider the utility of other vehicles around them in their decision-making\nprocess. Particularly, we study the maneuver planning problem for autonomous\nvehicles and investigate how a decentralized reward structure can induce\naltruism in their behavior and incentivize them to account for the interest of\nother autonomous and human-driven vehicles. This is a challenging problem due\nto the ambiguity of a human driver's willingness to cooperate with an\nautonomous vehicle. Thus, in contrast with the existing works which rely on\nbehavior models of human drivers, we take an end-to-end approach and let the\nautonomous agents to implicitly learn the decision-making process of human\ndrivers only from experience. We introduce a multi-agent variant of the\nsynchronous Advantage Actor-Critic (A2C) algorithm and train agents that\ncoordinate with each other and can affect the behavior of human drivers to\nimprove traffic flow and safety.\n\n    ""]",['Robotics (cs.RO)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 11'],"['/scholar?cites=1543039800876013962&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', ""  With the adoption of autonomous vehicles on our roads, we will witness a\nmixed-autonomy environment where autonomous and human-driven vehicles must\nlearn to co-exist by sharing the same road infrastructure. To attain\nsocially-desirable behaviors, autonomous vehicles must be instructed to\nconsider the utility of other vehicles around them in their decision-making\nprocess. Particularly, we study the maneuver planning problem for autonomous\nvehicles and investigate how a decentralized reward structure can induce\naltruism in their behavior and incentivize them to account for the interest of\nother autonomous and human-driven vehicles. This is a challenging problem due\nto the ambiguity of a human driver's willingness to cooperate with an\nautonomous vehicle. Thus, in contrast with the existing works which rely on\nbehavior models of human drivers, we take an end-to-end approach and let the\nautonomous agents to implicitly learn the decision-making process of human\ndrivers only from experience. We introduce a multi-agent variant of the\nsynchronous Advantage Actor-Critic (A2C) algorithm and train agents that\ncoordinate with each other and can affect the behavior of human drivers to\nimprove traffic flow and safety.\n\n    ""]","[array([], dtype=float64), array(['autonomous agents', 'autonomous vehicle', 'autonomous vehicles',
       'human drivers', 'maneuver planning problem',
       'road infrastructure', 'synchronous advantage'], dtype='<U25')]"
{'ObjectId': '639d9f0e6d67832e75895c48'},arxiv,['Towards Understanding Asynchronous Advantage Actor-critic: Convergence and Linear Speedup'],"['Han Shen', 'Kaiqing Zhang', 'Mingyi Hong', 'Tianyi Chen']","['\n      ', '  Asynchronous and parallel implementation of standard reinforcement learning\n(RL) algorithms is a key enabler of the tremendous success of modern RL. Among\nmany asynchronous RL algorithms, arguably the most popular and effective one is\nthe asynchronous advantage actor-critic (A3C) algorithm. Although A3C is\nbecoming the workhorse of RL, its theoretical properties are still not\nwell-understood, including its non-asymptotic analysis and the performance gain\nof parallelism (a.k.a. linear speedup). This paper revisits the A3C algorithm\nand establishes its non-asymptotic convergence guarantees. Under both i.i.d.\nand Markovian sampling, we establish the local convergence guarantee for A3C in\nthe general policy approximation case and the global convergence guarantee in\nsoftmax policy parameterization. Under i.i.d. sampling, A3C obtains sample\ncomplexity of $\\mathcal{O}(\\epsilon^{-2.5}/N)$ per worker to achieve $\\epsilon$\naccuracy, where $N$ is the number of workers. Compared to the best-known sample\ncomplexity of $\\mathcal{O}(\\epsilon^{-2.5})$ for two-timescale AC, A3C achieves\n\\emph{linear speedup}, which justifies the advantage of parallelism and\nasynchrony in AC algorithms theoretically for the first time. Numerical tests\non synthetic environment, OpenAI Gym environments and Atari games have been\nprovided to verify our theoretical analysis.\n\n    ']",['Machine Learning (cs.LG)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 10'],"['/scholar?cites=17816434878891582694&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', '  Asynchronous and parallel implementation of standard reinforcement learning\n(RL) algorithms is a key enabler of the tremendous success of modern RL. Among\nmany asynchronous RL algorithms, arguably the most popular and effective one is\nthe asynchronous advantage actor-critic (A3C) algorithm. Although A3C is\nbecoming the workhorse of RL, its theoretical properties are still not\nwell-understood, including its non-asymptotic analysis and the performance gain\nof parallelism (a.k.a. linear speedup). This paper revisits the A3C algorithm\nand establishes its non-asymptotic convergence guarantees. Under both i.i.d.\nand Markovian sampling, we establish the local convergence guarantee for A3C in\nthe general policy approximation case and the global convergence guarantee in\nsoftmax policy parameterization. Under i.i.d. sampling, A3C obtains sample\ncomplexity of $\\mathcal{O}(\\epsilon^{-2.5}/N)$ per worker to achieve $\\epsilon$\naccuracy, where $N$ is the number of workers. Compared to the best-known sample\ncomplexity of $\\mathcal{O}(\\epsilon^{-2.5})$ for two-timescale AC, A3C achieves\n\\emph{linear speedup}, which justifies the advantage of parallelism and\nasynchrony in AC algorithms theoretically for the first time. Numerical tests\non synthetic environment, OpenAI Gym environments and Atari games have been\nprovided to verify our theoretical analysis.\n\n    ']","[array([], dtype=float64), array(['##ch', '##y', '$ \\ mathcal {', 'ac algorithms', 'asynch',
       'asynchronous rl algorithms', 'global convergence guarantee',
       'local convergence guarantee', 'markovian sampling',
       'non - asymptotic convergence', 'openai gym environments',
       'parallel implementation', 'performance', 'reinforcement learning',
       'sample complexity', 'softmax policy parameterization', 'standard',
       'synthetic environment'], dtype='<U31')]"
{'ObjectId': '639d9f0e6d67832e75895c49'},arxiv,['The Advantage Regret-Matching Actor-Critic'],"['Audrūnas Gruslys', 'Marc Lanctot', 'Rémi Munos', 'Finbarr Timbers', 'Martin Schmid', 'Julien Perolat', 'Dustin Morrill', 'Vinicius Zambaldi', 'Jean-Baptiste Lespiau', 'John Schultz', 'Mohammad Gheshlaghi Azar', 'Michael Bowling', 'Karl Tuyls']","['\n      ', ""  Regret minimization has played a key role in online learning, equilibrium\ncomputation in games, and reinforcement learning (RL). In this paper, we\ndescribe a general model-free RL method for no-regret learning based on\nrepeated reconsideration of past behavior. We propose a model-free RL\nalgorithm, the AdvantageRegret-Matching Actor-Critic (ARMAC): rather than\nsaving past state-action data, ARMAC saves a buffer of past policies, replaying\nthrough them to reconstruct hindsight assessments of past behavior. These\nretrospective value estimates are used to predict conditional advantages which,\ncombined with regret matching, produces a new policy. In particular, ARMAC\nlearns from sampled trajectories in a centralized training setting, without\nrequiring the application of importance sampling commonly used in Monte Carlo\ncounterfactual regret (CFR) minimization; hence, it does not suffer from\nexcessive variance in large environments. In the single-agent setting, ARMAC\nshows an interesting form of exploration by keeping past policies intact. In\nthe multiagent setting, ARMAC in self-play approaches Nash equilibria on some\npartially-observable zero-sum benchmarks. We provide exploitability estimates\nin the significantly larger game of betting-abstracted no-limit Texas Hold'em.\n\n    ""]",['Artificial Intelligence (cs.AI)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 14'],"['/scholar?cites=13622395690856603026&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', ""  Regret minimization has played a key role in online learning, equilibrium\ncomputation in games, and reinforcement learning (RL). In this paper, we\ndescribe a general model-free RL method for no-regret learning based on\nrepeated reconsideration of past behavior. We propose a model-free RL\nalgorithm, the AdvantageRegret-Matching Actor-Critic (ARMAC): rather than\nsaving past state-action data, ARMAC saves a buffer of past policies, replaying\nthrough them to reconstruct hindsight assessments of past behavior. These\nretrospective value estimates are used to predict conditional advantages which,\ncombined with regret matching, produces a new policy. In particular, ARMAC\nlearns from sampled trajectories in a centralized training setting, without\nrequiring the application of importance sampling commonly used in Monte Carlo\ncounterfactual regret (CFR) minimization; hence, it does not suffer from\nexcessive variance in large environments. In the single-agent setting, ARMAC\nshows an interesting form of exploration by keeping past policies intact. In\nthe multiagent setting, ARMAC in self-play approaches Nash equilibria on some\npartially-observable zero-sum benchmarks. We provide exploitability estimates\nin the significantly larger game of betting-abstracted no-limit Texas Hold'em.\n\n    ""]","[array([], dtype=float64), array(['##ability', '##ons', '##sight assessments', 'armac',
       'centralized training setting', 'counterfactual regret', 'general',
       'importance sampling', 'monte carlo', 'multiage',
       'nash equilibria', 'online learning', 'regret matching',
       'regret minimization', 'reinforcement learning',
       'repeated reconsideration', 'sampled trajectories'], dtype='<U28')]"
{'ObjectId': '639d9f0e6d67832e75895c4a'},arxiv,['Actor-Critic Sequence Training for Image Captioning'],"['Li Zhang', 'Flood Sung', 'Feng Liu', 'Tao Xiang', 'Shaogang Gong', 'Yongxin Yang', 'Timothy M. Hospedales']","['\n      ', '  Generating natural language descriptions of images is an important capability\nfor a robot or other visual-intelligence driven AI agent that may need to\ncommunicate with human users about what it is seeing. Such image captioning\nmethods are typically trained by maximising the likelihood of ground-truth\nannotated caption given the image. While simple and easy to implement, this\napproach does not directly maximise the language quality metrics we care about\nsuch as CIDEr. In this paper we investigate training image captioning methods\nbased on actor-critic reinforcement learning in order to directly optimise\nnon-differentiable quality metrics of interest. By formulating a per-token\nadvantage and value computation strategy in this novel reinforcement learning\nbased captioning model, we show that it is possible to achieve the state of the\nart performance on the widely used MSCOCO benchmark.\n\n    ']",['Computer Vision and Pattern Recognition (cs.CV)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 111'],"['/scholar?cites=16998376404483706528&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', '  Generating natural language descriptions of images is an important capability\nfor a robot or other visual-intelligence driven AI agent that may need to\ncommunicate with human users about what it is seeing. Such image captioning\nmethods are typically trained by maximising the likelihood of ground-truth\nannotated caption given the image. While simple and easy to implement, this\napproach does not directly maximise the language quality metrics we care about\nsuch as CIDEr. In this paper we investigate training image captioning methods\nbased on actor-critic reinforcement learning in order to directly optimise\nnon-differentiable quality metrics of interest. By formulating a per-token\nadvantage and value computation strategy in this novel reinforcement learning\nbased captioning model, we show that it is possible to achieve the state of the\nart performance on the widely used MSCOCO benchmark.\n\n    ']","[array([], dtype=float64), array(['captioning model', 'image captioning methods', 'language quality',
       'mscoco benchmark', 'reinforcement learning', 'training',
       'value computation strategy'], dtype='<U26')]"
{'ObjectId': '639d9f0f6d67832e75895c4b'},arxiv,['Sample Efficient Actor-Critic with Experience Replay'],"['Ziyu Wang', 'Victor Bapst', 'Nicolas Heess', 'Volodymyr Mnih', 'Remi Munos', 'Koray Kavukcuoglu', 'Nando de Freitas']","['\n      ', '  This paper presents an actor-critic deep reinforcement learning agent with\nexperience replay that is stable, sample efficient, and performs remarkably\nwell on challenging environments, including the discrete 57-game Atari domain\nand several continuous control problems. To achieve this, the paper introduces\nseveral innovations, including truncated importance sampling with bias\ncorrection, stochastic dueling network architectures, and a new trust region\npolicy optimization method.\n\n    ']",['Machine Learning (cs.LG)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 786'],"['/scholar?cites=8369222693188103740&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', '  This paper presents an actor-critic deep reinforcement learning agent with\nexperience replay that is stable, sample efficient, and performs remarkably\nwell on challenging environments, including the discrete 57-game Atari domain\nand several continuous control problems. To achieve this, the paper introduces\nseveral innovations, including truncated importance sampling with bias\ncorrection, stochastic dueling network architectures, and a new trust region\npolicy optimization method.\n\n    ']","[array([], dtype=float64), array(['bias correction', 'continuous control problems',
       'deep reinforcement learning', 'experience replay',
       'stochastic dueling network architectures',
       'truncated importance sampling', 'trust region'], dtype='<U40')]"
{'ObjectId': '639d9f0f6d67832e75895c4c'},arxiv,['Off-policy Maximum Entropy Reinforcement Learning : Soft Actor-Critic with Advantage Weighted Mixture Policy(SAC-AWMP)'],"['Zhimin Hou', 'Kuangen Zhang', 'Yi Wan', 'Dongyu Li', 'Chenglong Fu', 'Haoyong Yu']","['\n      ', '  The optimal policy of a reinforcement learning problem is often discontinuous\nand non-smooth. I.e., for two states with similar representations, their\noptimal policies can be significantly different. In this case, representing the\nentire policy with a function approximator (FA) with shared parameters for all\nstates maybe not desirable, as the generalization ability of parameters sharing\nmakes representing discontinuous, non-smooth policies difficult. A common way\nto solve this problem, known as Mixture-of-Experts, is to represent the policy\nas the weighted sum of multiple components, where different components perform\nwell on different parts of the state space. Following this idea and inspired by\na recent work called advantage-weighted information maximization, we propose to\nlearn for each state weights of these components, so that they entail the\ninformation of the state itself and also the preferred action learned so far\nfor the state. The action preference is characterized via the advantage\nfunction. In this case, the weight of each component would only be large for\ncertain groups of states whose representations are similar and preferred action\nrepresentations are also similar. Therefore each component is easy to be\nrepresented. We call a policy parameterized in this way an Advantage Weighted\nMixture Policy (AWMP) and apply this idea to improve soft-actor-critic (SAC),\none of the most competitive continuous control algorithm. Experimental results\ndemonstrate that SAC with AWMP clearly outperforms SAC in four commonly used\ncontinuous control tasks and achieve stable performance across different random\nseeds.\n\n    ']",['Machine Learning (cs.LG)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 10'],"['/scholar?cites=9691472150620828666&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', '  The optimal policy of a reinforcement learning problem is often discontinuous\nand non-smooth. I.e., for two states with similar representations, their\noptimal policies can be significantly different. In this case, representing the\nentire policy with a function approximator (FA) with shared parameters for all\nstates maybe not desirable, as the generalization ability of parameters sharing\nmakes representing discontinuous, non-smooth policies difficult. A common way\nto solve this problem, known as Mixture-of-Experts, is to represent the policy\nas the weighted sum of multiple components, where different components perform\nwell on different parts of the state space. Following this idea and inspired by\na recent work called advantage-weighted information maximization, we propose to\nlearn for each state weights of these components, so that they entail the\ninformation of the state itself and also the preferred action learned so far\nfor the state. The action preference is characterized via the advantage\nfunction. In this case, the weight of each component would only be large for\ncertain groups of states whose representations are similar and preferred action\nrepresentations are also similar. Therefore each component is easy to be\nrepresented. We call a policy parameterized in this way an Advantage Weighted\nMixture Policy (AWMP) and apply this idea to improve soft-actor-critic (SAC),\none of the most competitive continuous control algorithm. Experimental results\ndemonstrate that SAC with AWMP clearly outperforms SAC in four commonly used\ncontinuous control tasks and achieve stable performance across different random\nseeds.\n\n    ']","[array([], dtype=float64), array(['action representations', 'advantage function',
       'advantage weighted mixture policy', 'continuous control',
       'control', 'preference', 'reinforcement learning problem'],
      dtype='<U33')]"
{'ObjectId': '639d9f0f6d67832e75895c4d'},arxiv,['Asynchronous Advantage Actor-Critic Agent for Starcraft II'],"['Basel Alghanem', 'Keerthana P G']","['\n      ', '  Deep reinforcement learning, and especially the Asynchronous Advantage\nActor-Critic algorithm, has been successfully used to achieve super-human\nperformance in a variety of video games. Starcraft II is a new challenge for\nthe reinforcement learning community with the release of pysc2 learning\nenvironment proposed by Google Deepmind and Blizzard Entertainment. Despite\nbeing a target for several AI developers, few have achieved human level\nperformance. In this project we explain the complexities of this environment\nand discuss the results from our experiments on the environment. We have\ncompared various architectures and have proved that transfer learning can be an\neffective paradigm in reinforcement learning research for complex scenarios\nrequiring skill transfer.\n\n    ']",['Artificial Intelligence (cs.AI)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 4'],"['/scholar?cites=11859479095225713207&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', '  Deep reinforcement learning, and especially the Asynchronous Advantage\nActor-Critic algorithm, has been successfully used to achieve super-human\nperformance in a variety of video games. Starcraft II is a new challenge for\nthe reinforcement learning community with the release of pysc2 learning\nenvironment proposed by Google Deepmind and Blizzard Entertainment. Despite\nbeing a target for several AI developers, few have achieved human level\nperformance. In this project we explain the complexities of this environment\nand discuss the results from our experiments on the environment. We have\ncompared various architectures and have proved that transfer learning can be an\neffective paradigm in reinforcement learning research for complex scenarios\nrequiring skill transfer.\n\n    ']","[array([], dtype=float64), array(['##craft', 'blizzard entertainment', 'complex scenarios',
       'deep reinforcement learning', 'google deepmind', 'pysc2 learning',
       'reinforcement learning', 'reinforcement learning research',
       'transfer learning', 'video games'], dtype='<U31')]"
{'ObjectId': '639d9f0f6d67832e75895c4e'},arxiv,['An advantage actor-critic algorithm for robotic motion planning in dense and dynamic scenarios'],"['Chengmin Zhou', 'Bingding Huang', 'Pasi Fränti']","['\n      ', '  Intelligent robots provide a new insight into efficiency improvement in\nindustrial and service scenarios to replace human labor. However, these\nscenarios include dense and dynamic obstacles that make motion planning of\nrobots challenging. Traditional algorithms like A* can plan collision-free\ntrajectories in static environment, but their performance degrades and\ncomputational cost increases steeply in dense and dynamic scenarios.\nOptimal-value reinforcement learning algorithms (RL) can address these problems\nbut suffer slow speed and instability in network convergence. Network of policy\ngradient RL converge fast in Atari games where action is discrete and finite,\nbut few works have been done to address problems where continuous actions and\nlarge action space are required. In this paper, we modify existing advantage\nactor-critic algorithm and suit it to complex motion planning, therefore\noptimal speeds and directions of robot are generated. Experimental results\ndemonstrate that our algorithm converges faster and stable than optimal-value\nRL. It achieves higher success rate in motion planning with lesser processing\ntime for robot to reach its goal.\n\n    ']",['Robotics (cs.RO)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 2'],"['/scholar?cites=16945176442469715803&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', '  Intelligent robots provide a new insight into efficiency improvement in\nindustrial and service scenarios to replace human labor. However, these\nscenarios include dense and dynamic obstacles that make motion planning of\nrobots challenging. Traditional algorithms like A* can plan collision-free\ntrajectories in static environment, but their performance degrades and\ncomputational cost increases steeply in dense and dynamic scenarios.\nOptimal-value reinforcement learning algorithms (RL) can address these problems\nbut suffer slow speed and instability in network convergence. Network of policy\ngradient RL converge fast in Atari games where action is discrete and finite,\nbut few works have been done to address problems where continuous actions and\nlarge action space are required. In this paper, we modify existing advantage\nactor-critic algorithm and suit it to complex motion planning, therefore\noptimal speeds and directions of robot are generated. Experimental results\ndemonstrate that our algorithm converges faster and stable than optimal-value\nRL. It achieves higher success rate in motion planning with lesser processing\ntime for robot to reach its goal.\n\n    ']","[array([], dtype=float64), array(['atari games', 'computational cost', 'dynamic scenarios',
       'motion planning', 'network convergence', 'processing time'],
      dtype='<U19')]"
{'ObjectId': '639d9f106d67832e75895c4f'},arxiv,['Hybrid Actor-Critic Reinforcement Learning in Parameterized Action Space'],"['Zhou Fan', 'Rui Su', 'Weinan Zhang', 'Yong Yu']","['\n      ', '  In this paper we propose a hybrid architecture of actor-critic algorithms for\nreinforcement learning in parameterized action space, which consists of\nmultiple parallel sub-actor networks to decompose the structured action space\ninto simpler action spaces along with a critic network to guide the training of\nall sub-actor networks. While this paper is mainly focused on parameterized\naction space, the proposed architecture, which we call hybrid actor-critic, can\nbe extended for more general action spaces which has a hierarchical structure.\nWe present an instance of the hybrid actor-critic architecture based on\nproximal policy optimization (PPO), which we refer to as hybrid proximal policy\noptimization (H-PPO). Our experiments test H-PPO on a collection of tasks with\nparameterized action space, where H-PPO demonstrates superior performance over\nprevious methods of parameterized action reinforcement learning.\n\n    ']",['Machine Learning (cs.LG)'],https://scholar.google.com/scholar?q=advantage+actor+critic+source%3Aarxiv&oq=,['Citado por 47'],"['/scholar?cites=18098031806703639264&as_sdt=2005&sciodt=0,5&hl=es&oe=ASCII']","['\n      ', '  In this paper we propose a hybrid architecture of actor-critic algorithms for\nreinforcement learning in parameterized action space, which consists of\nmultiple parallel sub-actor networks to decompose the structured action space\ninto simpler action spaces along with a critic network to guide the training of\nall sub-actor networks. While this paper is mainly focused on parameterized\naction space, the proposed architecture, which we call hybrid actor-critic, can\nbe extended for more general action spaces which has a hierarchical structure.\nWe present an instance of the hybrid actor-critic architecture based on\nproximal policy optimization (PPO), which we refer to as hybrid proximal policy\noptimization (H-PPO). Our experiments test H-PPO on a collection of tasks with\nparameterized action space, where H-PPO demonstrates superior performance over\nprevious methods of parameterized action reinforcement learning.\n\n    ']","[array([], dtype=float64), array(['hybrid architecture', 'hybrid proximal policy optimization',
       'parameterized action reinforcement learning',
       'parameterized action space', 'proximal policy optimization',
       'reinforcement learning', 'structured action space'], dtype='<U43')]"
