titulo,abstract,clase_pri,clase_otr
How Does NLP Benefit Legal System: A Summary of Legal Artificial Intelligence,"  Legal Artificial Intelligence (LegalAI) focuses on applying the technology of
artificial intelligence, especially natural language processing, to benefit
tasks in the legal domain. In recent years, LegalAI has drawn increasing
attention rapidly from both AI researchers and legal professionals, as LegalAI
is beneficial to the legal system for liberating legal professionals from a
maze of paperwork. Legal professionals often think about how to solve tasks
from rule-based and symbol-based methods, while NLP researchers concentrate
more on data-driven and embedding methods. In this paper, we introduce the
history, the current state, and the future directions of research in LegalAI.
We illustrate the tasks from the perspectives of legal professionals and NLP
researchers and show several representative applications in LegalAI. We conduct
experiments and provide an in-depth analysis of the advantages and
disadvantages of existing works to explore possible future directions. You can
find the implementation of our work from ",Computation and Language (cs.CL),
Applications of Artificial Intelligence Techniques to Combating Cyber Crimes: A Review,"  With the advances in information technology (IT) criminals are using
cyberspace to commit numerous cyber crimes. Cyber infrastructures are highly
vulnerable to intrusions and other threats. Physical devices and human
intervention are not sufficient for monitoring and protection of these
infrastructures; hence, there is a need for more sophisticated cyber defense
systems that need to be flexible, adaptable and robust, and able to detect a
wide variety of threats and make intelligent real-time decisions. Numerous
bio-inspired computing methods of Artificial Intelligence have been
increasingly playing an important role in cyber crime detection and prevention.
The purpose of this study is to present advances made so far in the field of
applying AI techniques for combating cyber crimes, to demonstrate how these
techniques can be an effective tool for detection and prevention of cyber
attacks, as well as to give the scope for future work.

    ",Artificial Intelligence (cs.AI),; Cryptography and Security (cs.CR); Computers and Society (cs.CY)
Artificial Intelligence and its Role in Near Future,"  AI technology has a long history which is actively and constantly changing
and growing. It focuses on intelligent agents, which contain devices that
perceive the environment and based on which takes actions in order to maximize
goal success chances. In this paper, we will explain the modern AI basics and
various representative applications of AI. In the context of the modern
digitalized world, AI is the property of machines, computer programs, and
systems to perform the intellectual and creative functions of a person,
independently find ways to solve problems, be able to draw conclusions and make
decisions. Most artificial intelligence systems have the ability to learn,
which allows people to improve their performance over time. The recent research
on AI tools, including machine learning, deep learning and predictive analysis
intended toward increasing the planning, learning, reasoning, thinking and
action taking ability. Based on which, the proposed research intends towards
exploring on how the human intelligence differs from the artificial
intelligence. Moreover, we critically analyze what AI of today is capable of
doing, why it still cannot reach human intelligence and what are the open
challenges existing in front of AI to reach and outperform human level of
intelligence. Furthermore, it will explore the future predictions for
artificial intelligence and based on which potential solution will be
recommended to solve it within next decades.

    ",Artificial Intelligence (cs.AI),; Computer Vision and Pattern Recognition (cs.CV)
The Challenge of Non-Technical Loss Detection using Artificial Intelligence: A Survey,"  Detection of non-technical losses (NTL) which include electricity theft,
faulty meters or billing errors has attracted increasing attention from
researchers in electrical engineering and computer science. NTLs cause
significant harm to the economy, as in some countries they may range up to 40%
of the total electricity distributed. The predominant research direction is
employing artificial intelligence to predict whether a customer causes NTL.
This paper first provides an overview of how NTLs are defined and their impact
on economies, which include loss of revenue and profit of electricity providers
and decrease of the stability and reliability of electrical power grids. It
then surveys the state-of-the-art research efforts in a up-to-date and
comprehensive review of algorithms, features and data sets used. It finally
identifies the key scientific and engineering challenges in NTL detection and
suggests how they could be addressed in the future.

    ",Artificial Intelligence (cs.AI),
Building Ethics into Artificial Intelligence,"  As artificial intelligence (AI) systems become increasingly ubiquitous, the
topic of AI governance for ethical decision-making by AI has captured public
imagination. Within the AI research community, this topic remains less familiar
to many researchers. In this paper, we complement existing surveys, which
largely focused on the psychological, social and legal discussions of the
topic, with an analysis of recent advances in technical solutions for AI
governance. By reviewing publications in leading AI conferences including AAAI,
AAMAS, ECAI and IJCAI, we propose a taxonomy which divides the field into four
areas: 1) exploring ethical dilemmas; 2) individual ethical decision
frameworks; 3) collective ethical decision frameworks; and 4) ethics in
human-AI interactions. We highlight the intuitions and key techniques used in
each approach, and discuss promising future research directions towards
successful integration of ethical AI systems into human societies.

    ",Artificial Intelligence (cs.AI),
From Statistical Relational to Neuro-Symbolic Artificial Intelligence,"  Neuro-symbolic and statistical relational artificial intelligence both
integrate frameworks for learning with logical reasoning. This survey
identifies several parallels across seven different dimensions between these
two fields. These cannot only be used to characterize and position
neuro-symbolic artificial intelligence approaches but also to identify a number
of directions for further research.

    ",Artificial Intelligence (cs.AI),
Detection of Covid-19 From Chest X-ray Images Using Artificial Intelligence: An Early Review,"  In 2019, the entire world is facing a situation of health emergency due to a
newly emerged coronavirus (COVID-19). Almost 196 countries are affected by
covid-19, while USA, Italy, China, Spain, Iran, and France have the maximum
active cases of COVID-19. The issues, medical and healthcare departments are
facing in delay of detecting the COVID-19. Several artificial intelligence
based system are designed for the automatic detection of COVID-19 using chest
x-rays. In this article we will discuss the different approaches used for the
detection of COVID-19 and the challenges we are facing. It is mandatory to
develop an automatic detection system to prevent the transfer of the virus
through contact. Several deep learning architecture are deployed for the
detection of COVID-19 such as ResNet, Inception, Googlenet etc. All these
approaches are detecting the subjects suffering with pneumonia while its hard
to decide whether the pneumonia is caused by COVID-19 or due to any other
bacterial or fungal attack.

    ",Image and Video Processing (eess.IV),; Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)
"Gathering Strength, Gathering Storms: The One Hundred Year Study on Artificial Intelligence (AI100) 2021 Study Panel Report","  In September 2021, the ""One Hundred Year Study on Artificial Intelligence""
project (AI100) issued the second report of its planned long-term periodic
assessment of artificial intelligence (AI) and its impact on society. It was
written by a panel of 17 study authors, each of whom is deeply rooted in AI
research, chaired by Michael Littman of Brown University. The report, entitled
""Gathering Strength, Gathering Storms,"" answers a set of 14 questions probing
critical areas of AI development addressing the major risks and dangers of AI,
its effects on society, its public perception and the future of the field. The
report concludes that AI has made a major leap from the lab to people's lives
in recent years, which increases the urgency to understand its potential
negative effects. The questions were developed by the AI100 Standing Committee,
chaired by Peter Stone of the University of Texas at Austin, consisting of a
group of AI leaders with expertise in computer science, sociology, ethics,
economics, and other disciplines.

    ",Artificial Intelligence (cs.AI),
Linking Artificial Intelligence Principles,"  Artificial Intelligence principles define social and ethical considerations
to develop future AI. They come from research institutes, government
organizations and industries. All versions of AI principles are with different
considerations covering different perspectives and making different emphasis.
None of them can be considered as complete and can cover the rest AI principle
proposals. Here we introduce LAIP, an effort and platform for linking and
analyzing different Artificial Intelligence Principles. We want to explicitly
establish the common topics and links among AI Principles proposed by different
organizations and investigate on their uniqueness. Based on these efforts, for
the long-term future of AI, instead of directly adopting any of the AI
principles, we argue for the necessity of incorporating various AI Principles
into a comprehensive framework and focusing on how they can interact and
complete each other.

    ",Artificial Intelligence (cs.AI),; Computers and Society (cs.CY)
"AI-GAs: AI-generating algorithms, an alternate paradigm for producing general artificial intelligence","  Perhaps the most ambitious scientific quest in human history is the creation
of general artificial intelligence, which roughly means AI that is as smart or
smarter than humans. The dominant approach in the machine learning community is
to attempt to discover each of the pieces required for intelligence, with the
implicit assumption that some future group will complete the Herculean task of
figuring out how to combine all of those pieces into a complex thinking
machine. I call this the ""manual AI approach"". This paper describes another
exciting path that ultimately may be more successful at producing general AI.
It is based on the clear trend in machine learning that hand-designed solutions
eventually are replaced by more effective, learned solutions. The idea is to
create an AI-generating algorithm (AI-GA), which automatically learns how to
produce general AI. Three Pillars are essential for the approach: (1)
meta-learning architectures, (2) meta-learning the learning algorithms
themselves, and (3) generating effective learning environments. I argue that
either approach could produce general AI first, and both are scientifically
worthwhile irrespective of which is the fastest path. Because both are
promising, yet the ML community is currently committed to the manual approach,
I argue that our community should increase its research investment in the AI-GA
approach. To encourage such research, I describe promising work in each of the
Three Pillars. I also discuss AI-GA-specific safety and ethical considerations.
Because it it may be the fastest path to general AI and because it is
inherently scientifically interesting to understand the conditions in which a
simple algorithm can produce general AI (as happened on Earth where Darwinian
evolution produced human intelligence), I argue that the pursuit of AI-GAs
should be considered a new grand challenge of computer science research.

    ",Artificial Intelligence (cs.AI),
