titulo,abstract,clase_pri,clase_otr
Large image datasets: A pyrrhic win for computer vision?,"  In this paper we investigate problematic practices and consequences of large
scale vision datasets. We examine broad issues such as the question of consent
and justice as well as specific concerns such as the inclusion of verifiably
pornographic images in datasets. Taking the ImageNet-ILSVRC-2012 dataset as an
example, we perform a cross-sectional model-based quantitative census covering
factors such as age, gender, NSFW content scoring, class-wise accuracy,
human-cardinality-analysis, and the semanticity of the image class information
in order to statistically investigate the extent and subtleties of ethical
transgressions. We then use the census to help hand-curate a look-up-table of
images in the ImageNet-ILSVRC-2012 dataset that fall into the categories of
verifiably pornographic: shot in a non-consensual setting (up-skirt), beach
voyeuristic, and exposed private parts. We survey the landscape of harm and
threats both society broadly and individuals face due to uncritical and
ill-considered dataset curation practices. We then propose possible courses of
correction and critique the pros and cons of these. We have duly open-sourced
all of the code and the census meta-datasets generated in this endeavor for the
computer vision community to build on. By unveiling the severity of the
threats, our hope is to motivate the constitution of mandatory Institutional
Review Boards (IRB) for large scale dataset curation processes.

    ",Computers and Society (cs.CY),; Applications (stat.AP); Machine Learning (stat.ML)
The Heisenberg Representation of Quantum Computers,"  Since Shor's discovery of an algorithm to factor numbers on a quantum
computer in polynomial time, quantum computation has become a subject of
immense interest. Unfortunately, one of the key features of quantum computers -
the difficulty of describing them on classical computers - also makes it
difficult to describe and understand precisely what can be done with them. A
formalism describing the evolution of operators rather than states has proven
extremely fruitful in understanding an important class of quantum operations.
States used in error correction and certain communication protocols can be
described by their stabilizer, a group of tensor products of Pauli matrices.
Even this simple group structure is sufficient to allow a rich range of quantum
effects, although it falls short of the full power of quantum computation.

    ",Quantum Physics (quant-ph),
MNIST-C: A Robustness Benchmark for Computer Vision,"  We introduce the MNIST-C dataset, a comprehensive suite of 15 corruptions
applied to the MNIST test set, for benchmarking out-of-distribution robustness
in computer vision. Through several experiments and visualizations we
demonstrate that our corruptions significantly degrade performance of
state-of-the-art computer vision models while preserving the semantic content
of the test images. In contrast to the popular notion of adversarial
robustness, our model-agnostic corruptions do not seek worst-case performance
but are instead designed to be broad and diverse, capturing multiple failure
modes of modern models. In fact, we find that several previously published
adversarial defenses significantly degrade robustness as measured by MNIST-C.
We hope that our benchmark serves as a useful tool for future work in designing
systems that are able to learn robust feature representations that capture the
underlying semantics of the input.

    ",Computer Vision and Pattern Recognition (cs.CV),; Machine Learning (cs.LG)
How will quantum computers provide an industrially relevant computational advantage in quantum chemistry?,"  Numerous reports claim that quantum advantage, which should emerge as a
direct consequence of the advent of quantum computers, will herald a new era of
chemical research because it will enable scientists to perform the kinds of
quantum chemical simulations that have not been possible before. Such
simulations on quantum computers, promising a significantly greater accuracy
and speed, are projected to exert a great impact on the way we can probe
reality, predict the outcomes of chemical experiments, and even drive design of
drugs, catalysts, and materials. In this work we review the current status of
quantum hardware and algorithm theory and examine whether such popular claims
about quantum advantage are really going to be transformative. We go over
subtle complications of quantum chemical research that tend to be overlooked in
discussions involving quantum computers. We estimate quantum computer resources
that will be required for performing calculations on quantum computers with
chemical accuracy for several types of molecules. In particular, we directly
compare the resources and timings associated with classical and quantum
computers for the molecules H$_2$ for increasing basis set sizes, and Cr$_2$
for a variety of complete active spaces (CAS) within the scope of the CASCI and
CASSCF methods. The results obtained for the chromium dimer enable us to
estimate the size of the active space at which computations of non-dynamic
correlation on a quantum computer should take less time than analogous
computations on a classical computer. Using this result, we speculate on the
types of chemical applications for which the use of quantum computers would be
both beneficial and relevant to industrial applications in the short term.

    ",Quantum Physics (quant-ph),; Chemical Physics (physics.chem-ph)
DLIME: A Deterministic Local Interpretable Model-Agnostic Explanations Approach for Computer-Aided Diagnosis Systems,"  Local Interpretable Model-Agnostic Explanations (LIME) is a popular technique
used to increase the interpretability and explainability of black box Machine
Learning (ML) algorithms. LIME typically generates an explanation for a single
prediction by any ML model by learning a simpler interpretable model (e.g.
linear classifier) around the prediction through generating simulated data
around the instance by random perturbation, and obtaining feature importance
through applying some form of feature selection. While LIME and similar local
algorithms have gained popularity due to their simplicity, the random
perturbation and feature selection methods result in ""instability"" in the
generated explanations, where for the same prediction, different explanations
can be generated. This is a critical issue that can prevent deployment of LIME
in a Computer-Aided Diagnosis (CAD) system, where stability is of utmost
importance to earn the trust of medical professionals. In this paper, we
propose a deterministic version of LIME. Instead of random perturbation, we
utilize agglomerative Hierarchical Clustering (HC) to group the training data
together and K-Nearest Neighbour (KNN) to select the relevant cluster of the
new instance that is being explained. After finding the relevant cluster, a
linear model is trained over the selected cluster to generate the explanations.
Experimental results on three different medical datasets show the superiority
for Deterministic Local Interpretable Model-Agnostic Explanations (DLIME),
where we quantitatively determine the stability of DLIME compared to LIME
utilizing the Jaccard similarity among multiple generated explanations.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI); Machine Learning (stat.ML)
Using Computer Vision to enhance Safety of Workforce in Manufacturing in a Post COVID World,"  The COVID-19 pandemic forced governments across the world to impose lockdowns
to prevent virus transmissions. This resulted in the shutdown of all economic
activity and accordingly the production at manufacturing plants across most
sectors was halted. While there is an urgency to resume production, there is an
even greater need to ensure the safety of the workforce at the plant site.
Reports indicate that maintaining social distancing and wearing face masks
while at work clearly reduces the risk of transmission. We decided to use
computer vision on CCTV feeds to monitor worker activity and detect violations
which trigger real time voice alerts on the shop floor. This paper describes an
efficient and economic approach of using AI to create a safe environment in a
manufacturing setup. We demonstrate our approach to build a robust social
distancing measurement algorithm using a mix of modern-day deep learning and
classic projective geometry techniques. We have deployed our solution at
manufacturing plants across the Aditya Birla Group (ABG). We have also
described our face mask detection approach which provides a high accuracy
across a range of customized masks.

    ",Computer Vision and Pattern Recognition (cs.CV),; Machine Learning (cs.LG); Machine Learning (stat.ML)
Florence: A New Foundation Model for Computer Vision,"  Automated visual understanding of our diverse and open world demands computer
vision models to generalize well with minimal customization for specific tasks,
similar to human vision. Computer vision foundation models, which are trained
on diverse, large-scale dataset and can be adapted to a wide range of
downstream tasks, are critical for this mission to solve real-world computer
vision applications. While existing vision foundation models such as CLIP,
ALIGN, and Wu Dao 2.0 focus mainly on mapping images and textual
representations to a cross-modal shared representation, we introduce a new
computer vision foundation model, Florence, to expand the representations from
coarse (scene) to fine (object), from static (images) to dynamic (videos), and
from RGB to multiple modalities (caption, depth). By incorporating universal
visual-language representations from Web-scale image-text data, our Florence
model can be easily adapted for various computer vision tasks, such as
classification, retrieval, object detection, VQA, image caption, video
retrieval and action recognition. Moreover, Florence demonstrates outstanding
performance in many types of transfer learning: fully sampled fine-tuning,
linear probing, few-shot transfer and zero-shot transfer for novel images and
objects. All of these properties are critical for our vision foundation model
to serve general purpose vision tasks. Florence achieves new state-of-the-art
results in majority of 44 representative benchmarks, e.g., ImageNet-1K
zero-shot classification with top-1 accuracy of 83.74 and the top-5 accuracy of
97.18, 62.4 mAP on COCO fine tuning, 80.36 on VQA, and 87.8 on Kinetics-600.

    ",Computer Vision and Pattern Recognition (cs.CV),; Artificial Intelligence (cs.AI); Machine Learning (cs.LG)
SqueezeBERT: What can computer vision teach NLP about efficient neural networks?,"  Humans read and write hundreds of billions of messages every day. Further,
due to the availability of large datasets, large computing systems, and better
neural network models, natural language processing (NLP) technology has made
significant strides in understanding, proofreading, and organizing these
messages. Thus, there is a significant opportunity to deploy NLP in myriad
applications to help web users, social networks, and businesses. In particular,
we consider smartphones and other mobile devices as crucial platforms for
deploying NLP models at scale. However, today's highly-accurate NLP neural
network models such as BERT and RoBERTa are extremely computationally
expensive, with BERT-base taking 1.7 seconds to classify a text snippet on a
Pixel 3 smartphone. In this work, we observe that methods such as grouped
convolutions have yielded significant speedups for computer vision networks,
but many of these techniques have not been adopted by NLP neural network
designers. We demonstrate how to replace several operations in self-attention
layers with grouped convolutions, and we use this technique in a novel network
architecture called SqueezeBERT, which runs 4.3x faster than BERT-base on the
Pixel 3 while achieving competitive accuracy on the GLUE test set. The
SqueezeBERT code will be released.

    ",Computation and Language (cs.CL),; Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG)
Better Computer Go Player with Neural Network and Long-term Prediction,"  Competing with top human players in the ancient game of Go has been a
long-term goal of artificial intelligence. Go's high branching factor makes
traditional search techniques ineffective, even on leading-edge hardware, and
Go's evaluation function could change drastically with one stone change. Recent
works [Maddison et al. (2015); Clark & Storkey (2015)] show that search is not
strictly necessary for machine Go players. A pure pattern-matching approach,
based on a Deep Convolutional Neural Network (DCNN) that predicts the next
move, can perform as well as Monte Carlo Tree Search (MCTS)-based open source
Go engines such as Pachi [Baudis & Gailly (2012)] if its search budget is
limited. We extend this idea in our bot named darkforest, which relies on a
DCNN designed for long-term predictions. Darkforest substantially improves the
win rate for pattern-matching approaches against MCTS-based approaches, even
with looser search budgets. Against human players, the newest versions,
darkfores2, achieve a stable 3d level on KGS Go Server as a ranked bot, a
substantial improvement upon the estimated 4k-5k ranks for DCNN reported in
Clark & Storkey (2015) based on games against other machine players. Adding
MCTS to darkfores2 creates a much stronger player named darkfmcts3: with 5000
rollouts, it beats Pachi with 10k rollouts in all 250 games; with 75k rollouts
it achieves a stable 5d level in KGS server, on par with state-of-the-art Go
AIs (e.g., Zen, DolBaram, CrazyStone) except for AlphaGo [Silver et al.
(2016)]; with 110k rollouts, it won the 3rd place in January KGS Go Tournament.

    ",Machine Learning (cs.LG),; Artificial Intelligence (cs.AI)
Computer Simulation of Neural Networks Using Spreadsheets: The Dawn of the Age of Camelot,"  The article substantiates the necessity to develop training methods of
computer simulation of neural networks in the spreadsheet environment. The
systematic review of their application to simulating artificial neural networks
is performed. The authors distinguish basic approaches to solving the problem
of network computer simulation training in the spreadsheet environment, joint
application of spreadsheets and tools of neural network simulation, application
of third-party add-ins to spreadsheets, development of macros using the
embedded languages of spreadsheets; use of standard spreadsheet add-ins for
non-linear optimization, creation of neural networks in the spreadsheet
environment without add-ins and macros. After analyzing a collection of
writings of 1890-1950, the research determines the role of the scientific
journal ""Bulletin of Mathematical Biophysics"", its founder Nicolas Rashevsky
and the scientific community around the journal in creating and developing
models and methods of computational neuroscience. There are identified
psychophysical basics of creating neural networks, mathematical foundations of
neural computing and methods of neuroengineering (image recognition, in
particular). The role of Walter Pitts in combining the descriptive and
quantitative theories of training is discussed. It is shown that to acquire
neural simulation competences in the spreadsheet environment, one should master
the models based on the historical and genetic approach. It is indicated that
there are three groups of models, which are promising in terms of developing
corresponding methods - the continuous two-factor model of Rashevsky, the
discrete model of McCulloch and Pitts, and the discrete-continuous models of
Householder and Landahl.

    ",Computers and Society (cs.CY),
