titulo,abstract,clase_pri,clase_otr
The Anatomy of the Facebook Social Graph,"  We study the structure of the social graph of active Facebook users, the
largest social network ever analyzed. We compute numerous features of the graph
including the number of users and friendships, the degree distribution, path
lengths, clustering, and mixing patterns. Our results center around three main
observations. First, we characterize the global structure of the graph,
determining that the social network is nearly fully connected, with 99.91% of
individuals belonging to a single large connected component, and we confirm the
""six degrees of separation"" phenomenon on a global scale. Second, by studying
the average local clustering coefficient and degeneracy of graph neighborhoods,
we show that while the Facebook graph as a whole is clearly sparse, the graph
neighborhoods of users contain surprisingly dense structure. Third, we
characterize the assortativity patterns present in the graph by studying the
basic demographic and network properties of users. We observe clear degree
assortativity and characterize the extent to which ""your friends have more
friends than you"". Furthermore, we observe a strong effect of age on friendship
preferences as well as a globally modular community structure driven by
nationality, but we do not find any strong gender homophily. We compare our
results with those from smaller social networks and find mostly, but not
entirely, agreement on common structural network characteristics.

    ",Social and Information Networks (cs.SI),; Physics and Society (physics.soc-ph)
RotatE: Knowledge Graph Embedding by Relational Rotation in Complex Space,"  We study the problem of learning representations of entities and relations in
knowledge graphs for predicting missing links. The success of such a task
heavily relies on the ability of modeling and inferring the patterns of (or
between) the relations. In this paper, we present a new approach for knowledge
graph embedding called RotatE, which is able to model and infer various
relation patterns including: symmetry/antisymmetry, inversion, and composition.
Specifically, the RotatE model defines each relation as a rotation from the
source entity to the target entity in the complex vector space. In addition, we
propose a novel self-adversarial negative sampling technique for efficiently
and effectively training the RotatE model. Experimental results on multiple
benchmark knowledge graphs show that the proposed RotatE model is not only
scalable, but also able to infer and model various relation patterns and
significantly outperform existing state-of-the-art models for link prediction.

    ",Machine Learning (cs.LG),; Computation and Language (cs.CL); Machine Learning (stat.ML)
Spatio-Temporal Graph Convolutional Networks: A Deep Learning Framework for Traffic Forecasting,"  Timely accurate traffic forecast is crucial for urban traffic control and
guidance. Due to the high nonlinearity and complexity of traffic flow,
traditional methods cannot satisfy the requirements of mid-and-long term
prediction tasks and often neglect spatial and temporal dependencies. In this
paper, we propose a novel deep learning framework, Spatio-Temporal Graph
Convolutional Networks (STGCN), to tackle the time series prediction problem in
traffic domain. Instead of applying regular convolutional and recurrent units,
we formulate the problem on graphs and build the model with complete
convolutional structures, which enable much faster training speed with fewer
parameters. Experiments show that our model STGCN effectively captures
comprehensive spatio-temporal correlations through modeling multi-scale traffic
networks and consistently outperforms state-of-the-art baselines on various
real-world traffic datasets.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML)
Deep Convolutional Networks on Graph-Structured Data,"  Deep Learning's recent successes have mostly relied on Convolutional
Networks, which exploit fundamental statistical properties of images, sounds
and video data: the local stationarity and multi-scale compositional structure,
that allows expressing long range interactions in terms of shorter, localized
interactions. However, there exist other important examples, such as text
documents or bioinformatic data, that may lack some or all of these strong
statistical regularities.
",Machine Learning (cs.LG),; Computer Vision and Pattern Recognition (cs.CV); Neural and Evolutionary Computing (cs.NE)
Benchmarking Graph Neural Networks,"  In the last few years, graph neural networks (GNNs) have become the standard
toolkit for analyzing and learning from data on graphs. This emerging field has
witnessed an extensive growth of promising techniques that have been applied
with success to computer science, mathematics, biology, physics and chemistry.
But for any successful field to become mainstream and reliable, benchmarks must
be developed to quantify progress. This led us in March 2020 to release a
benchmark framework that i) comprises of a diverse collection of mathematical
and real-world graphs, ii) enables fair model comparison with the same
parameter budget to identify key architectures, iii) has an open-source,
easy-to-use and reproducible code infrastructure, and iv) is flexible for
researchers to experiment with new theoretical ideas. As of May 2022, the
GitHub repository has reached 1,800 stars and 339 forks, which demonstrates the
utility of the proposed open-source framework through the wide usage by the GNN
community. In this paper, we present an updated version of our benchmark with a
concise presentation of the aforementioned framework characteristics, an
additional medium-sized molecular dataset AQSOL, similar to the popular ZINC,
but with a real-world measured chemical target, and discuss how this framework
can be leveraged to explore new GNN designs and insights. As a proof of value
of our benchmark, we study the case of graph positional encoding (PE) in GNNs,
which was introduced with this benchmark and has since spurred interest of
exploring more powerful PE for Transformers and GNNs in a robust experimental
setting.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML)
Graph WaveNet for Deep Spatial-Temporal Graph Modeling,"  Spatial-temporal graph modeling is an important task to analyze the spatial
relations and temporal trends of components in a system. Existing approaches
mostly capture the spatial dependency on a fixed graph structure, assuming that
the underlying relation between entities is pre-determined. However, the
explicit graph structure (relation) does not necessarily reflect the true
dependency and genuine relation may be missing due to the incomplete
connections in the data. Furthermore, existing methods are ineffective to
capture the temporal trends as the RNNs or CNNs employed in these methods
cannot capture long-range temporal sequences. To overcome these limitations, we
propose in this paper a novel graph neural network architecture, Graph WaveNet,
for spatial-temporal graph modeling. By developing a novel adaptive dependency
matrix and learn it through node embedding, our model can precisely capture the
hidden spatial dependency in the data. With a stacked dilated 1D convolution
component whose receptive field grows exponentially as the number of layers
increases, Graph WaveNet is able to handle very long sequences. These two
components are integrated seamlessly in a unified framework and the whole
framework is learned in an end-to-end manner. Experimental results on two
public traffic network datasets, METR-LA and PEMS-BAY, demonstrate the superior
performance of our algorithm.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML)
"Deep Graph Library: A Graph-Centric, Highly-Performant Package for Graph Neural Networks","  Advancing research in the emerging field of deep graph learning requires new
tools to support tensor computation over graphs. In this paper, we present the
design principles and implementation of Deep Graph Library (DGL). DGL distills
the computational patterns of GNNs into a few generalized sparse tensor
operations suitable for extensive parallelization. By advocating graph as the
central programming abstraction, DGL can perform optimizations transparently.
By cautiously adopting a framework-neutral design, DGL allows users to easily
port and leverage the existing components across multiple deep learning
frameworks. Our evaluation shows that DGL significantly outperforms other
popular GNN-oriented frameworks in both speed and memory consumption over a
variety of benchmarks and has little overhead for small scale workloads.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML)
DropEdge: Towards Deep Graph Convolutional Networks on Node Classification,"  \emph{Over-fitting} and \emph{over-smoothing} are two main obstacles of
developing deep Graph Convolutional Networks (GCNs) for node classification. In
particular, over-fitting weakens the generalization ability on small dataset,
while over-smoothing impedes model training by isolating output representations
from the input features with the increase in network depth. This paper proposes
DropEdge, a novel and flexible technique to alleviate both issues. At its core,
DropEdge randomly removes a certain number of edges from the input graph at
each training epoch, acting like a data augmenter and also a message passing
reducer. Furthermore, we theoretically demonstrate that DropEdge either reduces
the convergence speed of over-smoothing or relieves the information loss caused
by it. More importantly, our DropEdge is a general skill that can be equipped
with many other backbone models (e.g. GCN, ResGCN, GraphSAGE, and JKNet) for
enhanced performance. Extensive experiments on several benchmarks verify that
DropEdge consistently improves the performance on a variety of both shallow and
deep GCNs. The effect of DropEdge on preventing over-smoothing is empirically
visualized and validated as well. Codes are released
on~\url{",Machine Learning (cs.LG),; Networking and Internet Architecture (cs.NI); Machine Learning (stat.ML)
FastGCN: Fast Learning with Graph Convolutional Networks via Importance Sampling,"  The graph convolutional networks (GCN) recently proposed by Kipf and Welling
are an effective graph model for semi-supervised learning. This model, however,
was originally designed to be learned with the presence of both training and
test data. Moreover, the recursive neighborhood expansion across layers poses
time and memory challenges for training with large, dense graphs. To relax the
requirement of simultaneous availability of test data, we interpret graph
convolutions as integral transforms of embedding functions under probability
measures. Such an interpretation allows for the use of Monte Carlo approaches
to consistently estimate the integrals, which in turn leads to a batched
training scheme as we propose in this work---FastGCN. Enhanced with importance
sampling, FastGCN not only is efficient for training but also generalizes well
for inference. We show a comprehensive set of experiments to demonstrate its
effectiveness compared with GCN and related models. In particular, training is
orders of magnitude more efficient while predictions remain comparably
accurate.

    ",Machine Learning (cs.LG),
Graph Convolutional Matrix Completion,"  We consider matrix completion for recommender systems from the point of view
of link prediction on graphs. Interaction data such as movie ratings can be
represented by a bipartite user-item graph with labeled edges denoting observed
ratings. Building on recent progress in deep learning on graph-structured data,
we propose a graph auto-encoder framework based on differentiable message
passing on the bipartite interaction graph. Our model shows competitive
performance on standard collaborative filtering benchmarks. In settings where
complimentary feature information or structured data such as a social network
is available, our framework outperforms recent state-of-the-art methods.

    ",Machine Learning (stat.ML),; Databases (cs.DB); Information Retrieval (cs.IR); Machine Learning (cs.LG)
