titulo,abstract,clase_pri,clase_otr
Thumbs up? Sentiment Classification using Machine Learning Techniques,"  We consider the problem of classifying documents not by topic, but by overall
sentiment, e.g., determining whether a review is positive or negative. Using
movie reviews as data, we find that standard machine learning techniques
definitively outperform human-produced baselines. However, the three machine
learning methods we employed (Naive Bayes, maximum entropy classification, and
support vector machines) do not perform as well on sentiment classification as
on traditional topic-based categorization. We conclude by examining factors
that make the sentiment classification problem more challenging.

    ",Computation and Language (cs.CL),; Machine Learning (cs.LG)
MXNet: A Flexible and Efficient Machine Learning Library for Heterogeneous Distributed Systems,"  MXNet is a multi-language machine learning (ML) library to ease the
development of ML algorithms, especially for deep neural networks. Embedded in
the host language, it blends declarative symbolic expression with imperative
tensor computation. It offers auto differentiation to derive gradients. MXNet
is computation and memory efficient and runs on various heterogeneous systems,
ranging from mobile devices to distributed GPU clusters.
","Distributed, Parallel, and Cluster Computing (cs.DC)",; Machine Learning (cs.LG); Mathematical Software (cs.MS); Neural and Evolutionary Computing (cs.NE)
API design for machine learning software: experiences from the scikit-learn project,"  Scikit-learn is an increasingly popular machine learning li- brary. Written
in Python, it is designed to be simple and efficient, accessible to
non-experts, and reusable in various contexts. In this paper, we present and
discuss our design choices for the application programming interface (API) of
the project. In particular, we describe the simple and elegant interface shared
by all learning and processing units in the library and then discuss its
advantages in terms of composition and reusability. The paper also comments on
implementation details specific to the Python ecosystem and analyzes obstacles
faced by users and developers of the library.

    ",Machine Learning (cs.LG),; Mathematical Software (cs.MS)
Foolbox: A Python toolbox to benchmark the robustness of machine learning models,"  Even todays most advanced machine learning models are easily fooled by almost
imperceptible perturbations of their inputs. Foolbox is a new Python package to
generate such adversarial perturbations and to quantify and compare the
robustness of machine learning models. It is build around the idea that the
most comparable robustness measure is the minimum perturbation needed to craft
an adversarial example. To this end, Foolbox provides reference implementations
of most published adversarial attack methods alongside some new ones, all of
which perform internal hyperparameter tuning to find the minimum adversarial
perturbation. Additionally, Foolbox interfaces with most popular deep learning
frameworks such as PyTorch, Keras, TensorFlow, Theano and MXNet and allows
different adversarial criteria such as targeted misclassification and top-k
misclassification as well as different distance measures. The code is licensed
under the MIT license and is openly available at
",Machine Learning (cs.LG),; Cryptography and Security (cs.CR); Computer Vision and Pattern Recognition (cs.CV); Machine Learning (stat.ML)
TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,"  TensorFlow is an interface for expressing machine learning algorithms, and an
implementation for executing such algorithms. A computation expressed using
TensorFlow can be executed with little or no change on a wide variety of
heterogeneous systems, ranging from mobile devices such as phones and tablets
up to large-scale distributed systems of hundreds of machines and thousands of
computational devices such as GPU cards. The system is flexible and can be used
to express a wide variety of algorithms, including training and inference
algorithms for deep neural network models, and it has been used for conducting
research and for deploying machine learning systems into production across more
than a dozen areas of computer science and other fields, including speech
recognition, computer vision, robotics, information retrieval, natural language
processing, geographic information extraction, and computational drug
discovery. This paper describes the TensorFlow interface and an implementation
of that interface that we have built at Google. The TensorFlow API and a
reference implementation were released as an open-source package under the
Apache 2.0 license in November, 2015 and are available at ","Distributed, Parallel, and Cluster Computing (cs.DC)",; Machine Learning (cs.LG)
Taking Human out of Learning Applications: A Survey on Automated Machine Learning,"  Machine learning techniques have deeply rooted in our everyday life. However,
since it is knowledge- and labor-intensive to pursue good learning performance,
human experts are heavily involved in every aspect of machine learning. In
order to make machine learning techniques easier to apply and reduce the demand
for experienced human experts, automated machine learning (AutoML) has emerged
as a hot topic with both industrial and academic interest. In this paper, we
provide an up to date survey on AutoML. First, we introduce and define the
AutoML problem, with inspiration from both realms of automation and machine
learning. Then, we propose a general AutoML framework that not only covers most
existing approaches to date but also can guide the design for new methods.
Subsequently, we categorize and review the existing works from two aspects,
i.e., the problem setup and the employed techniques. Finally, we provide a
detailed analysis of AutoML approaches and explain the reasons underneath their
successful applications. We hope this survey can serve as not only an
insightful guideline for AutoML beginners but also an inspiration for future
research.

    ",Artificial Intelligence (cs.AI),; Machine Learning (cs.LG); Machine Learning (stat.ML)
Universal Differential Equations for Scientific Machine Learning,"  In the context of science, the well-known adage ""a picture is worth a
thousand words"" might well be ""a model is worth a thousand datasets."" In this
manuscript we introduce the SciML software ecosystem as a tool for mixing the
information of physical laws and scientific models with data-driven machine
learning approaches. We describe a mathematical object, which we denote
universal differential equations (UDEs), as the unifying framework connecting
the ecosystem. We show how a wide variety of applications, from automatically
discovering biological mechanisms to solving high-dimensional
Hamilton-Jacobi-Bellman equations, can be phrased and efficiently handled
through the UDE formalism and its tooling. We demonstrate the generality of the
software tooling to handle stochasticity, delays, and implicit constraints.
This funnels the wide variety of SciML applications into a core set of training
mechanisms which are highly optimized, stabilized for stiff equations, and
compatible with distributed parallelism and GPU accelerators.

    ",Machine Learning (cs.LG),; Dynamical Systems (math.DS); Quantitative Methods (q-bio.QM); Machine Learning (stat.ML)
Distributed GraphLab: A Framework for Machine Learning in the Cloud,"  While high-level data parallel frameworks, like MapReduce, simplify the
design and implementation of large-scale data processing systems, they do not
naturally or efficiently support many important data mining and machine
learning algorithms and can lead to inefficient learning systems. To help fill
this critical void, we introduced the GraphLab abstraction which naturally
expresses asynchronous, dynamic, graph-parallel computation while ensuring data
consistency and achieving a high degree of parallel performance in the
shared-memory setting. In this paper, we extend the GraphLab framework to the
substantially more challenging distributed setting while preserving strong data
consistency guarantees. We develop graph based extensions to pipelined locking
and data versioning to reduce network congestion and mitigate the effect of
network latency. We also introduce fault tolerance to the GraphLab abstraction
using the classic Chandy-Lamport snapshot algorithm and demonstrate how it can
be easily implemented by exploiting the GraphLab abstraction itself. Finally,
we evaluate our distributed implementation of the GraphLab abstraction on a
large Amazon EC2 deployment and show 1-2 orders of magnitude performance gains
over Hadoop-based implementations.

    ",Databases (cs.DB),; Machine Learning (cs.LG)
The Measure and Mismeasure of Fairness: A Critical Review of Fair Machine Learning,"  The nascent field of fair machine learning aims to ensure that decisions
guided by algorithms are equitable. Over the last several years, three formal
definitions of fairness have gained prominence: (1) anti-classification,
meaning that protected attributes---like race, gender, and their proxies---are
not explicitly used to make decisions; (2) classification parity, meaning that
common measures of predictive performance (e.g., false positive and false
negative rates) are equal across groups defined by the protected attributes;
and (3) calibration, meaning that conditional on risk estimates, outcomes are
independent of protected attributes. Here we show that all three of these
fairness definitions suffer from significant statistical limitations. Requiring
anti-classification or classification parity can, perversely, harm the very
groups they were designed to protect; and calibration, though generally
desirable, provides little guarantee that decisions are equitable. In contrast
to these formal fairness criteria, we argue that it is often preferable to
treat similarly risky people similarly, based on the most statistically
accurate estimates of risk that one can produce. Such a strategy, while not
universally applicable, often aligns well with policy objectives; notably, this
strategy will typically violate both anti-classification and classification
parity. In practice, it requires significant effort to construct suitable risk
estimates. One must carefully define and measure the targets of prediction to
avoid retrenching biases in the data. But, importantly, one cannot generally
address these difficulties by requiring that algorithms satisfy popular
mathematical formalizations of fairness. By highlighting these challenges in
the foundation of fair machine learning, we hope to help researchers and
practitioners productively advance the area.

    ",Computers and Society (cs.CY),
"Model Evaluation, Model Selection, and Algorithm Selection in Machine Learning","  The correct use of model evaluation, model selection, and algorithm selection
techniques is vital in academic machine learning research as well as in many
industrial settings. This article reviews different techniques that can be used
for each of these three subtasks and discusses the main advantages and
disadvantages of each technique with references to theoretical and empirical
studies. Further, recommendations are given to encourage best yet feasible
practices in research and applications of machine learning. Common methods such
as the holdout method for model evaluation and selection are covered, which are
not recommended when working with small datasets. Different flavors of the
bootstrap technique are introduced for estimating the uncertainty of
performance estimates, as an alternative to confidence intervals via normal
approximation if bootstrapping is computationally feasible. Common
cross-validation techniques such as leave-one-out cross-validation and k-fold
cross-validation are reviewed, the bias-variance trade-off for choosing k is
discussed, and practical tips for the optimal choice of k are given based on
empirical evidence. Different statistical tests for algorithm comparisons are
presented, and strategies for dealing with multiple comparisons such as omnibus
tests and multiple-comparison corrections are discussed. Finally, alternative
methods for algorithm selection, such as the combined F-test 5x2
cross-validation and nested cross-validation, are recommended for comparing
machine learning algorithms when datasets are small.

    ",Machine Learning (cs.LG),; Machine Learning (stat.ML)
