identifier,language,title,genre,abstract,subjects
doi:10.1007/s42064-022-0149-x,en,Adaptive connected hierarchical optimization algorithm for minimum energy spacecraft attitude maneuver path planning,"['OriginalPaper', 'Research Article']","Space object observation requirements and the avoidance of specific attitudes produce pointing constraints that increase the complexity of the attitude maneuver path-planning problem. To deal with this issue, a feasible attitude trajectory generation method is proposed that utilizes a multiresolution technique and local attitude node adjustment to obtain sufficient time and quaternion nodes to satisfy the pointing constraints. These nodes are further used to calculate the continuous attitude trajectory based on quaternion polynomial interpolation and the inverse dynamics method. Then, the characteristic parameters of these nodes are extracted to transform the path-planning problem into a parameter optimization problem aimed at minimizing energy consumption. This problem is solved by an improved hierarchical optimization algorithm, in which an adaptive parameter-tuning mechanism is introduced to improve the performance of the original algorithm. A numerical simulation is performed, and the results confirm the feasibility and effectiveness of the proposed method.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0153-1,en,Closed-loop deep neural network optimal control algorithm and error analysis for powered landing under uncertainties,"['OriginalPaper', 'Research Article']","Real-time guidance is critical for the vertical recovery of rockets. However, traditional sequential convex optimization algorithms suffer from shortcomings in terms of their poor real-time performance. This work focuses on applying the deep learning-based closed-loop guidance algorithm and error propagation analysis for powered landing, thereby significantly improving the real-time performance. First, a controller consisting of two deep neural networks is constructed to map the thrust direction and magnitude of the rocket according to the state variables. Thereafter, the analytical transition relationships between different uncertainty sources and the state propagation error in a single guidance period are analyzed by adopting linear covariance analysis. Finally, the accuracy of the proposed methods is verified via a comparison with the indirect method and Monte Carlo simulations. Compared with the traditional sequential convex optimization algorithm, our method reduces the computation time from 75 ms to less than 1 ms. Therefore, it shows potential for online applications.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0154-0,en,Natural coupled orbit—attitude periodic motions in the perturbed-CRTBP including radiated primary and oblate secondary,"['OriginalPaper', 'Research Article']","This study investigated periodic coupled orbit—attitude motions within the perturbed circular restricted three-body problem (P-CRTBP) concerning the perturbations of a radiated massive primary and an oblate secondary. The radiated massive primary was the Sun, and each planet in the solar system could be considered an oblate secondary. Because the problem has no closed-form solution, numerical methods were employed. Nevertheless, the general response of the problem could be non-periodic or periodic, which is significantly depended on the initial conditions of the orbit-attitude states. Therefore, the simultaneous orbit and attitude initial states correction (SOAISC) algorithm was introduced to achieve precise initial conditions. On the other side, the conventional initial guess vector was essential as the input of the correction algorithm and increased the probability of reaching more precise initial conditions. Thus, a new practical approach was developed in the form of an orbital correction algorithm to obtain the initial conditions for the periodic orbit of the P-CRTBP. This new proposed algorithm may be distinguished from previously presented orbital correction algorithms by its ability to propagate the P-CRTBP family orbits around the Lagrangian points using only one of the periodic orbits of the unperturbed CRTBP (U-CRTBP). In addition, the Poincaré map and Floquet theory search methods were used to recognize the various initial guesses for attitude parameters. Each of these search methods was able to identify different initial guesses for attitude states. Moreover, as a new innovation, these search methods were applied as a powerful tool to select the appropriate inertia ratio for a satellite to deliver periodic responses from the coupled model. Adding the mentioned perturbations to the U-CRTBP could lead to the more accurate modeling of the examination environment and a better understanding of a spacecraft’s natural motion. A comparison between the orbit-attitude natural motions in the unperturbed and perturbed models was also conducted to show this claim.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0152-2,en,Review of space relative navigation based on angles-only measurements,"['ReviewPaper', 'Review Article']","Relative navigation is a key enabling technology for space missions such as on-orbit servicing and space situational awareness. Given that there are several special advantages of space relative navigation using angles-only measurements from passive optical sensors, angles-only relative navigation is considered as one of the best potential approaches in the field of space relative navigation. However, angles-only relative navigation is well-known for its range observability problem. To overcome this observability problem, many studies have been conducted over the past decades. In this study, we present a comprehensive review of state-of-the-art space relative navigation based on angles-only measurements. The emphasis is on the observability problem and solutions to angles-only relative navigation, where the review of the solutions is categorized into four classes based on the intrinsic principle: complicated dynamics approach, multi-line of sight (multi-LOS) approach, sensor offset center-of-mass approach, and orbit maneuver approach. Then, the flight demonstration results of angles-only relative navigation in the two projects are briefly reviewed. Finally, conclusions of this study and recommendations for further research are presented.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0148-y,en,Feasibility analysis of angles-only navigation algorithm with multisensor data fusion for spacecraft noncooperative rendezvous,"['OriginalPaper', 'Research Article']","Relative navigation is crucial for spacecraft noncooperative rendezvous, and angles-only navigation using visible and infrared cameras provides a feasible solution. Herein, an angles-only navigation algorithm with multisensor data fusion is proposed to derive the relative motion states between two noncooperative spacecraft. First, the design model of the proposed algorithm is introduced, including the derivation of the state propagation and measurement equations. Subsequently, models for the sensor and actuator are introduced, and the effects of various factors on the sensors and actuators are considered. The square-root unscented Kalman filter is used to design the angles-only navigation filtering scheme. Additionally, the Clohessy—Wiltshire terminal guidance algorithm is introduced to obtain the theoretical relative motion trajectories during the rendezvous operations of two noncooperative spacecraft. Finally, the effectiveness of the proposed angles-only navigation algorithm is verified using a semi-physical simulation platform. The results prove that an optical navigation camera combined with average accelerometers and occasional orbital maneuvers is feasible for spacecraft noncooperative rendezvous using angles-only navigation.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-021-0122-3,en,A multiphase approach for pyrolysis modelling of polymeric materials,"['OriginalPaper', 'Research Article']","In this study, a multiphase pyrolysis model has been proposed under the large eddy simulation (LES) framework incorporating moving boundary surface tracking, char formation, and detailed chemical kinetics combustion modelling. The proposed numerical model was applied to simulate the cone calorimeter test of two kinds of materials: (i) pinewood (charring) and (ii) low-density polyethylene (non-charring). Using a cone calorimeter setup, good agreement has been achieved between the computational and the experimental results. The model is capable of predicting the formation of the char layer and thus replicating the flame suppressing thermal and barrier effects. Furthermore, with the application of detailed chemical kinetics, the fire model was able to aptly predict the generation of asphyxiant gas such as CO/CO 2 during the burning process. However, the pinewood experiments showed significant CO/CO 2 emissions post flame extinguishment attributed to char oxidation effects, which were not considered by the fire model. Despite the limitation, the fully coupled LES model proposed in this study was capable of predicting the fluid mechanics and heat transfer for the turbulent reacting flow, solid-phase decomposition, and gaseous products under flaming conditions. In the future, it can be further extended to include char oxidation mechanisms to improve predictions for charring materials.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0147-z,en,Stretching directions in cislunar space: Applications for departures and transfer design,"['OriginalPaper', 'Research Article']","Stable or nearly stable orbits do not generally possess well-distinguished manifold structures that assist in designing trajectories for departing from or arriving onto a periodic orbit. For some potential missions, the orbits of interest are selected as nearly stable to reduce the possibility of rapid departure. However, the linearly stable nature of these orbits is also a drawback for their timely insertion into or departure from the orbit. Stable or nearly stable near rectilinear halo orbits (NRHOs), distant retrograde orbits (DROs), and lunar orbits offer potential long-horizon trajectories for exploration missions and demand efficient operations. The current investigation focuses on leveraging stretching directions as a tool for departure and trajectory design applications. The magnitude of the state variations along the maximum stretching direction is expected to grow rapidly and, therefore, offers information for efficient departure from the orbit. Similarly, maximum stretching in reverse time enables arrival with a minimal maneuver magnitude.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-022-0137-7,en,Numerical simulation of oil dewatering in a disc centrifuge based on PBM model,"['OriginalPaper', 'Research Article']","Disc centrifuges have been widely applied, particularly in oil dewatering. Literatures are sparsely particularly that of test work and simulation with PBM model on this aspect. The oil dewatering performance of a disc centrifuge has been studied with both test and simulation, which was based on population balance model (PBM). The gradient of the concentration and size of water droplets has been revealed. The results show that the simulation of PBM model is more realistic; the coalescence probability of water droplets is much greater than the fragmentation probability; due to the coalescence behavior of water droplets, the oil—water separation process will be easier; and the separation efficiency will be 1%–2% higher than that of conventional Euler—Euler model. In addition, when the separation efficiency reaches the peak, the optimal disc gap is about 0.5 mm.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0144-2,en,A review of dynamic analysis on space solar power station,"['ReviewPaper', 'Review Article']","The concept of a space solar power station (SSPS) was proposed in 1968 as a potential approach for solving the energy crisis. In the past 50 years, several structural concepts have been proposed, but none have been sent into orbit. One of the main challenges of the SSPS is dynamic behavior prediction, which can supply the necessary information for control strategy design. The ultra-large size of the SSPS causes difficulties in its dynamic analysis, such as the ultra-low vibration frequency and large flexibility. In this paper, four approaches for the numerical analysis of the dynamic problems associated with the SSPS are reviewed: the finite element, absolute nodal coordinate, floating frame formulation, and structure-preserving methods. Both the merits and shortcomings of the above four approaches are introduced when they are employed in dynamic problems associated with the SSPS. Synthesizing the merits of the aforementioned four approaches, we believe that embedding the structure-preserving method into finite element software may be an effective way to perform a numerical analysis of the dynamic problems associated with the SSPS.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-022-0133-y,en,Assessment of simplified momentum equations for free surface flows through rigid porous media,"['OriginalPaper', 'Research Article']","In many applications, free surface flow through rigid porous media has to be modeled. Examples refer to coastal engineering applications as well as geotechnical or biomedical applications. Albeit the frequent applications, slight inconsistencies in the formulation of the governing equations can be found in the literature. The main goal of this paper is to identify these differences and provide a quantitative assessment of different approaches. Following a review of the different formulations, simulation results obtained from three alternative formulations are compared with experimental and numerical data. Results obtained by 2D and 3D test cases indicate that the predictive differences returned by the different formulations remain small for most applications, in particular for small porous Reynolds number Re P < 5000. Thus it seems justified to select a simplified formulation that supports an efficient algorithm and coding structure in a computational fluid dynamics environment. An estimated accuracy depending on the porous Reynolds number or the mean grain diameter is given for the simplified formulation.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
