identifier,language,title,genre,abstract,subjects
doi:10.1007/s42757-022-0137-7,en,Numerical simulation of oil dewatering in a disc centrifuge based on PBM model,"['OriginalPaper', 'Research Article']","Disc centrifuges have been widely applied, particularly in oil dewatering. Literatures are sparsely particularly that of test work and simulation with PBM model on this aspect. The oil dewatering performance of a disc centrifuge has been studied with both test and simulation, which was based on population balance model (PBM). The gradient of the concentration and size of water droplets has been revealed. The results show that the simulation of PBM model is more realistic; the coalescence probability of water droplets is much greater than the fragmentation probability; due to the coalescence behavior of water droplets, the oil—water separation process will be easier; and the separation efficiency will be 1%–2% higher than that of conventional Euler—Euler model. In addition, when the separation efficiency reaches the peak, the optimal disc gap is about 0.5 mm.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42757-021-0122-3,en,A multiphase approach for pyrolysis modelling of polymeric materials,"['OriginalPaper', 'Research Article']","In this study, a multiphase pyrolysis model has been proposed under the large eddy simulation (LES) framework incorporating moving boundary surface tracking, char formation, and detailed chemical kinetics combustion modelling. The proposed numerical model was applied to simulate the cone calorimeter test of two kinds of materials: (i) pinewood (charring) and (ii) low-density polyethylene (non-charring). Using a cone calorimeter setup, good agreement has been achieved between the computational and the experimental results. The model is capable of predicting the formation of the char layer and thus replicating the flame suppressing thermal and barrier effects. Furthermore, with the application of detailed chemical kinetics, the fire model was able to aptly predict the generation of asphyxiant gas such as CO/CO 2 during the burning process. However, the pinewood experiments showed significant CO/CO 2 emissions post flame extinguishment attributed to char oxidation effects, which were not considered by the fire model. Despite the limitation, the fully coupled LES model proposed in this study was capable of predicting the fluid mechanics and heat transfer for the turbulent reacting flow, solid-phase decomposition, and gaseous products under flaming conditions. In the future, it can be further extended to include char oxidation mechanisms to improve predictions for charring materials.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42757-022-0133-y,en,Assessment of simplified momentum equations for free surface flows through rigid porous media,"['OriginalPaper', 'Research Article']","In many applications, free surface flow through rigid porous media has to be modeled. Examples refer to coastal engineering applications as well as geotechnical or biomedical applications. Albeit the frequent applications, slight inconsistencies in the formulation of the governing equations can be found in the literature. The main goal of this paper is to identify these differences and provide a quantitative assessment of different approaches. Following a review of the different formulations, simulation results obtained from three alternative formulations are compared with experimental and numerical data. Results obtained by 2D and 3D test cases indicate that the predictive differences returned by the different formulations remain small for most applications, in particular for small porous Reynolds number Re P < 5000. Thus it seems justified to select a simplified formulation that supports an efficient algorithm and coding structure in a computational fluid dynamics environment. An estimated accuracy depending on the porous Reynolds number or the mean grain diameter is given for the simplified formulation.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0153-1,en,Closed-loop deep neural network optimal control algorithm and error analysis for powered landing under uncertainties,"['OriginalPaper', 'Research Article']","Real-time guidance is critical for the vertical recovery of rockets. However, traditional sequential convex optimization algorithms suffer from shortcomings in terms of their poor real-time performance. This work focuses on applying the deep learning-based closed-loop guidance algorithm and error propagation analysis for powered landing, thereby significantly improving the real-time performance. First, a controller consisting of two deep neural networks is constructed to map the thrust direction and magnitude of the rocket according to the state variables. Thereafter, the analytical transition relationships between different uncertainty sources and the state propagation error in a single guidance period are analyzed by adopting linear covariance analysis. Finally, the accuracy of the proposed methods is verified via a comparison with the indirect method and Monte Carlo simulations. Compared with the traditional sequential convex optimization algorithm, our method reduces the computation time from 75 ms to less than 1 ms. Therefore, it shows potential for online applications.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-021-0130-6,en,Numerical investigation of particle motion at the steel—slag interface in continuous casting using VOF method and dynamic overset grids,"['OriginalPaper', 'Research Article']","The capillary interactions are prominent for a micro-sized particle at the steel—slag interface. In this study, the dynamics of a spherical particle interacting with the steel—slag interface is numerically investigated using the volume of fluid method in combination with the overset grid technique to account for particle motion. The simulations have shown the particle’s separation process at the interface and successfully captured the formation and continuous evolution of a meniscus in the course of particle motion. A sensitivity analysis on the effect of different physical parameters in the steel—slag—particle system is also conducted. The result indicates that the wettability of particle with the slag phase is the main factor affecting particle separation behavior (trapped at the interface or fully separated into slag). Higher interfacial tension of fluid interface and smaller particle size can speed up the particle motion but have less effect on the equilibrium position for particle staying at the interface. In comparison, particle density shows a minor influence when the motion is dominated by the capillary effect. By taking account of the effect of meniscus and capillary forces on a particle, this study provides a more accurate simulation of particle motion in the vicinity of the steel—slag interface and enables further investigation of more complex situations.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0149-x,en,Adaptive connected hierarchical optimization algorithm for minimum energy spacecraft attitude maneuver path planning,"['OriginalPaper', 'Research Article']","Space object observation requirements and the avoidance of specific attitudes produce pointing constraints that increase the complexity of the attitude maneuver path-planning problem. To deal with this issue, a feasible attitude trajectory generation method is proposed that utilizes a multiresolution technique and local attitude node adjustment to obtain sufficient time and quaternion nodes to satisfy the pointing constraints. These nodes are further used to calculate the continuous attitude trajectory based on quaternion polynomial interpolation and the inverse dynamics method. Then, the characteristic parameters of these nodes are extracted to transform the path-planning problem into a parameter optimization problem aimed at minimizing energy consumption. This problem is solved by an improved hierarchical optimization algorithm, in which an adaptive parameter-tuning mechanism is introduced to improve the performance of the original algorithm. A numerical simulation is performed, and the results confirm the feasibility and effectiveness of the proposed method.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-021-0124-4,en,Soot: A review of computational models at different length scales,"['ReviewPaper', 'Review Article']","The computational modelling of soot formation and destruction during the combustion process is one of the most challenging topics in combustion research. This paper reviews the numerical soot models constructed at different length scales, including macroscale, mesoscale, and microscale. The four key stages of soot evolution, including nucleation, surface growth and coagulation, agglomeration, and oxidation, are first described with the generally accepted mathematical formulations in each stage explained. Different computational frameworks and their pros and cons are then reviewed, including the one-equation empirical soot model (macroscale), two-equation semi-empirical soot model (macroscale), different variations of population balance model (mesoscale), discrete element model (microscale), and molecular dynamics model (microscale). It is concluded that the accuracy required and the computational cost available are the two major influencing factors to be considered when selecting the appropriate computational model. The user needs to assess the priorities in their specific application and evaluate different modelling options to find the optimal balance between the level of accuracy and computation resources required.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42832-022-0139-1,en,Influencing factors and partitioning methods of carbonate contribution to CO2 emissions from calcareous soils,"['ReviewPaper', 'Review']","In calcareous soils, recent studies have shown that soil-derived CO 2 originates from both soil organic carbon (SOC) decomposition and soil inorganic carbon (SIC) dissolution, a fact often ignored in earlier studies. This may lead to overestimation of the CO 2 emissions from SOC decomposition. In calcareous soils, there is a chemical balance between precipitation and dissolution of CaCO 3 -CO 2 -HCO 3 − , which is affected by soil environmental factors (moisture, temperature, pH and depth), root growth (rhizosphere effect) and agricultural measures (organic materials input, nitrogen fertilization and straw removal). In this paper, we first introduced the contribution of SIC dissolution to CO 2 emissions from calcareous soils and their driving factors. Second, we reviewed the methods to distinguish two CO 2 sources released from calcareous soils and quantify the 13 C fractionation coefficient between SIC and SIC-derived CO 2 and between SOC and SOC-derived CO 2 , and to partition three CO 2 sources released from soils with plants and organic materials input. Finally, we proposed methods for accurately distinguishing three CO 2 sources released from calcareous soils. This review helps to improve the accuracy of soil C balance assessment in calcareous soils, and also proposes the direction of further investigations on SIC-derived CO 2 emissions responses to abiotic factors and agricultural measures.","['Environment', 'Soil Science & Conservation', 'Ecology']"
doi:10.1007/s42757-021-0125-3,en,Towards the efficient modelling of trapped air pockets during squeeze flow,"['OriginalPaper', 'Research Article']","In most bonding processes, an adhesive is applied to a substrate in a specific pattern before the second substrate is subsequently pressed against it. During this, the adhesive flows in such a way that, ideally, it completely fills the joint. In practice, however, areas with entrapped air frequently remain in the bonded adhesive layer. Within the scope of a research project, these flows are systematically analyzed in order to identify optimal initial application patterns for the adhesive and substrate geometry to minimise such risks. For this purpose, the authors use an efficient flow model, the partially filled gaps model (PFGM), extended in this study to include the functionality of trapped air pockets. Depending on the volume fractions of air and adhesive, the flow of both phases is computed. Therefore, the model is introduced and fully described, benchmarked with respect to its plausibility and functionality, and results obtained are compared with a CFD calculation. Thereafter, the functionality of openings and closings of the pockets are analyzed. Lastly, the model is then applied to a real scenario created with a Hele–Shaw cell measurement. The benchmark as well as the comparison with the measurement results show the high potential of this technique.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s40544-021-0588-z,en,Hierarchical self-assembled structure and frictional response of phthalocyanine molecules,"['OriginalPaper', 'Research Article']","Solid evidence is needed to demonstrate the effect of molecular orientation and structure on the frictional property of boundary lubricants. In this work, the frictional properties of phthalocyanine self-assembled monolayers (SAMs) with face-on (aromatic cores parallel to the substrate) and edge-on (aromatic cores stand on the substrate) orientations have been compared and the in situ structural variation of edge-on SAMs under frictional shear has been revealed by atomic force microscope (AFM). Face-on oriented SAMs show lower adhesion, lower friction, and stronger wear resistance, compared with edge-on oriented SAMs. Hierarchical structures of edge-on oriented SAMs have been revealed by frictional topography, which are consisted of nanoscale columns, micron-scale stripes, and centimeter-scale monolayer. The column structure deforms under increasing load force, leading to a stepwise friction force curve and a transition among three friction states (ordered friction, collapsed friction, and worn friction). The structural deformation depends on both the order degree and anisotropic stiffness of columns. Columns in phthalocyanine SAMs show a larger stiffness when shearing against molecular plane than shearing along the molecular plane. The presented study on the interfacial structure and frictional mechanism promisingly supports the designing of novel boundary lubricants and their application in engineering.","['Engineering', 'Mechanical Engineering', 'Nanotechnology', 'Tribology, Corrosion and Coatings', 'Physical Chemistry', 'Surfaces and Interfaces, Thin Films']"
