identifier,language,title,genre,abstract,subjects
doi:10.1007/s42757-021-0131-5,en,Effect of thermal radiation on magnetohydrodynamics heat transfer micropolar fluid flow over a vertical moving porous plate,"['OriginalPaper', 'Research Article']","An analysis is investigated for this study of the magnetohydrodynamics heat transfer flow of the micropolar fluid over a vertical porous moving plate in the existence of the radiation effect. The numerical elucidations of the governing equations achieved for various values of flow fields are taken out for the several parameters inflowing into the problem and solved by raising the Galerkin finite element technique. By taking the range of the magnetic field parameter 0 ≤ M ≤ 5, the range of viscosity ratio parameter is 0 ≤ β ≤ 5, and micro-gyration parameter is 0 ≤ n ≤ 5, whereas the value of Grashof number lies in 0 ≤ Gr ≤ 2 and −2 ≤ Gr ≤ 0. The numerical results and impact on the translation velocity and temperature are presented and discussed through graphs and listed in the tables. With an increase of β and Gr , the velocity increases, and the reverse effect is found with enhancing of M and n . With enhanced values of M, n, Pr , and R , the result in C f rises.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0147-z,en,Stretching directions in cislunar space: Applications for departures and transfer design,"['OriginalPaper', 'Research Article']","Stable or nearly stable orbits do not generally possess well-distinguished manifold structures that assist in designing trajectories for departing from or arriving onto a periodic orbit. For some potential missions, the orbits of interest are selected as nearly stable to reduce the possibility of rapid departure. However, the linearly stable nature of these orbits is also a drawback for their timely insertion into or departure from the orbit. Stable or nearly stable near rectilinear halo orbits (NRHOs), distant retrograde orbits (DROs), and lunar orbits offer potential long-horizon trajectories for exploration missions and demand efficient operations. The current investigation focuses on leveraging stretching directions as a tool for departure and trajectory design applications. The magnitude of the state variations along the maximum stretching direction is expected to grow rapidly and, therefore, offers information for efficient departure from the orbit. Similarly, maximum stretching in reverse time enables arrival with a minimal maneuver magnitude.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-022-0133-y,en,Assessment of simplified momentum equations for free surface flows through rigid porous media,"['OriginalPaper', 'Research Article']","In many applications, free surface flow through rigid porous media has to be modeled. Examples refer to coastal engineering applications as well as geotechnical or biomedical applications. Albeit the frequent applications, slight inconsistencies in the formulation of the governing equations can be found in the literature. The main goal of this paper is to identify these differences and provide a quantitative assessment of different approaches. Following a review of the different formulations, simulation results obtained from three alternative formulations are compared with experimental and numerical data. Results obtained by 2D and 3D test cases indicate that the predictive differences returned by the different formulations remain small for most applications, in particular for small porous Reynolds number Re P < 5000. Thus it seems justified to select a simplified formulation that supports an efficient algorithm and coding structure in a computational fluid dynamics environment. An estimated accuracy depending on the porous Reynolds number or the mean grain diameter is given for the simplified formulation.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0154-0,en,Natural coupled orbit—attitude periodic motions in the perturbed-CRTBP including radiated primary and oblate secondary,"['OriginalPaper', 'Research Article']","This study investigated periodic coupled orbit—attitude motions within the perturbed circular restricted three-body problem (P-CRTBP) concerning the perturbations of a radiated massive primary and an oblate secondary. The radiated massive primary was the Sun, and each planet in the solar system could be considered an oblate secondary. Because the problem has no closed-form solution, numerical methods were employed. Nevertheless, the general response of the problem could be non-periodic or periodic, which is significantly depended on the initial conditions of the orbit-attitude states. Therefore, the simultaneous orbit and attitude initial states correction (SOAISC) algorithm was introduced to achieve precise initial conditions. On the other side, the conventional initial guess vector was essential as the input of the correction algorithm and increased the probability of reaching more precise initial conditions. Thus, a new practical approach was developed in the form of an orbital correction algorithm to obtain the initial conditions for the periodic orbit of the P-CRTBP. This new proposed algorithm may be distinguished from previously presented orbital correction algorithms by its ability to propagate the P-CRTBP family orbits around the Lagrangian points using only one of the periodic orbits of the unperturbed CRTBP (U-CRTBP). In addition, the Poincaré map and Floquet theory search methods were used to recognize the various initial guesses for attitude parameters. Each of these search methods was able to identify different initial guesses for attitude states. Moreover, as a new innovation, these search methods were applied as a powerful tool to select the appropriate inertia ratio for a satellite to deliver periodic responses from the coupled model. Adding the mentioned perturbations to the U-CRTBP could lead to the more accurate modeling of the examination environment and a better understanding of a spacecraft’s natural motion. A comparison between the orbit-attitude natural motions in the unperturbed and perturbed models was also conducted to show this claim.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s41095-022-0275-7,en,A survey of urban visual analytics: Advances and future directions,"['ReviewPaper', 'Review Article']","Developing effective visual analytics systems demands care in characterization of domain problems and integration of visualization techniques and computational models. Urban visual analytics has already achieved remarkable success in tackling urban problems and providing fundamental services for smart cities. To promote further academic research and assist the development of industrial urban analytics systems, we comprehensively review urban visual analytics studies from four perspectives. In particular, we identify 8 urban domains and 22 types of popular visualization, analyze 7 types of computational method, and categorize existing systems into 4 types based on their integration of visualization techniques and computational models. We conclude with potential research directions and opportunities.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/s41095-021-0267-z,en,Facial optical flow estimation via neural non-rigid registration,"['OriginalPaper', 'Research Article']","Optical flow estimation in human facial video, which provides 2D correspondences between adjacent frames, is a fundamental pre-processing step for many applications, like facial expression capture and recognition. However, it is quite challenging as human facial images contain large areas of similar textures, rich expressions, and large rotations. These characteristics also result in the scarcity of large, annotated real-world datasets. We propose a robust and accurate method to learn facial optical flow in a self-supervised manner. Specifically, we utilize various shape priors, including face depth, landmarks, and parsing, to guide the self-supervised learning task via a differentiable nonrigid registration framework. Extensive experiments demonstrate that our method achieves remarkable improvements for facial optical flow estimation in the presence of significant expressions and large rotations.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/s41095-021-0266-0,en,AR assistance for efficient dynamic target search,"['OriginalPaper', 'Research Article']","When searching for a dynamic target in an unknown real world scene, search efficiency is greatly reduced if users lack information about the spatial structure of the scene. Most target search studies, especially in robotics, focus on determining either the shortest path when the target’s position is known, or a strategy to find the target as quickly as possible when the target’s position is unknown. However, the target’s position is often known intermittently in the real world, e.g., in the case of using surveillance cameras. Our goal is to help user find a dynamic target efficiently in the real world when the target’s position is intermittently known. In order to achieve this purpose, we have designed an AR guidance assistance system to provide optimal current directional guidance to users, based on searching a prediction graph. We assume that a certain number of depth cameras are fixed in a real scene to obtain dynamic target’s position. The system automatically analyzes all possible meetings between the user and the target, and generates optimal directional guidance to help the user catch up with the target. A user study was used to evaluate our method, and its results showed that compared to free search and a top-view method, our method significantly improves target search efficiency.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/s41095-022-0276-6,en,Point cloud completion via structured feature maps using a feedback network,"['OriginalPaper', 'Research Article']","In this paper, we tackle the challenging problem of point cloud completion from the perspective of feature learning. Our key observation is that to recover the underlying structures as well as surface details, given partial input, a fundamental component is a good feature representation that can capture both global structure and local geometric details. We accordingly first propose FSNet, a feature structuring module that can adaptively aggregate point-wise features into a 2D structured feature map by learning multiple latent patterns from local regions. We then integrate FSNet into a coarse-to-fine pipeline for point cloud completion. Specifically, a 2D convolutional neural network is adopted to decode feature maps from FSNet into a coarse and complete point cloud. Next, a point cloud upsampling network is used to generate a dense point cloud from the partial input and the coarse intermediate output. To efficiently exploit local structures and enhance point distribution uniformity, we propose IFNet, a point upsampling module with a self-correction mechanism that can progressively refine details of the generated dense point cloud. We have conducted qualitative and quantitative experiments on ShapeNet, MVP, and KITTI datasets, which demonstrate that our method outperforms state-of-the-art point cloud completion approaches.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/s41095-021-0262-4,en,Full-duplex strategy for video object segmentation,"['OriginalPaper', 'Research Article']","Previous video object segmentation approaches mainly focus on simplex solutions linking appearance and motion, limiting effective feature collaboration between these two cues. In this work, we study a novel and efficient full-duplex strategy network ( FSNet ) to address this issue, by considering a better mutual restraint scheme linking motion and appearance allowing exploitation of cross-modal features from the fusion and decoding stage. Specifically, we introduce a relational cross-attention module (RCAM) to achieve bidirectional message propagation across embedding sub-spaces. To improve the model’s robustness and update inconsistent features from the spatiotemporal embeddings, we adopt a bidirectional purification module after the RCAM. Extensive experiments on five popular benchmarks show that our FSNet is robust to various challenging scenarios (e.g., motion blur and occlusion), and compares well to leading methods both for video object segmentation and video salient object detection. The project is publicly available at https://github.com/GewelsJI/FSNet .","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/s41095-022-0272-x,en,Imposing temporal consistency on deep monocular body shape and pose estimation,"['OriginalPaper', 'Research Article']","Accurate and temporally consistent modeling of human bodies is essential for a wide range of applications, including character animation, understanding human social behavior, and AR/VR interfaces. Capturing human motion accurately from a monocular image sequence remains challenging; modeling quality is strongly influenced by temporal consistency of the captured body motion. Our work presents an elegant solution to integrating temporal constraints during fitting. This increases both temporal consistency and robustness during optimization. In detail, we derive parameters of a sequence of body models, representing shape and motion of a person. We optimize these parameters over the complete image sequence, fitting a single consistent body shape while imposing temporal consistency on the body motion, assuming body joint trajectories to be linear over short time. Our approach enables the derivation of realistic 3D body models from image sequences, including jaw pose, facial expression, and articulated hands. Our experiments show that our approach accurately estimates body shape and motion, even for challenging movements and poses. Further, we apply it to the particular application of sign language analysis, where accurate and temporally consistent motion modelling is essential, and show that the approach is well-suited to this kind of application.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
