identifier,language,title,genre,abstract,subjects
doi:10.1007/s42757-022-0133-y,en,Assessment of simplified momentum equations for free surface flows through rigid porous media,"['OriginalPaper', 'Research Article']","In many applications, free surface flow through rigid porous media has to be modeled. Examples refer to coastal engineering applications as well as geotechnical or biomedical applications. Albeit the frequent applications, slight inconsistencies in the formulation of the governing equations can be found in the literature. The main goal of this paper is to identify these differences and provide a quantitative assessment of different approaches. Following a review of the different formulations, simulation results obtained from three alternative formulations are compared with experimental and numerical data. Results obtained by 2D and 3D test cases indicate that the predictive differences returned by the different formulations remain small for most applications, in particular for small porous Reynolds number Re P < 5000. Thus it seems justified to select a simplified formulation that supports an efficient algorithm and coding structure in a computational fluid dynamics environment. An estimated accuracy depending on the porous Reynolds number or the mean grain diameter is given for the simplified formulation.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0149-x,en,Adaptive connected hierarchical optimization algorithm for minimum energy spacecraft attitude maneuver path planning,"['OriginalPaper', 'Research Article']","Space object observation requirements and the avoidance of specific attitudes produce pointing constraints that increase the complexity of the attitude maneuver path-planning problem. To deal with this issue, a feasible attitude trajectory generation method is proposed that utilizes a multiresolution technique and local attitude node adjustment to obtain sufficient time and quaternion nodes to satisfy the pointing constraints. These nodes are further used to calculate the continuous attitude trajectory based on quaternion polynomial interpolation and the inverse dynamics method. Then, the characteristic parameters of these nodes are extracted to transform the path-planning problem into a parameter optimization problem aimed at minimizing energy consumption. This problem is solved by an improved hierarchical optimization algorithm, in which an adaptive parameter-tuning mechanism is introduced to improve the performance of the original algorithm. A numerical simulation is performed, and the results confirm the feasibility and effectiveness of the proposed method.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0144-2,en,A review of dynamic analysis on space solar power station,"['ReviewPaper', 'Review Article']","The concept of a space solar power station (SSPS) was proposed in 1968 as a potential approach for solving the energy crisis. In the past 50 years, several structural concepts have been proposed, but none have been sent into orbit. One of the main challenges of the SSPS is dynamic behavior prediction, which can supply the necessary information for control strategy design. The ultra-large size of the SSPS causes difficulties in its dynamic analysis, such as the ultra-low vibration frequency and large flexibility. In this paper, four approaches for the numerical analysis of the dynamic problems associated with the SSPS are reviewed: the finite element, absolute nodal coordinate, floating frame formulation, and structure-preserving methods. Both the merits and shortcomings of the above four approaches are introduced when they are employed in dynamic problems associated with the SSPS. Synthesizing the merits of the aforementioned four approaches, we believe that embedding the structure-preserving method into finite element software may be an effective way to perform a numerical analysis of the dynamic problems associated with the SSPS.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-021-0130-6,en,Numerical investigation of particle motion at the steel—slag interface in continuous casting using VOF method and dynamic overset grids,"['OriginalPaper', 'Research Article']","The capillary interactions are prominent for a micro-sized particle at the steel—slag interface. In this study, the dynamics of a spherical particle interacting with the steel—slag interface is numerically investigated using the volume of fluid method in combination with the overset grid technique to account for particle motion. The simulations have shown the particle’s separation process at the interface and successfully captured the formation and continuous evolution of a meniscus in the course of particle motion. A sensitivity analysis on the effect of different physical parameters in the steel—slag—particle system is also conducted. The result indicates that the wettability of particle with the slag phase is the main factor affecting particle separation behavior (trapped at the interface or fully separated into slag). Higher interfacial tension of fluid interface and smaller particle size can speed up the particle motion but have less effect on the equilibrium position for particle staying at the interface. In comparison, particle density shows a minor influence when the motion is dominated by the capillary effect. By taking account of the effect of meniscus and capillary forces on a particle, this study provides a more accurate simulation of particle motion in the vicinity of the steel—slag interface and enables further investigation of more complex situations.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42757-022-0137-7,en,Numerical simulation of oil dewatering in a disc centrifuge based on PBM model,"['OriginalPaper', 'Research Article']","Disc centrifuges have been widely applied, particularly in oil dewatering. Literatures are sparsely particularly that of test work and simulation with PBM model on this aspect. The oil dewatering performance of a disc centrifuge has been studied with both test and simulation, which was based on population balance model (PBM). The gradient of the concentration and size of water droplets has been revealed. The results show that the simulation of PBM model is more realistic; the coalescence probability of water droplets is much greater than the fragmentation probability; due to the coalescence behavior of water droplets, the oil—water separation process will be easier; and the separation efficiency will be 1%–2% higher than that of conventional Euler—Euler model. In addition, when the separation efficiency reaches the peak, the optimal disc gap is about 0.5 mm.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42757-021-0122-3,en,A multiphase approach for pyrolysis modelling of polymeric materials,"['OriginalPaper', 'Research Article']","In this study, a multiphase pyrolysis model has been proposed under the large eddy simulation (LES) framework incorporating moving boundary surface tracking, char formation, and detailed chemical kinetics combustion modelling. The proposed numerical model was applied to simulate the cone calorimeter test of two kinds of materials: (i) pinewood (charring) and (ii) low-density polyethylene (non-charring). Using a cone calorimeter setup, good agreement has been achieved between the computational and the experimental results. The model is capable of predicting the formation of the char layer and thus replicating the flame suppressing thermal and barrier effects. Furthermore, with the application of detailed chemical kinetics, the fire model was able to aptly predict the generation of asphyxiant gas such as CO/CO 2 during the burning process. However, the pinewood experiments showed significant CO/CO 2 emissions post flame extinguishment attributed to char oxidation effects, which were not considered by the fire model. Despite the limitation, the fully coupled LES model proposed in this study was capable of predicting the fluid mechanics and heat transfer for the turbulent reacting flow, solid-phase decomposition, and gaseous products under flaming conditions. In the future, it can be further extended to include char oxidation mechanisms to improve predictions for charring materials.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0153-1,en,Closed-loop deep neural network optimal control algorithm and error analysis for powered landing under uncertainties,"['OriginalPaper', 'Research Article']","Real-time guidance is critical for the vertical recovery of rockets. However, traditional sequential convex optimization algorithms suffer from shortcomings in terms of their poor real-time performance. This work focuses on applying the deep learning-based closed-loop guidance algorithm and error propagation analysis for powered landing, thereby significantly improving the real-time performance. First, a controller consisting of two deep neural networks is constructed to map the thrust direction and magnitude of the rocket according to the state variables. Thereafter, the analytical transition relationships between different uncertainty sources and the state propagation error in a single guidance period are analyzed by adopting linear covariance analysis. Finally, the accuracy of the proposed methods is verified via a comparison with the indirect method and Monte Carlo simulations. Compared with the traditional sequential convex optimization algorithm, our method reduces the computation time from 75 ms to less than 1 ms. Therefore, it shows potential for online applications.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0152-2,en,Review of space relative navigation based on angles-only measurements,"['ReviewPaper', 'Review Article']","Relative navigation is a key enabling technology for space missions such as on-orbit servicing and space situational awareness. Given that there are several special advantages of space relative navigation using angles-only measurements from passive optical sensors, angles-only relative navigation is considered as one of the best potential approaches in the field of space relative navigation. However, angles-only relative navigation is well-known for its range observability problem. To overcome this observability problem, many studies have been conducted over the past decades. In this study, we present a comprehensive review of state-of-the-art space relative navigation based on angles-only measurements. The emphasis is on the observability problem and solutions to angles-only relative navigation, where the review of the solutions is categorized into four classes based on the intrinsic principle: complicated dynamics approach, multi-line of sight (multi-LOS) approach, sensor offset center-of-mass approach, and orbit maneuver approach. Then, the flight demonstration results of angles-only relative navigation in the two projects are briefly reviewed. Finally, conclusions of this study and recommendations for further research are presented.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-022-0134-x,en,Pool boiling experiment characteristics on the pure copper surface,"['OriginalPaper', 'Research Article']","The pool boiling characteristics with different boiling surfaces and working fluids play an important part in multiphase flow research. The key parameters of pool boiling, such as heat transfer coefficient (HTC) and critical heat flux (CHF), can be only acquired by experiment. Thus, a pool boiling experimental device is designed and produces the HTC and CHF data on the pure copper heating surface, which are 72.25 kW/(m 2 ·K) and 1093.28 kW/m 2 , respectively. Besides, a series of visualization experimental results of bubble behavior in the pool boiling are taken by the high-speed camera to provide references for the boiling mechanism research. The pool boiling experiment would be the benchmark data to validate the future experiments and computer simulations.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-021-0127-8,en,Measuring the mechanical properties of small body regolith layers using a granular penetrometer,"['OriginalPaper', 'Research Article']","Small bodies in the solar system are known to be covered by a layer of loose unconsolidated soil composed of grains ranging from dusty sands to rugged boulders. Various geophysical processes have modified these regolith layers since their origin. Therefore, the landforms on regolith-blanketed surfaces hold vital clues for reconstructing the geological processes occurring on small bodies. However, the mechanical strength of small body regolith remains unclear, which is an important parameter for understanding its dynamic evolution. Furthermore, regolith mechanical properties are key factors for the design and operation of space missions that interact with small body surfaces. The granular penetrometer, which is an instrument that facilitates in situ mechanical characterization of surface/subsurface materials, has attracted significant attention. However, we still do not fully understand the penetration dynamics related to granular regolith, partially because of the experimental difficulties in measuring grain-scale responses under microgravity, particularly on the longer timescales of small body dynamics. In this study, we analyzed the slow intrusion of a locomotor into granular matter through large-scale numerical simulations based on a soft sphere discrete element model. We demonstrated that the resistance force of cohesionless regolith increases abruptly with penetration depth after contact and then transitions to a linear regime. The scale factor of the steady-state component is roughly proportional to the internal friction of the granular materials, which allows us to deduce the shear strength of planetary soils by measuring their force-depth relationships. When cohesion is included, due to the brittle behavior of cohesive materials, the resistance profile is characterized by a stationary state at a large penetration depth. The saturation resistance, which represents the failure threshold of granular materials, increases with the cohesion strength of the regolith. This positive correlation provides a reliable tool for measuring the tensile strength of granular regolith in small body touchdown missions.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
