identifier,language,title,genre,abstract,subjects
doi:10.1007/s42832-022-0155-1,en,Umamification of food facilitates the green transition,"['OriginalPaper', 'Essay']",,"['Environment', 'Soil Science & Conservation', 'Ecology']"
doi:10.1007/978-3-031-10137-3_8,en,Esotericism and Matter: Damanhur’s Post-Falco Spirituality,OriginalPaper,"In this chapter I shall investigate Damanhur’s “post-Falco” spiritual world. My starting point is the changes introduced into the community’s spiritual-magical-esoteric programme in 2018 by Falco’s closest followers, the “Wise Members”, whose task it was to carry the programme forward after his death and to lead the “School of Meditation” and the hierarchy of initiates. These changes, expressed as updating Damanhur’s eschatological mission which intends to “Damanhurize the planet”, are the basis of its recent—more emphasized than in the past—opening to the outside world. The thesis I shall propose is that Damanhur, responding to the changes gradually undertaken in order to open itself to the world, has attenuated its original characteristics which had earned it the name of “sect”. Today it seems to be approaching a certain—less greedy and totalitarian—form of social organization of the “sect” type closer to those of contemporary spirituality whose barycentre of authority is shifted from the community to the subject and where spiritual experience is no longer necessarily tied to life experience.","['Religious Studies', 'Spirituality', 'History of World War II and the Holocaust']"
doi:10.1007/978-981-16-7487-7_10,en,Synthesis and Technology Mapping for In-Memory Computing,OriginalPaper,"In this chapter, we introduce the preliminaries of in-memory computing processing-in-memory platforms, such as memristive Memory Processing Units (mMPU), which allow leveraging data locality and performing stateful logic operations. To allow computing of arbitrary Boolean functions using such novel computing platforms, development of design automation flows (EDA) are of critical importance. Typically, EDA flows consist of multiple phases. Technology-independent logic synthesis is the first step, where the input Boolean function is restructured without any specific technology constraints, which is generally followed by a technology-dependent optimization phase, where technology specific hints are used for optimization of the data structure obtained from the first step. The final step is technology mapping, which takes the optimized function representation to implement it using technology-specific constraints. In this chapter, we present an end-to-end mapping framework for mMPU with various mapping objectives. We begin the chapter by presenting an optimal technology mapping method with the goal of mapping a Boolean function on a single row of mMPU. Thereafter, we propose a Look-Up Table (LUT) based mapping that attempts at minimizing delay of mapping, without any area constraints. We extend this method to work with area-constraints. The proposed framework is modular and can be improved with more efficient heuristics as well as technology-specific optimizations. We present benchmarking results with other approaches throughout this chapter.","['Engineering', 'Circuits and Systems', 'Electronic Circuits and Devices', 'Processor Architectures', 'Nanotechnology', 'Electronics and Microelectronics, Instrumentation']"
doi:10.1007/978-3-031-15222-1_3,en,"Trials, Persecutions, Executions (the Sixteenth–Nineteenth Centuries)",OriginalPaper,"This chapter aims to analyse the persecutions against witches and warlocks in the early modern Romanian world (sixteenth–nineteenth centuries). The analysis is made according to the socio-historical context of each historical province of contemporary Romania. In Transylvania and the Banat, a Western-inspired persecution pattern functioned: we took here in consideration only those trials in which some of the many Romanians living in these provinces were involved. In Moldavia, only one trial from 1761 is known, which is carefully placed in the context of the magical beliefs and practices of Moldavian population of the past centuries. Wallachia offers a much richer harvest of witchcraft cases between 1586 and 1859, with three executions for witchcraft, but which had an obvious political substratum. At the end of the chapter, an interpretation model inspired by risk-management theory is applied, on three levels, in order to highlight some contextual specificities of Romanian culture: the institutional level (implicitly that of legislation), the community level and the intrapersonal level (the last being an essentially subjective one, encompassing the feelings of each individual).","['History', 'European History', 'Cultural History', 'Social History']"
doi:10.1007/978-3-031-15222-1_6,en,Doomsday and Hellfire: Iconographic Representations of Witchcraft in Last Judgment Compositions,OriginalPaper,"This chapter analyses 188 visual representations of the Last Judgment, coming from the entire geographical area of Romanian culture and covering the period between 1547 and 2017. These representations have in common that they visually describe a series of extremely violent physical tortures endured for the sin of witchcraft: beating, biting by snakes, riding by the devil, rape, unquenchable fire, impalement. There are several iconographic types that were identified and analysed depending on the socio-artistic context in which they appeared and developed: the witch in the river or the sea of fire, the witch ridden by the devil or riding him, the milk or manna thief with a bucket on the head or around the neck, the groups of practitioners of magic burning in hellfire and so on. The Romanian iconographic representations were compared with the data collected by folklorists during field researches and with paintings from Bulgaria or Ukraine, in order to discern which of their details belong to the high theological culture and which could be related to oral folk culture.","['History', 'European History', 'Cultural History', 'Social History']"
doi:10.1007/978-3-031-15222-1_2,en,Witchcraft Acts: Condemnation of Sorcery in the Codes of Law,OriginalPaper,"This chapter investigates how the issue of witchcraft has been addressed in Romanian law over time. In the early modern world, Romanians used codes of Byzantine origin, in which the punishments stipulated for witchcraft were always religious: the prohibition of Holy Communion for a period of several years, accompanied by other gestures of penance. The Orthodox context of the respective legislative measure is extremely important and its specificities need to be highlighted. Requirement of the death penalty for witchcraft was extremely rare. The emergence of modern legislation has led to the disappearance of the crime of witchcraft, which was still mentioned only when it was associated with theft, deception and illegal practice of medicine. At the end of the chapter, the concept of misogyny is discussed, to explain the constitution of the image of the witch in the codes of laws, but also in other documents with legislative implications (sermons, instructions for confessors, etc.).","['History', 'European History', 'Cultural History', 'Social History']"
doi:10.1007/978-981-19-5224-1_17,en,On Cordial Totally Magic Labeling of Flower Graphs,OriginalPaper,"A graph G ( V , E ) is called total magic cordial graph if it owns up the labeling called total magic cordial labeling which is defined as, a function $$f:V\left( G \right) \cup E\left( G \right) \to \left\{ {0,1} \right\}$$ such that $$f\left( u \right) + f\left( v \right) + f\left( {uv} \right) \equiv C\left( {\bmod 2 } \right)$$ for all arcs uv $$\in E\left( G \right)$$ provided the condition $$\left| {f_{0} - f_{1} } \right| \le 1$$ is hold, where $$f_{0} = u_{0} + e_{0}$$ and $$f_{1} = u_{1} + e_{1}$$ where $$u_{i}$$ , $$e_{i}$$ , $$i \in \left\{ {0,1} \right\}$$ denote the nodes and arcs, respectively. This research article found that octopus graph, vanessa graph, lilly graph, and lotus graph admits the above mentioned labeling for all values of n .","['Engineering', 'Communications Engineering, Networks', 'Statistics, general', 'Cyber-physical systems, IoT', 'Sociology, general', 'Professional Computing']"
doi:10.1007/978-3-031-17752-1_8,en,Platonism as a Way of Life,OriginalPaper,"The Platonic way of life aims at transforming you into a deity. And while ancient Platonists recommended many contemplative practices for self-deification, they also recommended ascetic ways of life. Ancient Platonists pursued the he telestike techne , the craft of self-surpassing. Further, they recommended theurgical procedures for raising your self to the heights of the deities. But the old Platonic dream of self-deification evolved into the dreams of the modern transhumanists, and the ancient craft of self-surpassing evolved into practical transhumanism. Practical transhumanists apply the experimental method to the self. They update the craft of self-surpassing into the hacker methodology. The Platonic way of life is the way of self-hacking.","['Philosophy', 'Philosophy of Religion', 'History of Philosophy']"
doi:10.1007/978-3-031-06461-6_2,en,Mechanics of the Wheel with Tire,OriginalPaper,"All road vehicles have wheels and almost all of them have wheels with pneumatic tire s . Wheels have been around for many centuries, but only with the invention, and enhancement, of the pneumatic tire it has been possible to conceive fast and comfortable road vehicles [ 5 ].","['Engineering', 'Automotive Engineering', 'Complexity', 'Control and Systems Theory']"
doi:10.1007/978-981-19-3015-7_34,en,A Deep Dive Comparison of Cache Replacement Strategies: The Quality of Experience Influencer,OriginalPaper,"Customer’s satisfaction has been a prime concern to most companies in designing and refining their products and their services. The background of rising of the user’s quality of experience (henceforth QoE) concept has given rise to new services. These services have majorly contributed in increasing the profits of the Internet service providers; however, their revenue growth is strongly dependent on the perception and feedback of the end users. Content-centric networking (CCN) is a rising new architecture which paves way for a looming Internet. The efficiency of this architecture is evaluated based on the caching strategies that is being implemented. One approach in refining the user’s quality of experience (QoE) is caching. The performances of cache replacement strategies in CCN are evaluated and a detailed comparison is done with relevant caching strategies on different cache sizes. The performances in terms of the metrics are analysed.","['Engineering', 'Computational Intelligence', 'Artificial Intelligence', 'Data Engineering', 'Data Mining and Knowledge Discovery', 'Computer Imaging, Vision, Pattern Recognition and Graphics']"
