identifier,language,title,genre,abstract,subjects
doi:10.1007/s42757-021-0131-5,en,Effect of thermal radiation on magnetohydrodynamics heat transfer micropolar fluid flow over a vertical moving porous plate,"['OriginalPaper', 'Research Article']","An analysis is investigated for this study of the magnetohydrodynamics heat transfer flow of the micropolar fluid over a vertical porous moving plate in the existence of the radiation effect. The numerical elucidations of the governing equations achieved for various values of flow fields are taken out for the several parameters inflowing into the problem and solved by raising the Galerkin finite element technique. By taking the range of the magnetic field parameter 0 ≤ M ≤ 5, the range of viscosity ratio parameter is 0 ≤ β ≤ 5, and micro-gyration parameter is 0 ≤ n ≤ 5, whereas the value of Grashof number lies in 0 ≤ Gr ≤ 2 and −2 ≤ Gr ≤ 0. The numerical results and impact on the translation velocity and temperature are presented and discussed through graphs and listed in the tables. With an increase of β and Gr , the velocity increases, and the reverse effect is found with enhancing of M and n . With enhanced values of M, n, Pr , and R , the result in C f rises.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42757-021-0109-3,en,A review for measurements and simulations of swirling gas-particle flows,"['ReviewPaper', 'Review Article']","Swirling gas-particle (droplet) flows are commonly encountered in gas-turbine combustors, cyclone combustors, and furnace burners. To better understand the flow behavior, many investigators did measurements, RANS (Reynolds-averaged Navier-Stokes) simulation, and LES (large-eddy simulation) of these types of flows. Most studies were done for weakly swirling gas-particle flows with swirl numbers less than unity. Experimental and numerical studies were done by the present author and his colleagues for PDPA measurements of swirling gas-particle flows with swirl numbers greater than unity, Reynolds-averaged two-fluid (Eulerian-Eulerian) simulation using k-ε-k p and USM (unified second-order moment) two-phase turbulence models, and two-fluid LES using a two-phase sub-grid stress model. The measurement and simulation results give the two-phase time-averaged and RMS fluctuation velocities, and particle concentration distribution, showing the complex recirculation structures in the two-phase axial velocities and the Rankine-vortex structures in the two-phase tangential velocities, the anisotropic two-phase turbulence properties, and the effect of swirl number on the two-phase flow behavior. The simulation results show that the two-fluid approach using the k-ε-k p and USM two-phase turbulence models are better than the Eulerian-Lagrangian approach for simulating swirling gas-particle flows","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42757-021-0122-3,en,A multiphase approach for pyrolysis modelling of polymeric materials,"['OriginalPaper', 'Research Article']","In this study, a multiphase pyrolysis model has been proposed under the large eddy simulation (LES) framework incorporating moving boundary surface tracking, char formation, and detailed chemical kinetics combustion modelling. The proposed numerical model was applied to simulate the cone calorimeter test of two kinds of materials: (i) pinewood (charring) and (ii) low-density polyethylene (non-charring). Using a cone calorimeter setup, good agreement has been achieved between the computational and the experimental results. The model is capable of predicting the formation of the char layer and thus replicating the flame suppressing thermal and barrier effects. Furthermore, with the application of detailed chemical kinetics, the fire model was able to aptly predict the generation of asphyxiant gas such as CO/CO 2 during the burning process. However, the pinewood experiments showed significant CO/CO 2 emissions post flame extinguishment attributed to char oxidation effects, which were not considered by the fire model. Despite the limitation, the fully coupled LES model proposed in this study was capable of predicting the fluid mechanics and heat transfer for the turbulent reacting flow, solid-phase decomposition, and gaseous products under flaming conditions. In the future, it can be further extended to include char oxidation mechanisms to improve predictions for charring materials.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0144-2,en,A review of dynamic analysis on space solar power station,"['ReviewPaper', 'Review Article']","The concept of a space solar power station (SSPS) was proposed in 1968 as a potential approach for solving the energy crisis. In the past 50 years, several structural concepts have been proposed, but none have been sent into orbit. One of the main challenges of the SSPS is dynamic behavior prediction, which can supply the necessary information for control strategy design. The ultra-large size of the SSPS causes difficulties in its dynamic analysis, such as the ultra-low vibration frequency and large flexibility. In this paper, four approaches for the numerical analysis of the dynamic problems associated with the SSPS are reviewed: the finite element, absolute nodal coordinate, floating frame formulation, and structure-preserving methods. Both the merits and shortcomings of the above four approaches are introduced when they are employed in dynamic problems associated with the SSPS. Synthesizing the merits of the aforementioned four approaches, we believe that embedding the structure-preserving method into finite element software may be an effective way to perform a numerical analysis of the dynamic problems associated with the SSPS.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0152-2,en,Review of space relative navigation based on angles-only measurements,"['ReviewPaper', 'Review Article']","Relative navigation is a key enabling technology for space missions such as on-orbit servicing and space situational awareness. Given that there are several special advantages of space relative navigation using angles-only measurements from passive optical sensors, angles-only relative navigation is considered as one of the best potential approaches in the field of space relative navigation. However, angles-only relative navigation is well-known for its range observability problem. To overcome this observability problem, many studies have been conducted over the past decades. In this study, we present a comprehensive review of state-of-the-art space relative navigation based on angles-only measurements. The emphasis is on the observability problem and solutions to angles-only relative navigation, where the review of the solutions is categorized into four classes based on the intrinsic principle: complicated dynamics approach, multi-line of sight (multi-LOS) approach, sensor offset center-of-mass approach, and orbit maneuver approach. Then, the flight demonstration results of angles-only relative navigation in the two projects are briefly reviewed. Finally, conclusions of this study and recommendations for further research are presented.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0147-z,en,Stretching directions in cislunar space: Applications for departures and transfer design,"['OriginalPaper', 'Research Article']","Stable or nearly stable orbits do not generally possess well-distinguished manifold structures that assist in designing trajectories for departing from or arriving onto a periodic orbit. For some potential missions, the orbits of interest are selected as nearly stable to reduce the possibility of rapid departure. However, the linearly stable nature of these orbits is also a drawback for their timely insertion into or departure from the orbit. Stable or nearly stable near rectilinear halo orbits (NRHOs), distant retrograde orbits (DROs), and lunar orbits offer potential long-horizon trajectories for exploration missions and demand efficient operations. The current investigation focuses on leveraging stretching directions as a tool for departure and trajectory design applications. The magnitude of the state variations along the maximum stretching direction is expected to grow rapidly and, therefore, offers information for efficient departure from the orbit. Similarly, maximum stretching in reverse time enables arrival with a minimal maneuver magnitude.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0150-4,en,Application of homotopy perturbation method to the radial thrust problem,"['OriginalPaper', 'Engineering Note']","The dynamics of a spacecraft propelled by a continuous radial thrust resembles that of a nonlinear oscillator. This is analyzed in this work with a novel method that combines the definition of a suitable homotopy with a classical perturbation approach, in which the low thrust is assumed to be a perturbation of the nominal Keplerian motion. The homotopy perturbation method provides the analytical (approximate) solution of the dynamical equations in polar form to estimate the corresponding spacecraft propelled trajectory with a short computational time. The accuracy of the analytical results was tested in an orbital-targeting mission scenario.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-021-0119-1,en,A conservative level set method for liquid-gas flows with application in liquid jet atomisation,"['OriginalPaper', 'Research Article']","In this paper, a methodology for modelling two-phase flows based on a conservative level set method in the framework of finite volume method is presented. The novelty of the interface capturing method used here lies on the advection of level set which is solved with a WENO scheme and corrected with a novel re-initialisation method for retaining its signed distance function character. The coupling with the volume of fluid method is done with a simple algebraic approach, and with the new algorithm the accumulated mass conservation errors remain reasonably low. The paper presents a unique coupling between the level set method and the Eulerian–Lagrangian Spray Atomisation approach for modelling spray dispersion in liquid atomisation systems. The method is shown to have good accuracy providing similar results to other numerical codes for the classical tests presented. Preliminary results are also shown for three-dimensional simulations of the primary break-up of a turbulent liquid jet obtaining results comparable to direct numerical simulations. Consequently, the coupled method can be used for simulating various two-phase flow applications offering an accurate representation of the interface dynamics.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s40544-022-0621-x,en,High-temperature wear mechanisms of TiNbWN films: Role of nanocrystalline oxides formation,"['OriginalPaper', 'Research article']","Refractory high/medium entropy nitrides (HENs/MENs) exhibit comprehensive application prospects as protective films on mechanical parts, particularly those subjected to sliding contacts at elevated temperatures. In this study, a new MEN system TiNbWN, forming a single fcc solution, is designed and its wear performance at temperatures ranging from 25 to 750 °C is explored. The wear mechanisms can be rationalized by examining the subsurface microstructural evolutions using the transmission electron microscopy as well as calculating the phase diagrams and interfacial adhesion behavior employing calculation of phase diagram (CALPHAD) and density functional theory (DFT). To be specific, increased wear losses occur in a temperature range of 25–600 °C, being predominantly caused by the thermally-induced hardness degradation; whereas at the ultimate temperature (750 °C), the wear loss is refrained due to the formation of nanocrystalline oxides (W n O 3 n −2 , TiO 2 , and γ TiO x ), as synergistically revealed by microscopy and CALPHAD, which not only enhance the mechanical properties of the pristine nitride film, but also act as solid lubricants, reducing the interfacial adhesion. Thus, our work delineates the role of the in situ formed nanocrystalline oxides in the wear mechanism transition of TiNbWN thin films, which could shed light on the high-temperature wear behavior of refractory HEN/MEN films.","['Engineering', 'Mechanical Engineering', 'Nanotechnology', 'Tribology, Corrosion and Coatings', 'Physical Chemistry', 'Surfaces and Interfaces, Thin Films']"
doi:10.1007/s41095-022-0276-6,en,Point cloud completion via structured feature maps using a feedback network,"['OriginalPaper', 'Research Article']","In this paper, we tackle the challenging problem of point cloud completion from the perspective of feature learning. Our key observation is that to recover the underlying structures as well as surface details, given partial input, a fundamental component is a good feature representation that can capture both global structure and local geometric details. We accordingly first propose FSNet, a feature structuring module that can adaptively aggregate point-wise features into a 2D structured feature map by learning multiple latent patterns from local regions. We then integrate FSNet into a coarse-to-fine pipeline for point cloud completion. Specifically, a 2D convolutional neural network is adopted to decode feature maps from FSNet into a coarse and complete point cloud. Next, a point cloud upsampling network is used to generate a dense point cloud from the partial input and the coarse intermediate output. To efficiently exploit local structures and enhance point distribution uniformity, we propose IFNet, a point upsampling module with a self-correction mechanism that can progressively refine details of the generated dense point cloud. We have conducted qualitative and quantitative experiments on ShapeNet, MVP, and KITTI datasets, which demonstrate that our method outperforms state-of-the-art point cloud completion approaches.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
