identifier,language,title,genre,abstract,subjects
doi:10.1007/s41095-022-0273-9,en,Joint specular highlight detection and removal in single images via Unet-Transformer,"['OriginalPaper', 'Research Article']","Specular highlight detection and removal is a fundamental problem in computer vision and image processing. In this paper, we present an efficient end-to-end deep learning model for automatically detecting and removing specular highlights in a single image. In particular, an encoder—decoder network is utilized to detect specular highlights, and then a novel Unet-Transformer network performs highlight removal; we append transformer modules instead of feature maps in the Unet architecture. We also introduce a highlight detection module as a mask to guide the removal task. Thus, these two networks can be jointly trained in an effective manner. Thanks to the hierarchical and global properties of the transformer mechanism, our framework is able to establish relationships between continuous self-attention layers, making it possible to directly model the mapping between the diffuse area and the specular highlight area, and reduce indeterminacy within areas containing strong specular highlight reflection. Experiments on public benchmark and real-world images demonstrate that our approach outperforms state-of-the-art methods for both highlight detection and removal tasks.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/s41095-021-0262-4,en,Full-duplex strategy for video object segmentation,"['OriginalPaper', 'Research Article']","Previous video object segmentation approaches mainly focus on simplex solutions linking appearance and motion, limiting effective feature collaboration between these two cues. In this work, we study a novel and efficient full-duplex strategy network ( FSNet ) to address this issue, by considering a better mutual restraint scheme linking motion and appearance allowing exploitation of cross-modal features from the fusion and decoding stage. Specifically, we introduce a relational cross-attention module (RCAM) to achieve bidirectional message propagation across embedding sub-spaces. To improve the model’s robustness and update inconsistent features from the spatiotemporal embeddings, we adopt a bidirectional purification module after the RCAM. Extensive experiments on five popular benchmarks show that our FSNet is robust to various challenging scenarios (e.g., motion blur and occlusion), and compares well to leading methods both for video object segmentation and video salient object detection. The project is publicly available at https://github.com/GewelsJI/FSNet .","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/978-3-031-14537-7_18,en,Collaborative Optimisation of Robotic Disassembly Planning Problems using the Bees Algorithm,OriginalPaper,"Remanufacturing Remanufacturing is an important way to realize environmental protection and resource reutilization by reusing end-of-life products. Disassembly Disassembly is an important process of remanufacturing Remanufacturing . Manual disassembly is a common method used to disassemble end-of-life products; it is expensive and inefficient. Recently, robotic disassembly Robotic disassembly has been proposed to address the shortcomings of manual disassembly Disassembly . Before the robotic disassembly Robotic disassembly execution process, robotic disassembly planning Disassembly planning , which contains robotic disassembly sequence planning and robotic disassembly Robotic disassembly line balancing, could be utilized to improve disassembly efficiency. However, the existing research independently studies robotic Robotic disassembly sequence planning and robotic disassembly line balancing and ignores their interrelationships. In this chapter, the Bees algorithm Bees Algorithm is utilized to collaboratively optimize the robotic disassembly planning Disassembly planning methods. First, every single robotic disassembly Robotic disassembly workstation executes the disassembly Disassembly tasks assigned by using the space interference matrix and robotic Robotic workstation assignment method in the robotic disassembly line. Then, the optimization objectives of the collaborative optimization Collaborative optimization problem are described, and the analytic network process is utilized to assign weights to different objectives. After that, the improved discrete Bees algorithm is used to find the optimal Optimal solution, and case studies are carried out to verify the proposed method. In addition, simulations based on RoboDK under different scenarios are also conducted to show the effectiveness of the proposed method.","['Engineering', 'Robotics and Automation', 'Artificial Intelligence', 'Industrial and Production Engineering', 'Professional Computing', 'Robotics', 'Machine Learning']"
doi:10.1007/978-3-031-08927-5_9,en,Biomechanical Success of Traditional Versus Robotic-Assisted Total Hip Arthroplasty,OriginalPaper,"Total hip arthroplasty (THA) is known to be a very successful surgical technique. Restoration of normal biomechanical functions and physiological hip restoration are key surgical goals for success of THA. Robotics is a recently tested method for advancing outcomes of THA. In this review, the advantages and disadvantages of robots’ use during THAs from a biomechanical standpoint are analyzed. It has been observed that analysis of revision rates Revision rate , hip dislocation Hip dislocation , accurate cup positioning, and implant design and placement plays a crucial role in biomechanical success. Additionally, robotics technologies are proven to have better precision Precision and cup placements when compared to surgeon-only THAs. Challenges faced for robotics’ use during THA include surgeon training, extended surgical hours, and economical costs Economical costs . Analysis of dislocation and revision rates provides mixed results for robotics success during THAs; however, these mixed results can be due to factors such as surgeon’s success during the surgery, programming success of the robot for the particular application, and planning of the surgery noting that robots are shown to have successful precision in the literature.","['Engineering', 'Biomedical Engineering and Bioengineering', 'Biomechanics', 'Surgical Orthopedics', 'Robotics']"
doi:10.1007/978-3-031-08927-5_8,en,All-Inclusive Impact of Robotics Applications on THA: Overall Impact of Robotics on Total Hip Arthroplasty Patients from Manufacturing of Implants to Recovery After Surgery,OriginalPaper,"Advancement of robotics in recent years started to impact the number of robotic-based total hip arthroplasty Arthroplasty (THA) applications with the corresponding success observed on surgical outcomes. There are robotic systems Robotic system such as Kuka’s LBR iiwa Kuka LBR iiwa Third IEEE International Conference on Robotic Computing (IRC), 2019), Mako MAKO (Tarwala and Dorr, Curr Rev Musculoskelet Med 4(3):151–6, 2011; Domb et al. Clin Orthop Relat Res 472:329–336, 2014; El Bitar et al. Am J Orthop (Belle Mead NJ) 44:265–269, 2015; Tsai et al. Int J Med Robot 12:288–295, 2016; Suarez-Ahedo et al. HIP Int 27:147–152, 2017; Domb et al. J Arthroplasty 30:2208–2218, 2015; Kayani et al. HIP Int 31:311–319, 2019; Heng et al. J Arthritis 7:4, 2018; Kong et al. Int J Surg 77:174–180, 2020; Kanawade et al. J Arthroplasty 30:392–397, 2015; Banchetti et al. J Health Soc Sci 3:37–48, 2018; Perets et al. Int J Med Robot 14:e1912, 2018; Illgen et al. Surg Technol Int 30:365–372, 2017), Robodoc Robodoc (Bargar et al. J Arthroplasty 33:810–814, 2018; Honl et al. J Bone Jt Surg Am 85:1470–1478, 2003; Nakamura et al. Clin Orthop Relat Res 468:1072–1081, 2010; Schulz et al. Int J Med Robot 3:301–306, 2007; Bargar et al. Clin Orthop 354:82–91, 1998; Lim et al. Comput Aided Surg 20:41–46, 2015; Chen et al. Chinese J Traumatol 25, 2021; Hananouchi et al. J Orthop Res 25:1062–1069, 2007), Orthodoc Orthodoc (Nishihara et al. J Arthroplasty 21:957–966, 2006), da Vinci, and CASPAR CASPAR (Siebel and Käfer Z Für Orthop Ihre Grenzgeb 143:391–398, 2005) that are used as a part of surgeries, and these robots’ success levels are investigated with their strengths and weaknesses for their use in THA surgeries, while some other studies compared successes of robotic-oriented and traditional THA Traditional THA operations. Much of the focus of robotics intervention so far is based on robotics use during surgical applications, while robotics has many pre- and post-surgical Post-surgical impacts on patient well-being and recovery. In this review, in addition to outlining the use of robotics as a part of preoperative, during, and postoperative surgeries from a general perspective, biomechanical implications are pointed out by incorporating manufacturing and healthcare factors. A theoretical probabilistic measure of success for use of robotics is derived for measuring success starting from the beginning of manufacturing processes of implants Implant until the impact of robotics use for full recovery with the corresponding post-surgical Post-surgical applications, and this approach can be also applied in other transplantation Transplantation strategies. Suggestions for potential future research directions of THA and related biomechanical considerations are outlined based on recent advancements on millirobots Millirobots , artificial intelligence Artificial Intelligence (AI) , additive manufacturing Additive manufacturing , and robotics.","['Engineering', 'Biomedical Engineering and Bioengineering', 'Biomechanics', 'Surgical Orthopedics', 'Robotics']"
doi:10.1007/978-3-031-09371-5_12,en,Robotic Approach for the Treatment of Hepatocellular Carcinoma,OriginalPaper,"Minimally invasive liver surgery has demonstrated several benefits over the classical open approach. A recent large multicenter Italian study demonstrated that the robotic approach to the liver reduces the conversion rate compared to laparoscopy in the setting of high-difficulty procedures, ultimately increasing surgical safety. In this chapter we will briefly review some key points for a better understanding of the robotic approach to the liver and its application in the field of hepatocellular carcinoma (HCC). Robotic liver resection for HCC showed comparable oncological results to the standard open resection, improving short-term outcomes, in particular in cirrhotic patients and those with clinically significant portal hypertension. Moreover, even advanced procedures like associated liver partition and portal vein ligation for staged hepatectomy (ALPPS) and donor hepatectomy can be safely performed with the robotic approach. Finally, robotic liver resection for HCC increases the opportunity for patients with reduced liver function to receive a surgical downstaging or bridging before liver transplantation, improving oncological results compared to locoregional therapies.","['Medicine & Public Health', 'Surgery', 'Gastroenterology', 'General Practice / Family Medicine']"
doi:10.1007/978-981-19-3053-9_32,en,Design Modification of Robotic Arm for Incremental Sheet Metal Forming,OriginalPaper,"Incremental forming, a sheet metal forming process known for its automation capability and production flexibility. The process has its own merits when compared with conventional forming process. This research aims to improve the process capability of robotic arm used for incremental sheet metal forming. Increasing the end effector’s linear actuation will enhance the tool’s movement range whilst also making it easier to make components with deeper depths, which is required to accomplish this goal. The study results of the robotic system developed shows the clear impact and its contribution in Incremental forming process. The simulation results reveal the credibility of robotic arm design improvements in producing precise and accurate products. The end result of the study aids in implementing robotic arm assisted part fabrication in incremental forming with linear actuator.","['Engineering', 'Industrial and Production Engineering', 'Engineering Design', 'Materials Engineering']"
doi:10.1007/978-3-031-11128-0_4,en,Path Planning for Special Robotic Operations,OriginalPaper,"The problem of robotic path planning has been the focus of countless investigations since the early works of the ’70s and, despite the large number of results available in literature, is still a topic that draws a great interest. In virtually all robotic applications it is required to somehow define a feasible and safe path, and such a problem can be cast and solved in many ways, given the several possible combination of robots—industrial robots, Autonomous Guided Vehicles (AGVs), Unmanned Aerial Vehicles (UAVs), underwater vehicles—and scenarios—a production line, a warehouse, an hazardous mountain—and therefore a large number of approaches and solutions have been, and are being, investigated. The aim of this chapter is to provide an overview of such widespread literature, first by briefly recalling some classic and general-purpose methods used in path planning, then by focusing on some application-specific problems, related to AGVs in industry, medical robotics and robotic welding. This choice is motivated by the prominent relevance of the path planning problem in these three applications. Then, a single application of great industrial interest, such as robotic spray painting, is analysed. Its specific features are described, and several techniques for task modelling and path planning are considered. A detailed comparison among these techniques is carried out, so as to highlight pros and cons of each one, and to provide a methodology to choose the most suitable one for the specific robotic spray painting application.","['Engineering', 'Robotics and Automation', 'Engineering Design', 'Industrial and Production Engineering']"
doi:10.1007/978-3-031-11128-0_10,en,Dynamic Modeling of an Asbestos Removal Mobile Manipulator for Stability Evaluation,OriginalPaper,The H2020 project Ro bots to Rec onstruction [ 3 ] was started with an aim to bring automation into the construction industry. A general concept of the robotized asbestos removal process is illustrated in Fig.  10.1 .,"['Engineering', 'Robotics and Automation', 'Engineering Design', 'Industrial and Production Engineering']"
doi:10.1007/978-981-19-3895-5_29,en,Analysis of Robotic Arm for Friction Stir Welding Application,OriginalPaper,"Robots are widely used in industries such as automotive, manufacturing, assembly lines, packing, and mining to perform repetitive tasks with an aim to increase productivity by reducing manual labor cost. The aim of this article is to discuss about the problems faced in robotic friction stir welding (RFSW) process parameters such as: stiffness of robot, tool deviation, poor weld quality of workpiece due to selection of improper tool parameters, and backlash error seen in robot which hinder the performance of the robotic arm. To mend these problems, a perform analysis study is conducted on the proposed robotic arm for the abovementioned RFSW parameters, through FEM analysis using ABAQUS. To analyze fatigue stress for FSW tools, various tools were designed, and simulation studies are carried. From the study, it is observed that tool design affects the backlash on the robotic arm. This study also highlights the optimal tool geometry for minimal tool deviation and better quality of weld, the effect of fatigue stress with changing tool geometry, analytical method of estimating fatigue life of tool material and compare it with the analysis results, provided theoretical solutions on minimizing backlash error, stiffness, and found the proposed robot arm is efficient than the existing industrial robots.","['Materials Science', 'Structural Materials', 'Nanotechnology', 'Materials Science, general']"
doi:10.1007/978-981-19-0968-9_18,en,System Architecture for Supporting BIM to Robotic Construction Integration,OriginalPaper,"The adoption of robotics into the construction industry has been progressing slower than in the manufacturing and industrial sectors. Current shortfalls in skilled labor, productivity trends, and ongoing safety challenges point to the need for a drastic shift toward adopting robotics. Addressing these shortfalls would be a necessary component of the shift toward industrializing the construction industry. Despite this lag in technology adoption, the interest and development of robotic technology targeting the construction industry has grown in recent years and is ranging from the use of drones for tracking to advances in offsite fabrication. However, the integration into fundamental site construction necessitates reconsidering the information technology infrastructure needed to support detailed task execution information needs in the change from craft labor to robotic operations. This research presents the identification and mapping of the Information Technology (IT) system architecture required to support building information modeling (BIM) to robotic construction. Combining elements of BIM architecture and information exchanges with the needed construction task decomposition is required. These elements are mapped to the robotic system elements vital for mobile robotic operations. In addition to defining the functions and integration required to support the BIM to robotic Construction Workflow, shortcomings in existing infrastructure, notably regarding the ability to decompose construction fabrication and assembly means and methods, are defined.","['Engineering', 'Building Materials', 'Geoengineering, Foundations, Hydraulics', 'Transportation Technology and Traffic Engineering', 'Environment, general']"
doi:10.1007/978-3-031-13249-0_9,en,An Open Approach to Robotic Prototyping for Architectural Design and Construction,OriginalPaper,"Emerging from research in computational design and digital fabrication, the use of robot arms in architecture is now making its way in the practice of construction. However, their increasing diffusion has not yet corresponded to the development of shared approaches covering both digital (programming and simulation) and physical (end-effector design, system integration, IO communication) elements of robotic prototyping suited to the unique needs of architectural research. While parallel research streams defined various approaches to robotic programming and simulation, they all either (A) rely on custom combinations of software packages, or (B) are built on top of advanced robotic programming environments requiring a higher skill level in robotics than conventionally available in an architectural context. This paper proposes an alternative open-source toolkit enabling an intuitive approach to the orchestration of various hardware and software components required for robotic fabrication, including robot programming and simulation, end-effector design and actuation, and communication interfaces. The pipeline relies on three components: Robot Components, a plug-in for intuitive robot programming; Funken, a serial protocol toolkit for interactive prototyping with Arduino; and a flexible approach to end-effector design. The paper describes these components and demonstrates their use in a series of case studies, showing how they can be adapted to a variety of project typologies and user skills, while keeping highly complex and specific functionality available as an option, yielding good practices for a more intuitive translation from design to production.","['Engineering', 'Engineering Design', 'Manufacturing, Machines, Tools, Processes', 'Industrial Design', 'Interaction Design', 'User Interfaces and Human Computer Interaction']"
doi:10.1007/978-981-19-6168-7_7,en,Applications in Robotic Drilling,OriginalPaper,"In this chapter, the error compensation methods proposed above are applied to robotic drilling system. After the error compensation is performed, the positioning accuracy of each hole after drilling is measured to verify the effectiveness and feasibility of the method proposed in this book. Firstly, a robotic drilling platform is built and its hardware and software compositions, and working principles are explained. Then the approaches of establishing various frames that need to be used in the drilling process are given in detail. Finally, the robot is controlled to conduct drilling operation to validate the error compensation methods.","['Engineering', 'Control, Robotics, Mechatronics', 'Robotics and Automation', 'Applied and Technical Physics', 'Industrial and Production Engineering', 'Measurement Science and Instrumentation']"
doi:10.1007/978-3-031-16072-1_14,en,"Measuring Robot System Agility: Ontology, System Theoretical Formulation and Benchmarking",OriginalPaper,"This paper introduces a concise mathematical framework for measuring robot agility. The framework is built on definitions taken from the robotics and automation domain for naming the robotic systems and components. Standardized definitions related to robot autonomy are taken into account. Robot agility is defined as an emergent system property in complex robotic systems. Based on the introduced system theoretic model and the related mathematical framework, agility evaluation methods are presented. Besides theoretical formulae, practical benchmarking methods are also considered—at least as a desirable target. The cost of agility is also discussed, as being an important factor when different systems are compared and evaluated. A simple but practical example use case of robot pick &place is examined, where all proposed agility metrics and the benchmarking procedure are explained and evaluated.","['Engineering', 'Computational Intelligence', 'Control, Robotics, Mechatronics', 'Artificial Intelligence']"
doi:10.1007/978-981-19-3755-2_75,en,Robotic Surgery: Operating Room Setup and Docking,OriginalPaper,"Robotic surgery (RS) continues to impart its role in minimally invasive surgery (MIS) since its first emergence. It has rapidly been adopted by different specialties including general surgery, urology, gynecology, and orthopedic surgery, and now is becoming a mainstay of MIS technique around the globe [1–3]. During the last 30 years, many different robotic systems came into surgical practice but the da Vinci® is currently the most commonly utilized and is available in four different models (standard, streamlined, streamlined High definition, S-integrated). Despite its enhanced view of 3D system and angulations of instruments, its practical application for training surgical residents is less emphasized and addressed [4, 5]. This chapter will guide in the basic principles of setting operating room and equipments for da Vinici®. It is further emphasized that hands-on training on simulators and in operating rooms under a trained mentor is highly suggestive of learning robotic skills.","['Medicine & Public Health', 'Minimally Invasive Surgery', 'Colorectal Surgery', 'Imaging / Radiology', 'Surgery']"
doi:10.1007/978-3-031-02097-1_20,en,The Dynamic Coupling of Heterogeneous Robotic Systems for Spacecraft Motion Emulation,OriginalPaper,"Ketzner, Ryan Quebedeaux, Hunter Elgohary, Tarek A. Increasing access to space has driven demand for low cost, portable, and highly specialized robotic platforms to accurately simulate multi-dimensional space missions. Presented is an effective, low cost, 9 degrees of freedom heterogeneous robotic system that can emulate orbital motion using mobile manipulator motion planning; the dynamical models for a mobile manipulator are derived, and studied for an “orbit-like” trajectory.","['Engineering', 'Mechanical Engineering', 'Computational Science and Engineering', 'Theoretical, Mathematical and Computational Physics']"
doi:10.1007/978-3-031-13249-0_47,en,A Framework for Managing Data in Multi-actor Fabrication Processes,OriginalPaper,"This research proposes a design to fabrication data framework for multi-actor fabrication environments with robotic and human actors. The framework generates and exchanges fabrication data between the design elements and the fabrication environment. It features a uniform task data model to represent all processes in the fabrication procedure and link them to the design elements. The framework is demonstrated with a timber slab case study that shows the fabrication data generation, assignment to actors and ordering for execution with a multi-actor fabrication environment involving industrial robots and human workers. This framework opens new opportunities for continuous digital data exchange and feedback between the design and fabrication and allows for rapid changes in both the fabrication environment and the design.","['Engineering', 'Engineering Design', 'Manufacturing, Machines, Tools, Processes', 'Industrial Design', 'Interaction Design', 'User Interfaces and Human Computer Interaction']"
doi:10.1007/978-3-031-14537-7_19,en,Optimisation of Robotic Disassembly Sequence Plans for Sustainability Using the Multi-objective Bees Algorithm,OriginalPaper,"In recent years, remanufacturing Remanufacturing has become critical for environmental protection and natural resource conservation. The purpose of the work reported in this chapter is to find the best plan for product disassembly Disassembly , the first step in the recovery of end-of-life products, balancing the three goals of sustainability Sustainability —economic, energy and environmental. The study proposes three strategies: reuse Reuse , remanufacturing Remanufacturing and recycling Recycling . The Multi-objective Multi-objective Bees Algorithm (MOBA), Non-dominated Non dominated Sorting Sorting Genetic Algorithm II (NSGA II) and Pareto Envelope-based Selection Algorithm II (PESA II) are used to create solutions for two case studies. In this work, MOBA outperforms other algorithms in finding Pareto optimal solutions for robotic disassembly Disassembly sequence planning in all cases.","['Engineering', 'Robotics and Automation', 'Artificial Intelligence', 'Industrial and Production Engineering', 'Professional Computing', 'Robotics', 'Machine Learning']"
doi:10.1007/978-3-031-20241-4_16,en,Improv-Structure: Exploring Improvisation in Collective Human-Robot Construction,OriginalPaper,"The emerging field of Collective Human-Robot Construction (CHRC) opens up vast space for human-robot interaction and collaboration in real-time for construction tasks, making the idea of improvisation a critical layer to explore. Compared to the traditional linear workflow of pre-planned structures, improvisational construction allows for a real-time collective building experience, giving the build team more space for creativity, flexibility, and immersive design. However, the concept of improvisation in an architectural context has not been fully explored yet, especially with a multi-robot-human team, despite rich literature on improvisation in art performance, management, and robotics. In this paper, we present Improv-Structure , a proof of concept for improvisational construction, where ~500 bamboo rods were assembled by two industrial robotic arms and several humans using a collective decision-making mechanism. The robotic arms functioned as guidance and structural support, while the humans led the design and construction process. Together, this heterogeneous team can create a structure that neither party can easily achieve alone.","['Engineering', 'Building Construction and Design', 'Control, Robotics, Mechatronics', 'Computational Intelligence', 'Artificial Intelligence', 'Statistics, general']"
