identifier,language,title,genre,abstract,subjects
doi:10.1007/978-3-031-16203-9_8,en,The Comprehensive Model of Using In-Depth Consolidated Multimodal Learning to Study Trading Strategies in the Securities Market,OriginalPaper,"The paper describes the relevance of machine learning methods, namely training with reinforcement, to the problems of predicting financial time series. An overview of existing applications based on machine learning in the issues of financial market forecasting is presented. The reasons for the popularity of my research topic are highlighted both from the scientific (increasing the number of publications on issues relevant to the research topic over the past five years) and from the practical side. The analysis of scientific works, the subject and purpose of which are related to the issues and objectives of my research and their features are presented. The main problems associated with the problem of predicting stochastic time series are identified. According to the analysis, the purpose of work is defined, and also the list of tasks for the achievement of the set goal is made. The article is devoted to studying the use of the ensemble of neuro-learning networks with the strengthening of the securities trading market. The practical significance of the work is to use the model of efficient distribution of investments in the market. This paper will explore a set of models that use in-depth consolidated learning to explore trading strategies to maximize return on investment. The potential of using acting-critical models as an ensemble has been studied. Models such as Proximal Policy Optimizer (PPO), Advantage Actor-Critic (A2C) and Deep Determinist Police Gradient (DDPG) were used to teach trading strategy. To adapt the model to different situations, analyzes are analyzed according to three algorithms: the Dow Jones average and a portfolio that minimizes fluctuations in the Charpy ratio by balancing risk and return. The article compares ensembles by the method of fixing deep neural networks. To optimize the balance of risk and profit, the indicators of the ensemble model are analyzed. The ensemble and three-component models that apply well to market collapse conditions are considered. The models have learned to use the turbulence index for early stock sales to minimize losses during a stock collapse. The turbulence index threshold is demonstrated using ensemble models to regulate risk avoidance.","['Engineering', 'Computational Intelligence', 'Artificial Intelligence']"
doi:10.1007/978-3-031-08246-7_7,en,Implementation of Reinforcement-Learning Algorithms in Autonomous Robot Navigation,OriginalPaper,"The problem of autonomous robot navigation in indoor environments must overcome various difficulties such as the dimensionality of the data, the computational cost, and the possible presence of mobile objects. This chapter addresses the implementation of an algorithm for autonomous navigation of robots in indoor environments based on machine learning. It characterizes some strategies that the literature reports and specifies a Deep Q-Network reinforcement-learning algorithm to implement on the Turtlebot robotic platform of the Gazebo simulator. Besides, a series of experiments changing the parameters of algorithm to validate the strategy shows how the robotic platform, through the exploration of the environment and the subsequent exploitation of the information, creates effective route planning.","['Engineering', 'Computational Intelligence', 'Artificial Intelligence']"
doi:10.1007/978-981-19-4960-9_31,en,Reinforcement Learning for Autonomous Driving Scenarios in Indian Roads,OriginalPaper,"The decision-making process for autonomous vehicles comes with numerous challenges that are not easily solved. With the ever-changing traffic situation of the world and the increasing need for autonomous driving technology, there are constant innovations to deal with the increasing number of problems in the complex environments that autonomous driving agents find themselves in. Developing countries like India face even more numerous challenges with existing autonomous driving solutions not being directly transferable. However, with the maturation and advancement of deep learning technology over the years, more and more novel methods in the field of deep reinforcement learning are being proposed to tackle both new challenges and existing challenges. In this study, we explore the contemporary reinforcement learning techniques for autonomous driving tasks and analyze their applicability for the unstructured road environment and also look at some of the less-common scenarios that occur frequently in the Indian context.","['Engineering', 'Computational Intelligence', 'Artificial Intelligence', 'Professional Computing']"
doi:10.1007/978-3-031-18461-1_11,en,"A Survey of Reinforcement Learning Toolkits for Gaming: Applications, Challenges and Trends",OriginalPaper,"The gaming industry has become one of the most exciting and creative industries. The annual revenue has crossed $200 billion in recent years and has created a lot of jobs globally. Many games are using Artificial Intelligence (AI) and techniques like Machine Learning (ML), Reinforcement Learning (RL) gained popularity among researchers and game development community to enable smart games involving AI-based agents at a faster rate. Although, many toolkits are available for use, a framework to evaluate, compare and advise on these toolkits is still missing. In this paper, we present a comprehensive overview of ML/RL toolkits for games with an emphasis on their applications, challenges, and trends. We propose a qualitative evaluation methodology, discuss the obtained analysis results, and conclude with future work and perspectives.","['Engineering', 'Computational Intelligence', 'Control, Robotics, Mechatronics', 'Artificial Intelligence']"
doi:10.1007/978-981-19-7648-3_12,en,Priority-Aware Computational Resource Allocation,OriginalPaper,"Vehicular fog computing (VFC) has been expected as a promising scheme that can increase the computational capability of vehicles without relying on servers. Comparing with accessing the remote cloud, VFC is suitable for delay-sensitive tasks because of its low-latency vehicle-to-vehicle (V2V) transmission. However, due to the dynamic vehicular environment, how to motivate vehicles to share their idle computing resource while simultaneously evaluating the service availability of vehicles in terms of vehicle mobility and vehicular computational capability in heterogeneous vehicular networks is a main challenge. Meanwhile, tasks with different priorities of a vehicle should be processed with different efficiencies. In this work, we propose a task offloading scheme in the context of VFC, where vehicles are incentivized to share their idle computing resource by dynamic pricing, which comprehensively considers the mobility of vehicles, the task priority, and the service availability of vehicles. Given that the policy of task offloading depends on the state of the dynamic vehicular environment, we formulate the task offloading problem as a Markov decision process (MDP) aiming at maximizing the mean latency-aware utility of tasks in a period. To solve this problem, we develop a soft actor-critic (SAC) based deep reinforcement learning (DRL) algorithm for the sake of maximizing both the expected reward and the entropy of policy. Finally, extensive simulation results validate the effectiveness and superiority of our proposed scheme benchmarked with traditional algorithms.","['Computer Science', 'Computer Systems Organization and Communication Networks', 'Communications Engineering, Networks', 'Wireless and Mobile Communication']"
doi:10.1007/978-981-19-4815-2_6,en,A-DDPG: Attention Mechanism-Based Deep Reinforcement Learning for NFV,OriginalPaper,"Chapters 3–5 transform the VNF placement and traffic routing proble into some well-known NP-hard problems, and then a heuristic or approximation method is proposed to solve it, at the expense of ignoring the network state dynamics. To bridge that gap, in this chapter, we formulate the VNF placement and traffic routing problem as a Markov Decision Process model to capture the dynamic network state transitions. In order to jointly minimize the delay and cost of NFV providers and maximize the revenue, we devise a customized Deep Reinforcement Learning (DRL) algorithm, called A-DDPG, for VNF placement and traffic routing in a real-time network. A-DDPG uses the attention mechanism to ascertain smooth network behavior within the general framework of network utility maximization (NUM). The simulation results show that A-DDPG outperforms the state-of-the-art in terms of network utility, delay, and cost.","['Engineering', 'Communications Engineering, Networks', 'Graph Theory', 'Operations Research, Management Science', 'Theory of Computation', 'Algorithm Analysis and Problem Complexity']"
doi:10.1007/978-3-031-11814-2_5,en,Multi-Echelon Inventory Optimization Using Deep Reinforcement Learning,OriginalPaper,"In this chapter, we provide an overview of inventory management within the pharmaceutical industry and how to model and optimize it. Inventory management is a highly relevant topic, as it causes high costs such as holding, shortage, and reordering costs. Especially the event of a stock-out can cause damage that goes beyond monetary damage in the form of lost sales. To minimize those costs is the task of an optimized reorder policy. A reorder policy is optimal when it minimizes the accumulated cost in every situation. However, finding an optimal policy is not trivial. First, the problem is highly stochastic as we need to consider variable demands and lead times. Second, the supply chain consists of several warehouses incl. the factory, global distribution warehouses, and local affiliate warehouses, whereby the reorder policy of each warehouse has an impact on the optimal reorder policy of related warehouses. In this context, we discuss the concept of multi-echelon inventory optimization and a methodology that is capable of capturing both, the stochastic behavior of the environment and how it is impacted by the reorder policy: Markov decision processes (MDPs). On this basis, we introduce the concept, its related benefits and weaknesses of a methodology named Reinforcement Learning (RL). RL is capable of finding (near-) optimal (reorder) policies for MDPs. Furthermore, some simulation-based results and current research directions are presented.","['Economics', 'Health Economics', 'Pharmaceutical Sciences/Technology', 'Economics, general', 'Biomedicine, general', 'Biotechnology', 'Economic Theory/Quantitative Economics/Mathematical Methods']"
doi:10.1007/978-3-031-16075-2_29,en,Towards End-to-End Chase in Urban Autonomous Driving Using Reinforcement Learning,OriginalPaper,"This paper addresses the challenging task of developing an autonomous chase protocol. First, training of an autonomous vehicle capable of driving autonomously from point A to B was developed to proceed with a chase protocol as a second step. A dedicated driving setup, based on a discrete action space and a single RGB camera, was developed through a series of experiments. A dedicated curriculum learning agenda allowed to train the model capable of performing all fundamental road maneuvers. Several reward functions were proposed, which enabled effective training of the agent. In the subsequent experiments, we selected the reward function and model that produced the most significant outcome, guaranteeing that the chasing car was within 25 m of a runaway car for 63% of the episode duration. To the best of our knowledge, this work is the first one that addressed the task of the chase in urban driving using the Reinforcement Learning approach.","['Engineering', 'Computational Intelligence', 'Control, Robotics, Mechatronics', 'Artificial Intelligence']"
doi:10.1007/978-981-19-2600-6_17,en,Towards Efficient Edge Computing Through Adoption of Reinforcement Learning Strategies: A Review,OriginalPaper,"This paper contributes towards the mapping of the variants of Reinforcement Learning (RL) techniques to solve the key challenges of Edge Computing (EC) through broadly addressing task handling and Quality of Service (QoS) parameters. EC has bolstered ever since the advent of Industry 4.0 with computationally reliable heterogeneous mobile secured dynamic edge devices powered by an array of multifarious sensors designed on multi-edge hierarchical architectures found a strong footing on the backbone of ably equipped communication protocols to manifest their growth powered by the advent of 5G technology. However, with millions of such edge devices finding its way in a plethora of EC applications, with each having its own set of domain specific challenges, devising a suitable agent so as to sense the environment and learn from it has driven RL find its way as one of the significant tools to make the EC framework intelligent. Here we lay a good understanding of how RL has achieved noteworthy success to solve some of the pressing EC challenges, given that EC finds its use in settings of autonomous driving, content delivery, smart grid, healthcare applications and so on.","['Engineering', 'Data Engineering', 'Statistics, general', 'Machine Learning', 'Artificial Intelligence', 'Data Storage Representation', 'Data Structures and Information Theory']"
doi:10.1007/978-3-031-11748-0_14,en,A Study on Efficient Reinforcement Learning Through Knowledge Transfer,OriginalPaper,"Although Reinforcement Learning (RL) algorithms have made impressive progress in learning complex tasks over the past years, there are still prevailing short-comings and challenges. Specifically, the sample-inefficiency and limited adaptation across tasks often make classic RL techniques impractical for real-world applications despite the gained representational power when combining deep neural networks with RL, known as Deep Reinforcement Learning (DRL). Recently, a number of approaches to address those issues have emerged. Many of those solutions are based on smart DRL architectures that enhance single task algorithms with the capability to share knowledge between agents and across tasks by introducing Transfer Learning (TL) capabilities. This survey addresses strategies of knowledge transfer from simple parameter sharing to privacy preserving federated learning and aims at providing a general overview of the field of TL in the DRL domain, establishes a classification framework, and briefly describes representative works in the area.","['Engineering', 'Computational Intelligence', 'Artificial Intelligence', 'Machine Learning']"
