identifier,language,title,genre,abstract,subjects
doi:10.1007/s42064-022-0144-2,en,A review of dynamic analysis on space solar power station,"['ReviewPaper', 'Review Article']","The concept of a space solar power station (SSPS) was proposed in 1968 as a potential approach for solving the energy crisis. In the past 50 years, several structural concepts have been proposed, but none have been sent into orbit. One of the main challenges of the SSPS is dynamic behavior prediction, which can supply the necessary information for control strategy design. The ultra-large size of the SSPS causes difficulties in its dynamic analysis, such as the ultra-low vibration frequency and large flexibility. In this paper, four approaches for the numerical analysis of the dynamic problems associated with the SSPS are reviewed: the finite element, absolute nodal coordinate, floating frame formulation, and structure-preserving methods. Both the merits and shortcomings of the above four approaches are introduced when they are employed in dynamic problems associated with the SSPS. Synthesizing the merits of the aforementioned four approaches, we believe that embedding the structure-preserving method into finite element software may be an effective way to perform a numerical analysis of the dynamic problems associated with the SSPS.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0148-y,en,Feasibility analysis of angles-only navigation algorithm with multisensor data fusion for spacecraft noncooperative rendezvous,"['OriginalPaper', 'Research Article']","Relative navigation is crucial for spacecraft noncooperative rendezvous, and angles-only navigation using visible and infrared cameras provides a feasible solution. Herein, an angles-only navigation algorithm with multisensor data fusion is proposed to derive the relative motion states between two noncooperative spacecraft. First, the design model of the proposed algorithm is introduced, including the derivation of the state propagation and measurement equations. Subsequently, models for the sensor and actuator are introduced, and the effects of various factors on the sensors and actuators are considered. The square-root unscented Kalman filter is used to design the angles-only navigation filtering scheme. Additionally, the Clohessy—Wiltshire terminal guidance algorithm is introduced to obtain the theoretical relative motion trajectories during the rendezvous operations of two noncooperative spacecraft. Finally, the effectiveness of the proposed angles-only navigation algorithm is verified using a semi-physical simulation platform. The results prove that an optical navigation camera combined with average accelerometers and occasional orbital maneuvers is feasible for spacecraft noncooperative rendezvous using angles-only navigation.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0150-4,en,Application of homotopy perturbation method to the radial thrust problem,"['OriginalPaper', 'Engineering Note']","The dynamics of a spacecraft propelled by a continuous radial thrust resembles that of a nonlinear oscillator. This is analyzed in this work with a novel method that combines the definition of a suitable homotopy with a classical perturbation approach, in which the low thrust is assumed to be a perturbation of the nominal Keplerian motion. The homotopy perturbation method provides the analytical (approximate) solution of the dynamical equations in polar form to estimate the corresponding spacecraft propelled trajectory with a short computational time. The accuracy of the analytical results was tested in an orbital-targeting mission scenario.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42757-022-0134-x,en,Pool boiling experiment characteristics on the pure copper surface,"['OriginalPaper', 'Research Article']","The pool boiling characteristics with different boiling surfaces and working fluids play an important part in multiphase flow research. The key parameters of pool boiling, such as heat transfer coefficient (HTC) and critical heat flux (CHF), can be only acquired by experiment. Thus, a pool boiling experimental device is designed and produces the HTC and CHF data on the pure copper heating surface, which are 72.25 kW/(m 2 ·K) and 1093.28 kW/m 2 , respectively. Besides, a series of visualization experimental results of bubble behavior in the pool boiling are taken by the high-speed camera to provide references for the boiling mechanism research. The pool boiling experiment would be the benchmark data to validate the future experiments and computer simulations.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42757-022-0133-y,en,Assessment of simplified momentum equations for free surface flows through rigid porous media,"['OriginalPaper', 'Research Article']","In many applications, free surface flow through rigid porous media has to be modeled. Examples refer to coastal engineering applications as well as geotechnical or biomedical applications. Albeit the frequent applications, slight inconsistencies in the formulation of the governing equations can be found in the literature. The main goal of this paper is to identify these differences and provide a quantitative assessment of different approaches. Following a review of the different formulations, simulation results obtained from three alternative formulations are compared with experimental and numerical data. Results obtained by 2D and 3D test cases indicate that the predictive differences returned by the different formulations remain small for most applications, in particular for small porous Reynolds number Re P < 5000. Thus it seems justified to select a simplified formulation that supports an efficient algorithm and coding structure in a computational fluid dynamics environment. An estimated accuracy depending on the porous Reynolds number or the mean grain diameter is given for the simplified formulation.","['Engineering', 'Engineering Fluid Dynamics', 'Fluid- and Aerodynamics', 'Environmental Engineering/Biotechnology']"
doi:10.1007/s42064-022-0149-x,en,Adaptive connected hierarchical optimization algorithm for minimum energy spacecraft attitude maneuver path planning,"['OriginalPaper', 'Research Article']","Space object observation requirements and the avoidance of specific attitudes produce pointing constraints that increase the complexity of the attitude maneuver path-planning problem. To deal with this issue, a feasible attitude trajectory generation method is proposed that utilizes a multiresolution technique and local attitude node adjustment to obtain sufficient time and quaternion nodes to satisfy the pointing constraints. These nodes are further used to calculate the continuous attitude trajectory based on quaternion polynomial interpolation and the inverse dynamics method. Then, the characteristic parameters of these nodes are extracted to transform the path-planning problem into a parameter optimization problem aimed at minimizing energy consumption. This problem is solved by an improved hierarchical optimization algorithm, in which an adaptive parameter-tuning mechanism is introduced to improve the performance of the original algorithm. A numerical simulation is performed, and the results confirm the feasibility and effectiveness of the proposed method.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s42064-022-0154-0,en,Natural coupled orbit—attitude periodic motions in the perturbed-CRTBP including radiated primary and oblate secondary,"['OriginalPaper', 'Research Article']","This study investigated periodic coupled orbit—attitude motions within the perturbed circular restricted three-body problem (P-CRTBP) concerning the perturbations of a radiated massive primary and an oblate secondary. The radiated massive primary was the Sun, and each planet in the solar system could be considered an oblate secondary. Because the problem has no closed-form solution, numerical methods were employed. Nevertheless, the general response of the problem could be non-periodic or periodic, which is significantly depended on the initial conditions of the orbit-attitude states. Therefore, the simultaneous orbit and attitude initial states correction (SOAISC) algorithm was introduced to achieve precise initial conditions. On the other side, the conventional initial guess vector was essential as the input of the correction algorithm and increased the probability of reaching more precise initial conditions. Thus, a new practical approach was developed in the form of an orbital correction algorithm to obtain the initial conditions for the periodic orbit of the P-CRTBP. This new proposed algorithm may be distinguished from previously presented orbital correction algorithms by its ability to propagate the P-CRTBP family orbits around the Lagrangian points using only one of the periodic orbits of the unperturbed CRTBP (U-CRTBP). In addition, the Poincaré map and Floquet theory search methods were used to recognize the various initial guesses for attitude parameters. Each of these search methods was able to identify different initial guesses for attitude states. Moreover, as a new innovation, these search methods were applied as a powerful tool to select the appropriate inertia ratio for a satellite to deliver periodic responses from the coupled model. Adding the mentioned perturbations to the U-CRTBP could lead to the more accurate modeling of the examination environment and a better understanding of a spacecraft’s natural motion. A comparison between the orbit-attitude natural motions in the unperturbed and perturbed models was also conducted to show this claim.","['Engineering', 'Aerospace Technology and Astronautics', 'Space Sciences (including Extraterrestrial Physics, Space Exploration and Astronautics)', 'Vibration, Dynamical Systems, Control']"
doi:10.1007/s41095-022-0275-7,en,A survey of urban visual analytics: Advances and future directions,"['ReviewPaper', 'Review Article']","Developing effective visual analytics systems demands care in characterization of domain problems and integration of visualization techniques and computational models. Urban visual analytics has already achieved remarkable success in tackling urban problems and providing fundamental services for smart cities. To promote further academic research and assist the development of industrial urban analytics systems, we comprehensively review urban visual analytics studies from four perspectives. In particular, we identify 8 urban domains and 22 types of popular visualization, analyze 7 types of computational method, and categorize existing systems into 4 types based on their integration of visualization techniques and computational models. We conclude with potential research directions and opportunities.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/s41095-021-0262-4,en,Full-duplex strategy for video object segmentation,"['OriginalPaper', 'Research Article']","Previous video object segmentation approaches mainly focus on simplex solutions linking appearance and motion, limiting effective feature collaboration between these two cues. In this work, we study a novel and efficient full-duplex strategy network ( FSNet ) to address this issue, by considering a better mutual restraint scheme linking motion and appearance allowing exploitation of cross-modal features from the fusion and decoding stage. Specifically, we introduce a relational cross-attention module (RCAM) to achieve bidirectional message propagation across embedding sub-spaces. To improve the model’s robustness and update inconsistent features from the spatiotemporal embeddings, we adopt a bidirectional purification module after the RCAM. Extensive experiments on five popular benchmarks show that our FSNet is robust to various challenging scenarios (e.g., motion blur and occlusion), and compares well to leading methods both for video object segmentation and video salient object detection. The project is publicly available at https://github.com/GewelsJI/FSNet .","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
doi:10.1007/s41095-021-0267-z,en,Facial optical flow estimation via neural non-rigid registration,"['OriginalPaper', 'Research Article']","Optical flow estimation in human facial video, which provides 2D correspondences between adjacent frames, is a fundamental pre-processing step for many applications, like facial expression capture and recognition. However, it is quite challenging as human facial images contain large areas of similar textures, rich expressions, and large rotations. These characteristics also result in the scarcity of large, annotated real-world datasets. We propose a robust and accurate method to learn facial optical flow in a self-supervised manner. Specifically, we utilize various shape priors, including face depth, landmarks, and parsing, to guide the self-supervised learning task via a differentiable nonrigid registration framework. Extensive experiments demonstrate that our method achieves remarkable improvements for facial optical flow estimation in the presence of significant expressions and large rotations.","['Computer Science', 'Computer Graphics', 'User Interfaces and Human Computer Interaction', 'Artificial Intelligence', 'Image Processing and Computer Vision']"
